location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01019,2020-01-01,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,,11.3,6.95,17.82,13.47,20.43,8.69,40.41,8.26,4.316667,-1.75,12.011111,0.0,-2.923611,57.831819
US_AL_01019,2020-01-02,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,8.12,11.96,7.26,15.38,9.82,24.77,6.83,52.53,14.09,7.211111,3.933333,10.427778,0.592667,3.631944,77.816464
US_AL_01019,2020-01-03,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,8.8,8.36,,19.36,10.12,19.8,,47.09,6.6,12.744444,8.533333,15.522222,44.577,12.270833,94.937071
US_AL_01019,2020-01-04,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,,11.12,10.23,17.79,,26.24,,44.02,,11.305556,4.222222,14.111111,10.117667,7.263889,75.269164
US_AL_01019,2020-01-05,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,7.64,8.09,,13.48,,24.27,9.44,40.45,,3.338889,-2.444444,11.883333,0.5842,-2.444444,65.046322
US_AL_01019,2020-01-06,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,8.92,8.03,,16.5,10.7,24.97,9.37,34.78,10.26,5.955556,-0.661111,15.755556,0.0,0.979167,69.584823
US_AL_01019,2020-01-07,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,,13.57,,14.47,12.66,23.97,9.5,47.49,9.5,9.905556,4.566667,13.372222,0.677333,2.722222,60.59322
US_AL_01019,2020-01-08,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,7.64,9.77,9.77,9.34,13.16,28.02,,34.39,9.77,5.322222,-2.3,15.766667,0.4318,-3.097222,53.669009
US_AL_01019,2020-01-09,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,10.86,13.12,9.96,15.84,8.14,30.32,9.96,46.16,9.5,7.255556,-0.05,16.405556,0.0,-1.784722,52.618951
US_AL_01019,2020-01-10,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,5.66,7.79,5.66,13.45,7.43,18.76,4.96,36.81,5.31,14.683333,11.972222,18.177778,0.0,8.409722,64.816768
US_AL_01019,2020-01-11,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,9.12,9.54,7.05,14.51,9.12,18.24,9.54,38.56,9.54,18.555556,15.466667,21.905556,0.084667,15.111111,79.396148
US_AL_01019,2020-01-12,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,12.32,11.85,9.96,11.85,10.9,18.96,8.06,32.71,7.58,11.861111,5.822222,18.183333,16.35125,8.743056,80.056257
US_AL_01019,2020-01-13,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,11.21,10.16,7.0,13.66,9.8,22.76,6.65,32.92,7.7,12.433333,7.988889,17.527778,0.169333,10.784722,87.940066
US_AL_01019,2020-01-14,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,7.45,11.39,9.2,15.77,,26.73,10.95,48.63,10.08,16.355556,14.416667,17.766667,11.091333,15.486111,94.230541
US_AL_01019,2020-01-15,ChIJW8evmPRiiogROnAqHB76oCA,Q108832,geoId/01019,US,United States of America,AL,Alabama,01019,Cherokee County,US,USA,2,,,,,,,25805,12821,12984,2582,3025,2798,2467,3208,3897,3860,2725,1243,1848856,34.169722,-85.594167,172,1554,74.083333,,,,,9.24,14.28,8.4,15.95,11.76,24.35,6.3,41.56,7.98,15.55,12.572222,19.55,15.094857,14.428571,92.434187
