location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01021,2020-01-01,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,5.98,6.48,5.49,9.47,5.98,7.48,3.99,,17.7,3.99,10.97,7.23,8.23,5.98,3.99,3.49,6.23,4.49,4.74,9.72,22.44,5.98,7.23,3.49,4.74,7.73,40.39,,5.98,9.22,4.99,5.49,5.011111,-1.238889,13.122222,0.0,-1.134921,63.179484
US_AL_01021,2020-01-02,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,6.47,9.82,3.35,12.45,7.66,9.1,7.18,3.83,15.09,,9.1,4.31,9.1,5.27,,5.27,4.55,4.07,5.51,8.62,29.94,5.27,7.66,5.03,4.55,9.34,41.67,5.03,7.9,6.95,5.03,5.51,10.488889,5.5,16.377778,2.935111,7.547619,82.502673
US_AL_01021,2020-01-03,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,5.12,8.53,4.87,7.8,9.51,7.07,6.09,,16.57,4.87,7.31,6.58,5.36,3.41,3.9,6.09,4.63,,4.39,10.48,31.93,4.63,6.09,5.36,,5.85,39.97,4.87,5.12,7.31,4.87,5.36,17.561111,12.433333,21.466667,27.686,16.611111,94.110089
US_AL_01021,2020-01-04,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,3.98,10.7,3.48,9.2,9.7,5.22,4.23,6.72,17.66,4.23,10.7,4.23,9.2,3.98,3.73,4.97,5.72,6.22,4.48,7.21,24.88,,7.96,4.97,4.97,4.97,40.3,3.48,6.96,4.48,,3.98,13.466667,8.772222,16.783333,8.156222,9.388889,76.215984
US_AL_01021,2020-01-05,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,3.86,6.69,3.6,9.53,8.24,5.41,5.92,4.63,18.53,7.72,10.81,3.86,8.49,4.38,7.21,,4.89,5.15,6.95,4.38,25.23,6.69,10.04,,6.69,6.95,42.73,4.38,6.44,,5.92,7.46,5.533333,-1.816667,14.488889,0.0254,-1.349206,61.10278
US_AL_01021,2020-01-06,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,,8.28,5.11,7.3,8.28,4.38,6.08,3.89,13.63,,11.44,,9.49,5.36,4.14,5.11,3.41,,5.6,9.98,25.31,7.06,9.49,3.89,6.57,6.82,40.4,,8.76,5.6,5.11,4.38,7.561111,0.511111,18.511111,0.0,3.507937,74.255286
US_AL_01021,2020-01-07,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,4.62,4.83,3.57,8.6,7.55,5.87,6.08,3.57,12.8,,7.76,3.99,9.23,5.45,4.62,5.03,3.15,3.99,3.57,9.23,19.72,6.71,5.24,4.83,3.36,7.13,31.05,3.99,5.87,6.29,3.78,4.83,11.811111,7.316667,15.422222,0.1524,4.34127,60.050731
US_AL_01021,2020-01-08,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,7.04,8.48,6.0,8.69,8.69,6.83,3.93,5.59,12.0,2.9,10.35,4.34,11.38,5.38,3.31,4.14,2.9,3.31,5.38,9.1,32.9,4.14,7.86,2.9,6.41,8.07,38.07,3.72,10.55,4.97,5.59,5.17,6.538889,-2.155556,17.377778,0.0,-2.214286,52.583193
US_AL_01021,2020-01-09,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,5.83,7.45,,6.84,7.24,6.24,5.43,6.44,10.66,6.04,5.43,3.42,8.65,,,3.82,4.23,4.83,4.23,9.26,26.16,8.65,6.44,5.43,3.82,6.44,32.4,5.03,7.65,4.43,3.62,4.83,7.527778,-0.488889,18.877778,0.0,0.642857,60.293033
US_AL_01021,2020-01-10,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,5.84,8.18,3.31,7.4,8.37,5.84,4.09,5.26,7.98,2.73,5.84,4.28,8.37,,6.04,4.48,5.45,,5.06,8.18,20.06,4.28,5.26,3.12,3.12,4.67,33.3,2.73,5.65,6.23,3.89,3.89,17.505556,14.683333,22.777778,0.0,11.134921,66.260832
