location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01025,2020-01-01,ChIJQZySLbnLmogRyygQkshn9-Q,Q111273,geoId/01025,US,United States of America,AL,Alabama,01025,Clarke County,US,USA,2,,,,,,,24063,11345,12718,2723,3107,2913,2618,2903,3487,2988,2157,1167,1848765,31.673611,-87.838056,86,3244,74.3875,,,,10.69,16.98,22.64,37.73,6.583333,0.872222,14.805556,0.0,-0.055556,66.947044
US_AL_01025,2020-01-02,ChIJQZySLbnLmogRyygQkshn9-Q,Q111273,geoId/01025,US,United States of America,AL,Alabama,01025,Clarke County,US,USA,2,,,,,,,24063,11345,12718,2723,3107,2913,2618,2903,3487,2988,2157,1167,1848765,31.673611,-87.838056,86,3244,74.3875,,,,10.44,19.31,20.36,47.49,13.705556,9.738889,20.538889,2.921,9.458333,80.367145
US_AL_01025,2020-01-03,ChIJQZySLbnLmogRyygQkshn9-Q,Q111273,geoId/01025,US,United States of America,AL,Alabama,01025,Clarke County,US,USA,2,,,,,,,24063,11345,12718,2723,3107,2913,2618,2903,3487,2988,2157,1167,1848765,31.673611,-87.838056,86,3244,74.3875,,,,8.51,13.83,21.81,39.89,18.861111,15.333333,22.583333,20.955,17.055556,90.98446
US_AL_01025,2020-01-04,ChIJQZySLbnLmogRyygQkshn9-Q,Q111273,geoId/01025,US,United States of America,AL,Alabama,01025,Clarke County,US,USA,2,,,,,,,24063,11345,12718,2723,3107,2913,2618,2903,3487,2988,2157,1167,1848765,31.673611,-87.838056,86,3244,74.3875,,,,,14.17,25.88,42.51,14.516667,11.066667,16.544444,9.68375,8.791667,71.220455
US_AL_01025,2020-01-05,ChIJQZySLbnLmogRyygQkshn9-Q,Q111273,geoId/01025,US,United States of America,AL,Alabama,01025,Clarke County,US,USA,2,,,,,,,24063,11345,12718,2723,3107,2913,2618,2903,3487,2988,2157,1167,1848765,31.673611,-87.838056,86,3244,74.3875,,,,,19.4,18.18,35.16,7.055556,0.283333,15.077778,0.084667,0.041667,64.671612
US_AL_01025,2020-01-06,ChIJQZySLbnLmogRyygQkshn9-Q,Q111273,geoId/01025,US,United States of America,AL,Alabama,01025,Clarke County,US,USA,2,,,,,,,24063,11345,12718,2723,3107,2913,2618,2903,3487,2988,2157,1167,1848765,31.673611,-87.838056,86,3244,74.3875,,,,9.71,11.87,22.12,30.21,9.433333,2.855556,19.583333,0.0,4.555556,73.00478
US_AL_01025,2020-01-07,ChIJQZySLbnLmogRyygQkshn9-Q,Q111273,geoId/01025,US,United States of America,AL,Alabama,01025,Clarke County,US,USA,2,,,,,,,24063,11345,12718,2723,3107,2913,2618,2903,3487,2988,2157,1167,1848765,31.673611,-87.838056,86,3244,74.3875,,,,8.4,11.37,26.19,37.07,12.861111,8.683333,17.105556,0.0,4.444444,58.057971
US_AL_01025,2020-01-08,ChIJQZySLbnLmogRyygQkshn9-Q,Q111273,geoId/01025,US,United States of America,AL,Alabama,01025,Clarke County,US,USA,2,,,,,,,24063,11345,12718,2723,3107,2913,2618,2903,3487,2988,2157,1167,1848765,31.673611,-87.838056,86,3244,74.3875,,,,9.61,20.18,31.71,33.63,7.455556,-0.755556,18.044444,0.0,-1.444444,56.100169
US_AL_01025,2020-01-09,ChIJQZySLbnLmogRyygQkshn9-Q,Q111273,geoId/01025,US,United States of America,AL,Alabama,01025,Clarke County,US,USA,2,,,,,,,24063,11345,12718,2723,3107,2913,2618,2903,3487,2988,2157,1167,1848765,31.673611,-87.838056,86,3244,74.3875,,,,,15.94,24.37,31.4,8.961111,1.438889,19.694444,0.0,2.333333,67.688052
US_AL_01025,2020-01-10,ChIJQZySLbnLmogRyygQkshn9-Q,Q111273,geoId/01025,US,United States of America,AL,Alabama,01025,Clarke County,US,USA,2,,,,,,,24063,11345,12718,2723,3107,2913,2618,2903,3487,2988,2157,1167,1848765,31.673611,-87.838056,86,3244,74.3875,,,,14.89,,15.85,33.62,18.205556,15.133333,22.783333,0.0,11.986111,67.580666
