location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AL_01075,2020-01-01,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,22.56,36.81,5.155556,-0.755556,12.994444,0.0,,-1.395833,62.880326
US_AL_01075,2020-01-02,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,,49.81,10.144444,6.066667,15.016667,1.669143,,6.270833,77.581835
US_AL_01075,2020-01-03,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,23.19,46.38,14.666667,12.111111,17.094444,58.710286,,13.006944,91.369744
US_AL_01075,2020-01-04,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,25.88,44.36,11.022222,5.433333,14.716667,6.640286,,6.159722,72.541159
US_AL_01075,2020-01-05,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,23.77,36.28,4.294444,-2.077778,14.822222,0.3302,,-0.965278,68.549126
US_AL_01075,2020-01-06,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,24.65,23.77,8.633333,0.688889,18.494444,0.0,,4.055556,73.361215
US_AL_01075,2020-01-07,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,20.83,39.35,11.3,4.488889,15.511111,0.127,,3.215278,57.804834
US_AL_01075,2020-01-08,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,39.65,38.66,5.65,-2.5,17.45,0.0,,-1.604167,59.422639
US_AL_01075,2020-01-09,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,19.19,29.3,8.188889,0.822222,17.505556,0.0,,0.520833,59.067892
US_AL_01075,2020-01-10,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,13.29,26.58,16.627778,13.705556,19.85,1.74625,,10.5625,67.69738
US_AL_01075,2020-01-11,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,27.7,44.33,18.727778,15.016667,22.016667,10.958286,,15.895833,84.612074
US_AL_01075,2020-01-12,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,21.15,41.05,10.17284,5.932099,15.345679,33.909,,6.238095,78.151513
US_AL_01075,2020-01-13,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,21.0,32.31,9.654321,5.580247,16.67284,0.036286,,7.015873,85.710793
US_AL_01075,2020-01-14,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,19.11,45.86,16.549383,13.975309,18.049383,10.371667,,14.595238,90.380385
US_AL_01075,2020-01-15,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,23.32,26.43,17.277778,14.524691,21.58642,14.06525,,14.984127,87.415471
US_AL_01075,2020-01-16,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,22.4,18.53,15.933333,11.611111,19.8,10.994571,,11.486111,75.321083
US_AL_01075,2020-01-17,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,16.85,23.75,11.155556,7.05,18.477778,0.169333,,-0.0,46.039127
US_AL_01075,2020-01-18,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,45.13,51.23,13.655556,9.422222,16.488889,1.312333,,6.201389,60.273907
US_AL_01075,2020-01-19,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,26.35,32.93,7.311111,1.011111,14.988889,4.318,,-2.069444,51.377999
US_AL_01075,2020-01-20,ChIJsW6IsdGsh4gRB47NLHyT1b4,Q505317,geoId/01075,US,United States of America,AL,Alabama,01075,Lamar County,US,USA,2,,,,,,,13882,6777,7105,1550,1759,1460,1450,1758,1918,1867,1356,764,1848782,33.780556,-88.096389,1568,74.866667,,,,31.91,43.31,-0.455556,-4.25,5.216667,0.0,,-8.125,56.031693
