location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05003,2020-01-01,ChIJuaxeEvTSLYYRJM_hnM1AUwc,Q61026,geoId/05003,US,United States of America,AR,Arkansas,05003,Ashley County,US,USA,2,,,,,,,20311,9853,10458,2581,2570,2326,2100,2536,2840,2584,1868,906,1826817,33.208889,-91.795278,2432,76.233333,,,,10.63,21.92,24.57,31.88,5.481481,0.950617,11.771605,0.0,,-0.430556,65.075324
US_AR_05003,2020-01-02,ChIJuaxeEvTSLYYRJM_hnM1AUwc,Q61026,geoId/05003,US,United States of America,AR,Arkansas,05003,Ashley County,US,USA,2,,,,,,,20311,9853,10458,2581,2570,2326,2100,2536,2840,2584,1868,906,1826817,33.208889,-91.795278,2432,76.233333,,,,9.87,19.73,27.63,51.31,11.211111,8.944444,14.394444,6.88975,,8.209877,81.53381
US_AR_05003,2020-01-03,ChIJuaxeEvTSLYYRJM_hnM1AUwc,Q61026,geoId/05003,US,United States of America,AR,Arkansas,05003,Ashley County,US,USA,2,,,,,,,20311,9853,10458,2581,2570,2326,2100,2536,2840,2584,1868,906,1826817,33.208889,-91.795278,2432,76.233333,,,,11.77,18.96,26.8,39.22,14.944444,12.822222,18.038889,29.36875,,13.364198,90.364071
US_AR_05003,2020-01-04,ChIJuaxeEvTSLYYRJM_hnM1AUwc,Q61026,geoId/05003,US,United States of America,AR,Arkansas,05003,Ashley County,US,USA,2,,,,,,,20311,9853,10458,2581,2570,2326,2100,2536,2840,2584,1868,906,1826817,33.208889,-91.795278,2432,76.233333,,,,,18.89,12.35,36.33,10.205556,4.183333,14.994444,1.580444,,3.458333,62.21989
US_AR_05003,2020-01-05,ChIJuaxeEvTSLYYRJM_hnM1AUwc,Q61026,geoId/05003,US,United States of America,AR,Arkansas,05003,Ashley County,US,USA,2,,,,,,,20311,9853,10458,2581,2570,2326,2100,2536,2840,2584,1868,906,1826817,33.208889,-91.795278,2432,76.233333,,,,,14.34,20.08,24.38,8.983333,1.688889,20.422222,0.0,,2.074074,61.794535
US_AR_05003,2020-01-06,ChIJuaxeEvTSLYYRJM_hnM1AUwc,Q61026,geoId/05003,US,United States of America,AR,Arkansas,05003,Ashley County,US,USA,2,,,,,,,20311,9853,10458,2581,2570,2326,2100,2536,2840,2584,1868,906,1826817,33.208889,-91.795278,2432,76.233333,,,,10.22,13.23,25.86,42.7,11.516667,4.588889,19.827778,0.0,,6.635802,71.827186
US_AR_05003,2020-01-07,ChIJuaxeEvTSLYYRJM_hnM1AUwc,Q61026,geoId/05003,US,United States of America,AR,Arkansas,05003,Ashley County,US,USA,2,,,,,,,20311,9853,10458,2581,2570,2326,2100,2536,2840,2584,1868,906,1826817,33.208889,-91.795278,2432,76.233333,,,,,12.27,19.74,42.15,10.166667,3.85,16.855556,0.0,,1.049383,53.020151
US_AR_05003,2020-01-08,ChIJuaxeEvTSLYYRJM_hnM1AUwc,Q61026,geoId/05003,US,United States of America,AR,Arkansas,05003,Ashley County,US,USA,2,,,,,,,20311,9853,10458,2581,2570,2326,2100,2536,2840,2584,1868,906,1826817,33.208889,-91.795278,2432,76.233333,,,,,17.02,24.47,32.45,7.1,-0.722222,18.283333,0.0,,-0.783951,56.722595
US_AR_05003,2020-01-09,ChIJuaxeEvTSLYYRJM_hnM1AUwc,Q61026,geoId/05003,US,United States of America,AR,Arkansas,05003,Ashley County,US,USA,2,,,,,,,20311,9853,10458,2581,2570,2326,2100,2536,2840,2584,1868,906,1826817,33.208889,-91.795278,2432,76.233333,,,,,,22.27,32.66,11.788889,5.672222,19.661111,0.0,,4.740741,61.626481
US_AR_05003,2020-01-10,ChIJuaxeEvTSLYYRJM_hnM1AUwc,Q61026,geoId/05003,US,United States of America,AR,Arkansas,05003,Ashley County,US,USA,2,,,,,,,20311,9853,10458,2581,2570,2326,2100,2536,2840,2584,1868,906,1826817,33.208889,-91.795278,2432,76.233333,,,,,,19.47,35.44,18.838889,16.616667,22.238889,0.290286,,15.512346,81.375171
