location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05071,2020-01-01,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,12.7,,24.85,,11.6,31.48,10.49,44.73,,3.994444,-1.838889,11.844444,0.0762,,-5.233333,52.592442
US_AR_05071,2020-01-02,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,7.82,9.9,9.9,27.1,16.16,7.82,27.62,9.38,46.39,7.82,9.483333,6.122222,12.944444,0.0,,5.016667,73.781777
US_AR_05071,2020-01-03,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,7.77,12.95,,15.02,8.81,9.32,35.22,,52.32,,9.183333,5.755556,11.911111,1.298222,,7.422222,88.793446
US_AR_05071,2020-01-04,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,8.93,,11.71,15.62,8.93,,35.7,9.48,45.19,13.95,4.527778,-0.211111,9.755556,0.381,,-4.294444,52.838036
US_AR_05071,2020-01-05,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,,8.22,19.72,9.31,11.51,31.23,8.22,48.21,10.41,5.461111,-1.988889,15.783333,0.0,,-3.627778,52.772455
US_AR_05071,2020-01-06,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,9.84,10.29,13.42,11.19,8.05,26.4,8.05,34.45,8.05,5.066667,-1.977778,13.577778,0.0,,-2.061111,60.348406
US_AR_05071,2020-01-07,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,12.2,6.1,16.56,9.15,13.94,33.99,6.1,37.47,,5.444444,-1.3,13.255556,0.0,,-3.983333,51.003321
US_AR_05071,2020-01-08,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,14.24,13.35,8.01,14.68,10.23,12.46,29.81,7.12,46.71,11.57,7.166667,-0.188889,17.322222,0.0,,-4.916667,43.674598
US_AR_05071,2020-01-09,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,7.71,14.14,9.43,17.57,10.71,9.0,37.72,8.14,47.15,18.43,12.05,9.705556,14.4,0.0,,4.655556,60.819415
US_AR_05071,2020-01-10,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,6.83,6.83,,10.45,6.43,6.03,24.51,6.03,42.19,7.63,15.95,12.944444,18.85,10.16,,14.744444,92.730057
