location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05083,2020-01-01,ChIJ0xQhmdt3zIcRz5ow_Mzo_Ug,Q61363,geoId/05083,US,United States of America,AR,Arkansas,05083,Logan County,US,USA,2,,,,,,,21739,10798,10941,2507,2782,2488,2340,2649,3269,2789,1913,1002,1818418,35.224722,-93.740556,1895,75.883333,,,,,13.82,23.04,29.95,44.55,3.598765,-2.030864,11.314815,0.0,,-4.469136,56.767928
US_AR_05083,2020-01-02,ChIJ0xQhmdt3zIcRz5ow_Mzo_Ug,Q61363,geoId/05083,US,United States of America,AR,Arkansas,05083,Logan County,US,USA,2,,,,,,,21739,10798,10941,2507,2782,2488,2340,2649,3269,2789,1913,1002,1818418,35.224722,-93.740556,1895,75.883333,,,,,12.72,17.21,34.42,62.86,10.283951,6.82716,13.820988,0.0,,5.62963,73.064924
US_AR_05083,2020-01-03,ChIJ0xQhmdt3zIcRz5ow_Mzo_Ug,Q61363,geoId/05083,US,United States of America,AR,Arkansas,05083,Logan County,US,USA,2,,,,,,,21739,10798,10941,2507,2782,2488,2340,2649,3269,2789,1913,1002,1818418,35.224722,-93.740556,1895,75.883333,,,,,,,23.74,46.75,10.098765,6.623457,13.067901,1.890889,,7.901235,86.277107
US_AR_05083,2020-01-04,ChIJ0xQhmdt3zIcRz5ow_Mzo_Ug,Q61363,geoId/05083,US,United States of America,AR,Arkansas,05083,Logan County,US,USA,2,,,,,,,21739,10798,10941,2507,2782,2488,2340,2649,3269,2789,1913,1002,1818418,35.224722,-93.740556,1895,75.883333,,,,,18.65,23.51,28.38,47.03,5.308642,0.450617,10.95679,0.53975,,-4.037037,51.135108
US_AR_05083,2020-01-05,ChIJ0xQhmdt3zIcRz5ow_Mzo_Ug,Q61363,geoId/05083,US,United States of America,AR,Arkansas,05083,Logan County,US,USA,2,,,,,,,21739,10798,10941,2507,2782,2488,2340,2649,3269,2789,1913,1002,1818418,35.224722,-93.740556,1895,75.883333,,,,,16.18,,36.41,29.13,5.604938,-1.820988,16.604938,0.0,,-3.030864,54.365494
US_AR_05083,2020-01-06,ChIJ0xQhmdt3zIcRz5ow_Mzo_Ug,Q61363,geoId/05083,US,United States of America,AR,Arkansas,05083,Logan County,US,USA,2,,,,,,,21739,10798,10941,2507,2782,2488,2340,2649,3269,2789,1913,1002,1818418,35.224722,-93.740556,1895,75.883333,,,,,14.38,,26.14,54.24,5.623457,-1.567901,14.802469,0.0,,-1.104938,62.210805
US_AR_05083,2020-01-07,ChIJ0xQhmdt3zIcRz5ow_Mzo_Ug,Q61363,geoId/05083,US,United States of America,AR,Arkansas,05083,Logan County,US,USA,2,,,,,,,21739,10798,10941,2507,2782,2488,2340,2649,3269,2789,1913,1002,1818418,35.224722,-93.740556,1895,75.883333,,,,,21.17,13.08,26.16,44.22,6.290123,-1.296296,14.611111,0.0,,-3.666667,49.564326
US_AR_05083,2020-01-08,ChIJ0xQhmdt3zIcRz5ow_Mzo_Ug,Q61363,geoId/05083,US,United States of America,AR,Arkansas,05083,Logan County,US,USA,2,,,,,,,21739,10798,10941,2507,2782,2488,2340,2649,3269,2789,1913,1002,1818418,35.224722,-93.740556,1895,75.883333,,,,,,12.94,28.83,36.48,6.580247,-1.148148,17.54321,0.0,,-4.388889,46.783603
US_AR_05083,2020-01-09,ChIJ0xQhmdt3zIcRz5ow_Mzo_Ug,Q61363,geoId/05083,US,United States of America,AR,Arkansas,05083,Logan County,US,USA,2,,,,,,,21739,10798,10941,2507,2782,2488,2340,2649,3269,2789,1913,1002,1818418,35.224722,-93.740556,1895,75.883333,,,,,,8.35,32.29,39.53,13.255556,11.372222,15.694444,0.0,,5.644444,60.738355
US_AR_05083,2020-01-10,ChIJ0xQhmdt3zIcRz5ow_Mzo_Ug,Q61363,geoId/05083,US,United States of America,AR,Arkansas,05083,Logan County,US,USA,2,,,,,,,21739,10798,10941,2507,2782,2488,2340,2649,3269,2789,1913,1002,1818418,35.224722,-93.740556,1895,75.883333,,,,,,9.92,31.95,31.95,17.105556,14.188889,20.172222,12.3444,,15.388889,89.795988
