location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_CA_06043,2020-01-01,ChIJey7XBpaFloARsZQNIKqDzZo,Q156191,geoId/06043,US,United States of America,CA,California,06043,Mariposa County,US,USA,2,,,,,,,17414,8874,8540,1531,1569,1803,1751,1661,2714,3211,2122,1052,396465,37.58,-119.91,3789,78.4,,,,,9.5,10.1,,18.41,11.28,24.35,14.85,33.85,11.28,6.394444,-0.194444,13.777778,0.0,2.438272,76.185233
US_CA_06043,2020-01-02,ChIJey7XBpaFloARsZQNIKqDzZo,Q156191,geoId/06043,US,United States of America,CA,California,06043,Mariposa County,US,USA,2,,,,,,,17414,8874,8540,1531,1569,1803,1751,1661,2714,3211,2122,1052,396465,37.58,-119.91,3789,78.4,,,,,,15.54,11.51,18.42,8.63,35.68,14.39,34.53,10.36,6.522222,0.9,13.477778,0.0,2.67284,76.021529
US_CA_06043,2020-01-03,ChIJey7XBpaFloARsZQNIKqDzZo,Q156191,geoId/06043,US,United States of America,CA,California,06043,Mariposa County,US,USA,2,,,,,,,17414,8874,8540,1531,1569,1803,1751,1661,2714,3211,2122,1052,396465,37.58,-119.91,3789,78.4,,,,,10.3,14.31,11.45,18.31,9.73,21.75,10.87,30.9,9.73,7.094444,0.911111,15.344444,0.0,2.462963,75.270382
US_CA_06043,2020-01-04,ChIJey7XBpaFloARsZQNIKqDzZo,Q156191,geoId/06043,US,United States of America,CA,California,06043,Mariposa County,US,USA,2,,,,,,,17414,8874,8540,1531,1569,1803,1751,1661,2714,3211,2122,1052,396465,37.58,-119.91,3789,78.4,,,,,14.02,9.75,9.75,19.51,,12.8,,49.38,,8.666667,2.25,15.438889,0.0,1.987654,65.380074
US_CA_06043,2020-01-05,ChIJey7XBpaFloARsZQNIKqDzZo,Q156191,geoId/06043,US,United States of America,CA,California,06043,Mariposa County,US,USA,2,,,,,,,17414,8874,8540,1531,1569,1803,1751,1661,2714,3211,2122,1052,396465,37.58,-119.91,3789,78.4,,,,,,16.63,9.6,19.19,10.24,31.35,,39.66,,6.811111,0.938889,14.216667,0.0,1.82716,71.280305
US_CA_06043,2020-01-06,ChIJey7XBpaFloARsZQNIKqDzZo,Q156191,geoId/06043,US,United States of America,CA,California,06043,Mariposa County,US,USA,2,,,,,,,17414,8874,8540,1531,1569,1803,1751,1661,2714,3211,2122,1052,396465,37.58,-119.91,3789,78.4,,,,,,,12.43,15.98,9.47,18.34,15.98,49.12,14.79,5.044444,-0.566667,12.872222,0.0,0.648148,74.474404
US_CA_06043,2020-01-07,ChIJey7XBpaFloARsZQNIKqDzZo,Q156191,geoId/06043,US,United States of America,CA,California,06043,Mariposa County,US,USA,2,,,,,,,17414,8874,8540,1531,1569,1803,1751,1661,2714,3211,2122,1052,396465,37.58,-119.91,3789,78.4,,,,,20.49,14.9,,21.73,10.56,29.18,,45.33,13.04,4.038889,-1.122222,11.733333,0.0,0.555556,81.336892
US_CA_06043,2020-01-08,ChIJey7XBpaFloARsZQNIKqDzZo,Q156191,geoId/06043,US,United States of America,CA,California,06043,Mariposa County,US,USA,2,,,,,,,17414,8874,8540,1531,1569,1803,1751,1661,2714,3211,2122,1052,396465,37.58,-119.91,3789,78.4,,,,,11.16,10.54,11.16,12.4,,44.62,11.16,50.82,19.21,5.172222,-0.366667,10.777778,0.0,1.314815,78.067005
US_CA_06043,2020-01-09,ChIJey7XBpaFloARsZQNIKqDzZo,Q156191,geoId/06043,US,United States of America,CA,California,06043,Mariposa County,US,USA,2,,,,,,,17414,8874,8540,1531,1569,1803,1751,1661,2714,3211,2122,1052,396465,37.58,-119.91,3789,78.4,,,,,9.55,10.74,,11.94,,38.79,8.95,49.54,10.74,4.711111,2.211111,8.511111,0.127,2.061728,80.082526
US_CA_06043,2020-01-10,ChIJey7XBpaFloARsZQNIKqDzZo,Q156191,geoId/06043,US,United States of America,CA,California,06043,Mariposa County,US,USA,2,,,,,,,17414,8874,8540,1531,1569,1803,1751,1661,2714,3211,2122,1052,396465,37.58,-119.91,3789,78.4,,,,,,12.17,,17.3,12.17,35.88,,43.56,9.61,3.7,-1.327778,11.172222,2.6162,0.919753,80.777474
