location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_CA_06051,2020-01-01,ChIJ2ZngE-r2lYARS4EQzITgoYg,Q156366,geoId/06051,US,United States of America,CA,California,06051,Mono County,US,USA,2,,,,,,,14354,7614,6740,1441,1526,2067,2145,1779,2166,1950,906,374,396472,37.916667,-118.866667,8111,80.95,,,,,,4.39,5.35,4.58,4.01,4.97,19.11,9.17,6.11,2.67,6.11,2.67,17.77,3.82,4.01,3.63,31.33,3.44,4.78,4.462963,-2.12963,12.45679,0.0,,-1.506944,67.289711
US_CA_06051,2020-01-02,ChIJ2ZngE-r2lYARS4EQzITgoYg,Q156366,geoId/06051,US,United States of America,CA,California,06051,Mono County,US,USA,2,,,,,,,14354,7614,6740,1441,1526,2067,2145,1779,2166,1950,906,374,396472,37.916667,-118.866667,8111,80.95,,,,,,7.39,8.36,6.03,4.47,3.89,13.61,8.36,3.11,,4.67,5.05,21.57,3.69,3.5,7.19,33.24,4.67,5.83,5.080247,-0.549383,12.234568,0.0,,-1.9375,62.650301
US_CA_06051,2020-01-03,ChIJ2ZngE-r2lYARS4EQzITgoYg,Q156366,geoId/06051,US,United States of America,CA,California,06051,Mono County,US,USA,2,,,,,,,14354,7614,6740,1441,1526,2067,2145,1779,2166,1950,906,374,396472,37.916667,-118.866667,8111,80.95,,,,,,5.46,6.41,6.41,4.15,3.77,20.16,8.48,3.96,3.39,3.77,4.33,30.9,5.46,,2.83,33.92,5.09,7.16,5.364198,-1.17284,14.17284,0.0,,-2.243056,62.110245
US_CA_06051,2020-01-04,ChIJ2ZngE-r2lYARS4EQzITgoYg,Q156366,geoId/06051,US,United States of America,CA,California,06051,Mono County,US,USA,2,,,,,,,14354,7614,6740,1441,1526,2067,2145,1779,2166,1950,906,374,396472,37.916667,-118.866667,8111,80.95,,,,,,9.2,6.0,5.8,4.4,,17.0,8.4,5.2,,6.4,3.0,26.6,4.6,4.8,3.4,30.8,3.8,5.2,7.083333,0.277778,14.201389,0.0,,-3.111111,50.761636
US_CA_06051,2020-01-05,ChIJ2ZngE-r2lYARS4EQzITgoYg,Q156366,geoId/06051,US,United States of America,CA,California,06051,Mono County,US,USA,2,,,,,,,14354,7614,6740,1441,1526,2067,2145,1779,2166,1950,906,374,396472,37.916667,-118.866667,8111,80.95,,,,,,6.41,8.21,6.92,3.59,4.36,17.7,8.72,5.9,3.59,4.62,4.1,32.32,6.16,5.13,3.59,38.22,,6.16,4.465278,-1.722222,12.861111,0.0,,-3.547619,58.740571
US_CA_06051,2020-01-06,ChIJ2ZngE-r2lYARS4EQzITgoYg,Q156366,geoId/06051,US,United States of America,CA,California,06051,Mono County,US,USA,2,,,,,,,14354,7614,6740,1441,1526,2067,2145,1779,2166,1950,906,374,396472,37.916667,-118.866667,8111,80.95,,,,,,5.22,6.32,,5.5,,12.92,9.34,6.6,,4.67,4.12,24.18,4.95,4.95,,33.8,,5.5,2.746914,-3.932099,11.54321,0.0,,-5.326389,59.985483
US_CA_06051,2020-01-07,ChIJ2ZngE-r2lYARS4EQzITgoYg,Q156366,geoId/06051,US,United States of America,CA,California,06051,Mono County,US,USA,2,,,,,,,14354,7614,6740,1441,1526,2067,2145,1779,2166,1950,906,374,396472,37.916667,-118.866667,8111,80.95,,,,,,5.74,7.92,4.37,,4.64,16.94,7.65,7.65,,,,18.85,3.83,5.46,7.92,33.61,5.46,,2.444444,-4.018519,12.530864,0.0,,-4.888889,63.239955
US_CA_06051,2020-01-08,ChIJ2ZngE-r2lYARS4EQzITgoYg,Q156366,geoId/06051,US,United States of America,CA,California,06051,Mono County,US,USA,2,,,,,,,14354,7614,6740,1441,1526,2067,2145,1779,2166,1950,906,374,396472,37.916667,-118.866667,8111,80.95,,,,,,5.97,,7.11,5.12,6.83,16.22,6.54,4.84,,5.12,,31.3,4.27,6.54,5.41,39.26,9.67,4.55,3.561111,-3.444444,10.188889,0.0,,-5.685185,54.484591
US_CA_06051,2020-01-09,ChIJ2ZngE-r2lYARS4EQzITgoYg,Q156366,geoId/06051,US,United States of America,CA,California,06051,Mono County,US,USA,2,,,,,,,14354,7614,6740,1441,1526,2067,2145,1779,2166,1950,906,374,396472,37.916667,-118.866667,8111,80.95,,,,,,7.12,9.68,9.11,,4.84,13.38,8.54,4.55,5.41,,4.55,25.33,,5.98,4.55,28.46,8.25,8.54,1.8,-1.955556,6.677778,0.141111,,-4.679012,62.409096
US_CA_06051,2020-01-10,ChIJ2ZngE-r2lYARS4EQzITgoYg,Q156366,geoId/06051,US,United States of America,CA,California,06051,Mono County,US,USA,2,,,,,,,14354,7614,6740,1441,1526,2067,2145,1779,2166,1950,906,374,396472,37.916667,-118.866667,8111,80.95,,,,,,5.15,11.38,4.34,6.78,4.88,10.84,5.96,5.96,,,,20.06,4.88,6.24,,32.26,7.32,4.88,0.188889,-6.1,10.266667,1.4478,,-5.524691,67.095823
