location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_CO_08111,2020-01-01,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-9.4,-15.055556,-3.622222,0.127,-13.972222,73.245108
US_CO_08111,2020-01-02,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-6.85,-12.427778,-1.638889,1.886857,-9.576389,80.783973
US_CO_08111,2020-01-03,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-8.666667,-14.555556,-0.822222,0.0635,-12.881944,74.27554
US_CO_08111,2020-01-04,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-6.161111,-12.494444,1.85,0.0,-10.868056,72.208136
US_CO_08111,2020-01-05,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-5.277778,-12.188889,3.144444,0.0,-11.902778,65.616682
US_CO_08111,2020-01-06,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-6.438889,-13.544444,1.377778,0.0,-11.75,67.779505
US_CO_08111,2020-01-07,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-7.277778,-13.644444,1.838889,0.0,-13.854167,63.199058
US_CO_08111,2020-01-08,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-5.705556,-11.583333,2.172222,0.0,-12.527778,62.8937
US_CO_08111,2020-01-09,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-5.438889,-10.4,0.888889,0.0,-10.090278,71.522241
US_CO_08111,2020-01-10,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-6.877778,-12.066667,-2.65,0.550333,-9.847222,78.464686
US_CO_08111,2020-01-11,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-10.383333,-16.266667,-2.35,0.028222,-16.673611,61.394964
US_CO_08111,2020-01-12,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-7.505556,-13.477778,-3.044444,0.254,-11.319444,74.71189
US_CO_08111,2020-01-13,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-5.044444,-9.755556,0.366667,0.719667,-9.638889,70.824733
US_CO_08111,2020-01-14,ChIJxa591NfcPocRwHcYBsw827U,Q370710,geoId/08111,US,United States of America,CO,Colorado,08111,San Juan County,US,USA,2,,,,,,,712,410,302,46,52,62,87,97,120,133,86,29,416522,37.77,-107.67,1006,-4.394444,-11.166667,3.838889,0.225778,-12.347222,58.711298
