location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asperger_syndrome,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_autoimmune_disease,search_trends_back_pain,search_trends_bacterial_vaginosis,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_canker_sore,search_trends_chest_pain,search_trends_chronic_pain,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dandruff,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_dysmenorrhea,search_trends_edema,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_generalized_anxiety_disorder,search_trends_gout,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hemorrhoids,search_trends_hives,search_trends_hypercholesterolemia,search_trends_hyperglycemia,search_trends_hypertension,search_trends_hyperthyroidism,search_trends_hypotension,search_trends_hypothyroidism,search_trends_implantation_bleeding,search_trends_indigestion,search_trends_infection,search_trends_inflammation,search_trends_inflammatory_bowel_disease,search_trends_insomnia,search_trends_iron_deficiency,search_trends_itch,search_trends_kidney_failure,search_trends_kidney_stone,search_trends_knee_pain,search_trends_lesion,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_mood_disorder,search_trends_myocardial_infarction,search_trends_nasal_congestion,search_trends_nausea,search_trends_neck_pain,search_trends_obesity,search_trends_otitis,search_trends_pain,search_trends_panic_attack,search_trends_paresthesia,search_trends_perspiration,search_trends_pneumonia,search_trends_podalgia,search_trends_psychosis,search_trends_scar,search_trends_sciatica,search_trends_shortness_of_breath,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_apnea,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_swollen_lymph_nodes,search_trends_toothache,search_trends_tumor,search_trends_type_2_diabetes,search_trends_urinary_incontinence,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vertigo,search_trends_vomiting,search_trends_wart,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13015,2020-01-01,ChIJVeF10MtP9YgRZzpsh823RrE,Q488181,geoId/13015,US,United States of America,GA,Georgia,13015,Bartow County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105098,51759,53339,13774,14410,13879,13306,14297,14850,11253,6521,2808,1020677,34.24,-84.84,1218,76.035714,,,,,,,2.33,4.36,6.69,4.3,6.75,1.31,5.62,4.06,0.96,0.9,1.97,,4.42,1.44,3.83,1.91,2.09,1.25,2.03,1.49,,1.38,1.2,15.6,3.65,8.61,2.33,,1.38,3.29,2.27,6.04,4.0,1.91,,,,2.33,4.42,2.99,2.39,4.48,,1.08,3.77,1.25,6.1,1.67,3.41,0.9,,,,4.84,0.84,,1.97,,1.31,17.04,5.14,0.84,2.21,1.49,5.26,,1.38,2.03,,2.27,2.63,4.54,,1.67,2.39,2.63,1.08,5.38,1.14,31.02,1.38,1.55,1.38,1.38,0.84,0.96,1.91,1.08,,1.91,2.93,4.9,1.08,1.02,1.73,1.55,1.73,3.17,,1.08,,3.23,1.2,2.99,2.15,0.9,3.71,1.14,2.81,1.44,5.894444,0.166667,12.644444,0.0,-3.416667,51.478392
US_GA_13015,2020-01-02,ChIJVeF10MtP9YgRZzpsh823RrE,Q488181,geoId/13015,US,United States of America,GA,Georgia,13015,Bartow County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105098,51759,53339,13774,14410,13879,13306,14297,14850,11253,6521,2808,1020677,34.24,-84.84,1218,76.035714,,,,,,,2.06,4.12,8.56,3.61,8.29,2.45,5.34,4.73,0.94,2.22,2.33,1.72,4.84,1.61,4.12,1.78,2.61,1.22,1.28,2.5,,,1.17,16.13,2.73,10.29,3.11,1.0,1.22,3.61,1.56,6.17,3.23,1.5,1.22,,2.0,2.39,4.84,4.28,1.78,3.45,,1.0,5.0,1.39,2.73,1.89,3.56,,1.28,0.89,,6.39,0.83,1.11,1.45,1.17,1.95,20.3,4.28,0.89,3.0,1.5,6.34,1.67,1.28,2.11,,2.95,4.0,3.11,1.06,1.0,2.5,1.78,1.61,5.34,1.78,34.53,1.0,1.5,1.45,1.28,1.06,1.0,2.11,1.39,,1.83,3.28,5.5,1.5,,2.56,3.11,2.56,3.56,1.39,1.28,0.89,3.0,1.33,4.23,3.73,,3.39,1.06,2.45,2.17,6.777778,2.327778,11.016667,0.169333,2.9,76.42735
US_GA_13015,2020-01-03,ChIJVeF10MtP9YgRZzpsh823RrE,Q488181,geoId/13015,US,United States of America,GA,Georgia,13015,Bartow County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105098,51759,53339,13774,14410,13879,13306,14297,14850,11253,6521,2808,1020677,34.24,-84.84,1218,76.035714,,,,,,,2.06,4.12,8.13,3.56,7.74,2.0,5.57,3.62,0.78,2.17,2.84,0.95,4.51,1.61,2.95,1.67,1.67,0.95,1.45,1.34,,1.73,1.5,15.2,2.39,9.63,2.06,,1.34,4.23,1.73,6.46,3.79,1.17,0.95,0.95,1.5,2.5,4.4,4.01,2.28,3.67,0.95,,3.56,1.06,3.73,1.95,2.95,1.23,0.89,1.23,,5.96,1.45,0.95,1.45,0.78,1.78,19.59,4.29,0.89,3.06,0.89,6.01,1.45,1.73,1.17,0.83,3.01,4.23,3.17,,2.67,2.12,2.34,1.34,4.06,1.56,31.5,0.95,1.28,1.45,1.84,,1.0,2.39,0.95,,2.34,3.56,4.56,1.17,1.06,2.17,2.0,2.06,5.07,,1.39,1.78,3.06,1.06,4.17,2.12,1.0,3.34,1.06,2.95,2.17,12.272222,6.444444,15.661111,31.284333,11.633333,95.954649
US_GA_13015,2020-01-04,ChIJVeF10MtP9YgRZzpsh823RrE,Q488181,geoId/13015,US,United States of America,GA,Georgia,13015,Bartow County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105098,51759,53339,13774,14410,13879,13306,14297,14850,11253,6521,2808,1020677,34.24,-84.84,1218,76.035714,,,,,,,1.98,4.08,6.65,2.97,7.82,1.75,6.01,3.38,,1.57,1.63,1.05,4.9,0.82,4.14,1.52,2.16,1.57,1.46,2.16,,1.34,,13.01,2.97,8.22,2.04,0.99,1.52,3.03,1.75,6.71,3.97,1.46,0.93,,2.22,2.51,3.56,3.73,2.22,2.92,,0.88,3.67,1.23,3.73,1.46,2.45,2.04,,0.82,0.99,5.95,,1.4,1.17,0.82,0.82,18.49,5.19,0.93,2.97,1.17,6.65,0.99,,1.11,,2.8,2.68,4.2,1.63,0.93,2.92,2.1,2.1,4.02,1.34,31.67,1.46,2.1,2.39,1.34,0.88,0.93,2.27,1.28,,2.62,4.2,5.72,0.93,1.46,1.98,2.62,1.23,5.48,,0.93,,3.62,1.11,3.03,2.51,0.82,2.57,1.17,1.75,1.93,12.238889,5.766667,14.616667,24.892,8.211111,76.590889
US_GA_13015,2020-01-05,ChIJVeF10MtP9YgRZzpsh823RrE,Q488181,geoId/13015,US,United States of America,GA,Georgia,13015,Bartow County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105098,51759,53339,13774,14410,13879,13306,14297,14850,11253,6521,2808,1020677,34.24,-84.84,1218,76.035714,,,,,,,2.43,4.62,7.46,3.79,8.76,0.89,6.27,4.02,,2.37,2.25,,4.44,0.83,2.48,0.89,2.66,1.72,1.3,2.66,0.89,2.01,,15.86,3.02,8.99,2.43,1.12,2.01,3.73,1.3,7.1,4.5,1.6,1.48,,1.42,2.25,3.55,5.21,1.83,3.25,1.18,1.06,4.5,1.06,4.79,1.54,3.19,1.36,1.42,0.89,,5.44,,1.36,,1.12,1.06,18.29,4.79,0.83,3.19,,6.15,0.83,1.06,1.6,,2.78,3.61,4.26,1.3,2.31,2.78,1.77,1.72,4.67,1.54,31.13,1.48,1.89,1.3,1.48,0.89,1.42,2.43,,,2.19,3.25,4.56,1.24,,3.02,2.9,1.66,4.14,1.3,1.83,,3.02,1.48,3.43,2.07,1.24,3.49,1.24,2.96,2.25,4.205556,-0.622222,12.45,0.1778,-2.855556,60.165428
US_GA_13015,2020-01-06,ChIJVeF10MtP9YgRZzpsh823RrE,Q488181,geoId/13015,US,United States of America,GA,Georgia,13015,Bartow County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105098,51759,53339,13774,14410,13879,13306,14297,14850,11253,6521,2808,1020677,34.24,-84.84,1218,76.035714,,,,,,,2.5,3.24,7.45,3.53,8.53,1.88,6.14,4.49,,1.76,3.13,1.31,4.78,,2.33,2.16,3.07,1.31,1.02,2.05,1.08,2.16,1.65,14.5,2.5,8.36,3.41,1.31,2.27,4.44,2.05,7.28,3.58,1.82,1.48,,2.27,2.56,5.06,4.78,2.62,4.38,0.91,0.91,3.92,1.36,3.87,1.59,2.84,1.65,1.25,0.97,0.85,6.71,0.85,0.91,1.08,1.65,1.02,20.36,5.35,1.53,3.58,0.85,6.08,0.8,1.25,1.42,1.71,3.07,3.87,3.47,0.85,1.82,2.05,2.62,1.36,4.55,1.19,31.05,1.59,1.53,1.53,1.53,1.02,1.02,2.96,1.08,,2.73,3.19,5.06,1.82,1.02,2.27,1.99,2.62,3.81,0.97,0.8,0.91,3.87,0.91,3.75,1.99,1.02,2.79,1.02,3.24,2.1,6.316667,-0.544444,15.916667,0.0,0.294444,65.541095
US_GA_13015,2020-01-07,ChIJVeF10MtP9YgRZzpsh823RrE,Q488181,geoId/13015,US,United States of America,GA,Georgia,13015,Bartow County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105098,51759,53339,13774,14410,13879,13306,14297,14850,11253,6521,2808,1020677,34.24,-84.84,1218,76.035714,,,,,,,1.81,4.3,6.68,3.62,9.34,1.81,6.56,4.81,,1.64,3.11,1.75,4.36,0.96,2.77,1.87,1.53,1.3,1.81,2.72,1.19,1.75,0.91,14.77,3.23,8.77,3.17,,1.64,3.11,2.15,8.77,3.23,1.42,1.02,0.85,1.98,2.94,4.75,2.83,2.04,3.28,0.91,1.42,3.56,1.13,3.68,1.07,3.0,2.21,,1.53,,7.02,1.25,1.19,1.92,1.02,1.02,20.37,5.04,0.85,3.11,1.07,6.28,1.02,1.81,1.58,0.85,2.32,3.79,3.68,0.79,1.87,2.72,1.58,1.36,4.75,1.07,33.55,,2.32,,2.26,1.81,1.42,1.92,0.96,,2.15,3.85,4.98,0.91,1.47,1.81,2.26,2.21,3.9,,1.36,1.07,3.73,1.58,3.85,2.26,,2.55,1.3,2.77,2.04,10.038889,3.277778,14.322222,0.7112,2.488889,59.495168
US_GA_13015,2020-01-08,ChIJVeF10MtP9YgRZzpsh823RrE,Q488181,geoId/13015,US,United States of America,GA,Georgia,13015,Bartow County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105098,51759,53339,13774,14410,13879,13306,14297,14850,11253,6521,2808,1020677,34.24,-84.84,1218,76.035714,,,,,,,2.03,3.77,6.98,3.32,8.55,2.31,6.64,5.01,1.18,1.69,3.71,1.52,4.45,1.91,4.11,1.41,2.65,0.96,2.31,2.65,0.79,1.18,,15.42,3.21,8.55,3.38,,1.63,3.54,2.59,9.85,2.48,1.41,1.18,,2.48,2.98,4.84,5.46,2.19,2.59,1.24,1.01,3.66,1.58,2.65,1.41,2.53,1.24,,,1.41,6.42,,1.29,1.63,0.79,1.13,27.52,5.91,,3.15,1.46,5.57,1.29,1.58,1.63,0.9,2.36,3.66,3.1,1.13,1.58,1.97,2.31,1.13,3.66,1.18,32.81,1.63,1.29,1.75,2.59,1.24,1.35,1.97,1.13,,2.53,3.49,12.44,1.18,0.9,2.03,1.46,2.59,3.94,,,,4.16,0.96,3.6,2.53,0.9,2.08,1.35,2.59,2.14,6.927778,-0.116667,15.422222,0.0,-3.45,47.817079
US_GA_13015,2020-01-09,ChIJVeF10MtP9YgRZzpsh823RrE,Q488181,geoId/13015,US,United States of America,GA,Georgia,13015,Bartow County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105098,51759,53339,13774,14410,13879,13306,14297,14850,11253,6521,2808,1020677,34.24,-84.84,1218,76.035714,,,,,,,2.48,3.89,6.26,3.27,7.5,2.14,6.54,4.12,,2.03,3.78,1.47,4.57,1.41,3.44,1.3,1.69,1.24,2.14,2.76,0.79,2.31,,15.91,3.05,8.29,2.99,0.9,1.69,3.95,1.64,8.52,3.61,2.09,,,1.97,2.6,4.4,4.85,2.03,3.72,1.24,0.9,2.88,1.19,5.13,1.47,3.05,,1.07,1.41,,6.77,1.19,1.58,1.86,1.92,1.3,27.53,5.42,,2.65,1.64,6.09,1.19,1.58,1.41,,2.2,3.95,4.68,1.13,2.2,1.8,2.6,1.13,4.79,1.52,35.26,1.24,1.41,1.92,2.03,0.85,0.79,2.6,1.13,0.79,2.43,3.67,11.22,,1.3,1.92,2.09,2.93,5.25,1.24,1.07,1.13,4.34,0.85,3.95,2.43,1.07,3.27,1.24,3.16,2.48,7.25,-0.605556,16.794444,0.0,-1.016667,55.83534
US_GA_13015,2020-01-10,ChIJVeF10MtP9YgRZzpsh823RrE,Q488181,geoId/13015,US,United States of America,GA,Georgia,13015,Bartow County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105098,51759,53339,13774,14410,13879,13306,14297,14850,11253,6521,2808,1020677,34.24,-84.84,1218,76.035714,,,,,,,2.63,3.76,5.27,2.97,8.41,2.86,6.0,5.44,1.01,1.63,2.63,1.29,4.88,,3.14,1.63,3.25,1.46,1.51,2.58,,1.74,1.57,13.74,2.41,8.8,2.19,0.9,1.51,3.87,1.35,7.62,3.48,2.35,,1.06,2.41,2.92,4.37,4.32,1.74,3.31,,1.63,3.25,0.9,3.98,1.79,2.41,1.29,,0.9,1.23,7.01,1.01,0.9,1.29,1.4,1.4,19.18,5.33,0.79,3.03,1.68,5.38,1.01,0.79,1.18,,2.35,3.2,5.44,1.12,2.3,2.02,2.02,1.01,4.32,1.29,31.4,1.46,2.07,1.57,1.63,1.12,1.79,1.74,1.23,,1.57,2.63,7.34,1.46,0.9,2.07,1.51,2.35,4.65,1.06,1.23,0.95,3.48,,3.53,2.8,1.57,2.35,,1.91,2.35,14.066667,10.833333,18.316667,0.0,6.955556,62.60474
