location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13029,2020-01-01,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,3.62,4.3,9.81,7.23,8.95,6.71,2.58,,3.1,7.23,2.58,,2.58,3.44,14.29,2.93,7.92,4.65,4.3,,8.44,5.51,3.27,4.82,3.79,4.3,2.93,4.82,6.37,3.96,3.1,4.82,24.27,4.65,2.93,8.44,4.82,4.48,4.65,,4.48,43.21,2.58,5.68,9.12,,3.62,8.26,,5.68,3.62,,3.79,3.1,10.08642,4.703704,16.734568,0.0,,0.444444,52.017478
US_GA_13029,2020-01-02,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,2.38,2.88,7.81,5.09,12.22,8.15,5.26,,4.92,5.6,6.79,2.72,3.06,2.88,17.48,2.88,14.43,4.58,4.58,3.56,6.96,5.94,,4.58,4.24,4.07,3.56,4.92,5.6,4.92,2.88,6.28,24.27,7.3,2.55,9.0,3.23,5.09,6.62,2.72,6.28,41.24,2.55,4.92,10.35,,3.9,6.11,4.41,3.9,3.4,4.92,3.23,3.23,10.722222,5.549383,18.259259,0.0,,4.993056,68.976631
US_GA_13029,2020-01-03,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,5.24,5.91,10.98,6.08,10.65,9.12,4.56,2.7,2.87,4.9,8.79,,,2.7,17.91,4.9,9.63,3.55,5.75,4.56,8.96,4.39,2.87,2.7,5.58,3.89,,7.94,4.9,2.87,4.56,8.62,24.16,6.59,4.05,8.28,3.04,4.9,6.93,,5.75,43.43,3.55,4.39,6.76,,2.7,9.97,4.73,3.89,,3.38,3.89,3.38,19.320988,12.222222,24.981481,0.0,,15.631944,78.266161
US_GA_13029,2020-01-04,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,2.68,3.85,10.55,6.2,12.9,5.53,6.7,,2.35,7.71,3.69,,,4.02,17.93,4.19,10.22,3.85,5.53,4.02,9.21,5.03,,4.36,7.54,3.85,3.69,4.19,7.54,7.2,3.35,7.71,23.12,7.37,4.69,9.72,3.18,4.19,5.86,,6.37,44.39,4.36,4.69,7.04,3.02,,5.03,4.19,2.85,2.51,3.69,2.51,3.69,19.592593,15.771605,23.808642,1.905,,15.958333,78.628821
US_GA_13029,2020-01-05,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,,4.71,8.92,3.7,12.46,10.94,5.72,,3.7,8.92,4.04,4.71,,3.37,14.81,5.22,8.92,2.86,3.2,3.2,6.06,4.54,,3.54,4.21,4.54,3.2,4.71,5.05,3.03,3.37,6.23,26.93,8.08,3.37,9.6,4.71,5.39,3.03,,2.52,43.93,,3.54,7.07,4.04,2.36,5.55,3.7,4.21,4.04,,5.72,2.69,9.530864,3.469136,18.32716,1.806222,,-0.486111,49.911978
US_GA_13029,2020-01-06,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,2.73,4.44,9.05,2.9,11.44,8.03,5.63,2.9,4.27,8.71,4.61,2.39,,2.73,13.49,3.07,6.66,4.78,6.49,,10.07,4.78,4.27,2.39,4.78,5.12,2.9,4.44,5.63,6.15,3.42,7.51,26.3,8.03,4.27,10.25,3.07,7.51,5.46,3.24,7.86,45.25,3.59,4.1,8.03,3.93,3.42,6.32,4.27,4.27,,4.1,3.24,3.42,9.530864,3.592593,19.160494,0.0,,2.861111,64.155413
US_GA_13029,2020-01-07,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,3.91,5.05,9.12,4.07,10.1,10.75,4.89,2.44,5.7,7.49,4.72,3.42,2.77,,10.59,3.1,8.14,3.75,8.31,,8.31,3.42,3.58,2.44,3.1,4.72,2.28,4.56,4.89,4.89,2.93,7.66,23.95,5.05,5.38,9.61,4.56,6.19,5.7,,7.49,45.78,3.1,4.4,8.63,4.24,3.1,6.68,2.77,4.89,2.44,3.26,3.26,3.75,11.790123,5.808642,19.666667,0.0,,6.166667,69.391516
US_GA_13029,2020-01-08,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,,6.24,9.81,4.1,10.7,7.49,7.49,,5.53,7.85,3.75,2.68,,3.75,14.45,5.35,8.92,2.85,5.53,2.5,10.7,5.0,9.63,4.28,6.96,5.17,4.1,3.75,3.75,5.17,,9.45,33.0,7.85,5.53,7.31,4.46,4.82,5.89,2.68,7.67,43.7,3.03,5.0,14.63,2.5,4.46,7.13,4.46,3.57,4.28,5.0,4.64,,9.888889,1.858025,18.67284,0.0,,-1.083333,47.397399
US_GA_13029,2020-01-09,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,2.83,5.85,9.21,4.08,13.11,7.62,9.92,3.9,7.8,5.85,6.03,5.32,,3.19,19.14,3.19,10.99,5.14,5.85,4.61,7.26,3.01,14.88,5.85,5.67,5.67,3.19,5.85,4.96,4.25,3.72,6.73,30.48,7.44,4.43,6.91,,,4.25,3.01,7.26,39.34,,5.49,13.29,,3.01,5.32,4.43,5.67,2.66,3.9,4.43,3.9,9.450617,1.759259,20.648148,0.0,,3.875,69.901895
US_GA_13029,2020-01-10,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,,5.34,9.39,3.72,11.33,10.52,5.83,2.59,4.37,6.96,5.5,3.08,,3.08,14.89,4.04,8.25,3.4,5.66,3.24,8.58,5.18,4.86,,5.66,3.72,2.75,4.37,3.08,6.96,4.53,6.31,30.58,5.02,4.69,7.12,4.04,4.53,5.83,2.27,7.93,43.21,3.56,6.47,10.84,2.27,2.91,5.18,,4.37,3.08,3.24,5.34,2.43,16.567901,12.901235,22.635802,0.0,,12.527778,76.853495
