location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13035,2020-01-01,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,13.05,11.18,,,20.04,7.46,,27.96,7.92,7.46,46.6,,6.99,7.322222,1.566667,14.038889,0.0,-2.611111,49.426133
US_GA_13035,2020-01-02,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,6.5,9.97,,,19.94,10.4,10.84,26.88,,,44.65,,8.24,8.0,3.766667,12.144444,2.068286,3.927778,75.666093
US_GA_13035,2020-01-03,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,8.51,10.64,,7.66,22.13,8.09,11.07,25.11,,6.81,42.56,8.51,,14.744444,7.994444,20.027778,19.920857,13.505556,92.540035
US_GA_13035,2020-01-04,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,12.23,12.23,6.79,,16.75,9.06,7.7,24.45,9.51,,41.66,,7.7,14.183333,8.85,17.622222,22.569714,10.166667,76.882792
US_GA_13035,2020-01-05,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,,7.79,6.49,,23.38,,,29.0,8.22,9.96,43.29,10.39,9.52,5.338889,-0.311111,14.238889,0.366889,-2.533333,56.94587
US_GA_13035,2020-01-06,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,8.36,18.49,8.36,7.04,15.41,9.69,9.69,26.85,9.69,8.36,47.1,7.92,,7.8,0.711111,17.522222,0.0,1.322222,63.809386
US_GA_13035,2020-01-07,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,,12.8,5.43,,13.96,6.21,10.86,29.48,,6.21,43.83,5.43,5.82,11.083333,4.083333,16.361111,0.197556,3.855556,61.160798
US_GA_13035,2020-01-08,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,7.9,10.54,,,16.18,12.42,9.41,34.62,,12.42,42.9,15.05,5.64,7.983333,0.588889,16.561111,0.0,-3.1,45.66001
US_GA_13035,2020-01-09,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,7.68,10.37,11.13,6.14,13.44,7.29,8.45,29.17,5.76,5.37,41.07,14.59,,7.633333,-0.6,18.266667,0.0,-0.011111,58.692712
US_GA_13035,2020-01-10,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,9.71,8.63,5.75,,16.18,9.35,9.71,23.38,5.39,6.47,37.76,,7.55,14.738889,10.161111,19.655556,0.0,9.133333,69.214351
US_GA_13035,2020-01-11,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,7.09,10.85,13.77,5.84,12.94,,7.09,23.37,,,42.99,,5.84,18.533333,13.211111,21.461111,1.693333,16.455556,87.799999
US_GA_13035,2020-01-12,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,9.24,,8.36,,12.31,11.88,10.99,32.98,7.04,8.36,42.22,,11.44,15.744444,8.922222,21.333333,29.760333,12.933333,83.45231
US_GA_13035,2020-01-13,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,9.27,5.93,9.27,6.3,12.24,6.3,7.79,21.88,5.19,8.16,41.54,5.56,6.3,16.983333,13.077778,19.561111,9.821333,15.733333,92.475623
US_GA_13035,2020-01-14,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,5.12,12.06,9.14,5.85,13.89,9.51,12.79,22.3,6.95,5.85,42.04,6.21,,17.177778,14.788889,19.366667,24.511,16.518519,95.185397
US_GA_13035,2020-01-15,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,6.1,6.1,6.1,,9.69,8.61,10.05,24.4,6.1,7.18,42.34,6.1,6.82,16.7,12.505556,22.333333,10.595429,15.160494,90.209357
US_GA_13035,2020-01-16,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,6.92,5.76,10.76,,11.14,8.07,8.84,27.29,6.92,,42.66,,8.46,17.405556,13.516667,21.477778,9.978571,12.388889,72.519491
US_GA_13035,2020-01-17,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,8.7,5.8,6.88,5.8,10.51,10.87,7.61,16.66,5.8,7.61,33.33,6.52,5.43,10.766667,6.844444,17.444444,0.0,-2.344444,39.941955
