location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13039,2020-01-01,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,,3.35,6.08,4.47,9.68,,7.69,4.84,1.86,2.73,5.46,4.22,1.86,3.1,,2.23,11.29,3.47,7.69,4.09,,3.47,3.23,6.45,2.73,,2.23,4.34,4.59,3.1,1.86,3.6,,4.71,,2.11,3.6,,20.23,5.83,2.48,6.83,3.85,2.73,3.85,,2.48,3.85,35.24,,,,3.6,8.31,2.23,2.48,2.11,1.99,4.59,3.1,2.23,3.1,2.23,2.85,2.73,11.512346,6.759259,17.703704,0.0,2.083333,54.20426
US_GA_13039,2020-01-02,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,2.77,4.7,7.59,4.58,9.63,,7.59,4.09,1.81,1.93,7.95,4.82,2.77,2.29,1.93,3.25,14.21,3.97,7.83,2.89,,3.97,2.89,7.11,4.09,2.53,4.21,4.46,3.37,2.53,4.46,5.06,,4.09,1.69,3.25,8.31,2.05,24.33,4.58,2.29,8.07,1.93,3.97,3.97,2.77,,4.82,33.72,2.29,,,3.73,8.31,,2.29,3.49,3.01,5.66,3.73,4.34,3.37,3.01,4.58,,13.882716,7.932099,20.783951,0.0,8.287037,71.00485
US_GA_13039,2020-01-03,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,2.88,6.35,8.63,4.43,11.03,2.4,5.63,3.71,2.04,3.48,6.95,4.67,1.92,2.28,1.68,3.6,14.74,3.0,8.75,4.43,,3.83,2.4,7.79,5.87,2.28,2.88,3.24,3.35,3.0,4.31,5.03,2.28,5.39,,3.71,5.15,,21.81,5.63,3.12,9.11,3.24,3.12,4.91,2.52,3.0,4.91,38.95,2.28,2.4,2.52,5.03,7.91,1.92,2.52,2.16,,5.87,2.28,5.39,5.51,3.35,2.04,,21.049383,15.919753,26.981481,0.0,17.731481,82.284603
US_GA_13039,2020-01-04,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,2.88,5.87,6.83,4.91,9.22,,6.47,4.67,,2.16,6.47,3.59,2.4,2.16,,2.64,14.74,3.83,8.15,4.19,1.8,2.76,,7.19,3.47,2.88,3.83,4.55,3.23,2.64,3.59,4.67,2.28,4.19,,3.23,6.11,1.8,17.97,5.51,2.88,6.59,3.12,3.23,3.59,1.8,,3.0,36.3,2.16,2.16,3.95,2.76,5.75,,3.0,2.76,,4.43,3.0,4.67,3.35,2.28,3.0,2.52,21.234568,17.895062,24.919753,0.310444,17.962963,82.856479
US_GA_13039,2020-01-05,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,2.34,2.84,7.65,3.95,9.75,2.1,6.79,5.43,,,5.06,4.2,,5.18,,2.1,12.46,3.46,7.03,3.33,1.85,5.55,3.7,9.13,2.96,1.85,3.83,4.57,2.71,1.85,3.33,2.59,,4.57,,2.1,5.31,,21.59,4.93,2.47,7.28,3.21,4.2,3.95,,2.84,4.32,38.13,3.08,2.84,1.85,4.81,7.28,,2.1,2.47,,5.92,4.2,5.68,2.47,1.85,3.46,3.46,11.518519,5.339506,20.555556,4.826,0.416667,47.776599
US_GA_13039,2020-01-06,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,3.1,3.67,8.38,3.45,8.38,,7.47,4.36,1.95,2.53,6.66,3.22,2.53,3.1,,2.87,14.59,4.13,8.38,4.02,1.72,4.59,1.95,8.5,4.94,,1.84,2.99,4.13,2.64,3.45,3.67,1.72,3.67,3.22,4.48,8.61,4.25,26.07,5.86,2.18,6.89,2.87,2.99,3.33,2.07,2.53,4.71,34.57,,1.61,1.61,4.36,6.43,,,3.45,2.18,2.99,3.67,3.67,1.61,3.22,3.1,,11.104938,5.148148,19.895062,0.0,3.518519,61.613312
US_GA_13039,2020-01-07,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,,3.42,6.84,3.53,8.78,1.71,7.75,5.02,2.17,4.67,4.9,4.45,2.96,2.28,,3.19,11.06,2.39,7.07,2.96,,6.04,2.96,7.87,4.67,2.85,3.76,4.33,3.65,3.53,3.99,3.76,,3.65,,4.22,6.73,2.05,24.29,5.47,3.31,7.53,3.08,4.22,4.22,,,5.25,37.85,2.51,1.82,4.33,4.22,6.96,,2.96,2.28,3.08,6.16,3.31,3.99,3.31,1.71,3.53,,13.617284,6.401235,21.574074,0.0,7.898148,70.417692
US_GA_13039,2020-01-08,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,2.29,4.47,6.3,3.09,9.39,1.83,7.67,4.47,2.06,4.58,5.73,3.44,2.06,3.44,,3.21,12.25,2.29,7.21,2.75,,3.55,1.95,9.51,4.47,1.95,2.98,4.7,3.67,2.86,3.09,2.98,1.72,5.5,1.72,2.63,8.25,,35.39,6.87,3.55,5.27,2.29,2.86,5.38,2.29,2.18,3.44,34.7,,,1.83,4.12,13.97,,2.06,1.83,2.52,4.35,4.7,5.27,,2.86,3.55,2.63,11.58642,5.018519,19.666667,0.0,1.703704,52.002164
US_GA_13039,2020-01-09,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,2.29,3.55,8.7,2.86,9.16,2.75,7.21,4.69,,3.66,5.72,3.21,1.83,1.6,,1.95,12.71,2.29,8.81,3.21,1.6,4.12,2.29,8.47,3.78,3.43,2.29,4.81,3.66,2.29,5.5,4.58,1.95,3.43,1.83,3.21,6.3,,33.31,5.84,3.66,7.44,2.98,3.78,3.78,2.29,3.21,5.61,35.83,2.4,1.95,3.21,5.5,12.02,1.6,4.24,2.86,1.95,6.18,4.24,5.38,3.32,1.6,3.55,2.06,12.549383,4.364198,22.691358,0.0,7.744444,75.659541
US_GA_13039,2020-01-10,ChIJl6NPkwkb5YgRwGvHFXP6tYY,Q110504,geoId/13039,US,United States of America,GA,Georgia,13039,Camden County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53005,27213,25792,7644,6534,9964,7166,5548,6457,5201,3286,1205,417391,30.92,-81.64,2027,76.4,,,,,,,1.8,3.93,5.17,3.71,11.46,3.26,7.53,4.5,,4.38,5.51,2.92,1.57,2.14,,2.14,11.24,2.14,7.42,2.92,,4.27,2.47,12.14,3.15,2.25,2.81,4.5,3.82,3.04,2.92,4.05,3.26,4.72,,3.37,6.18,2.36,25.85,5.51,3.26,4.27,2.58,3.37,4.61,2.14,3.6,6.18,32.82,,,1.57,3.93,8.77,,2.14,,3.93,6.07,3.71,4.27,2.92,3.6,3.15,2.25,20.0,17.425926,23.691358,0.0,15.333333,76.477731
