location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_chest_pain,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_psychosis,search_trends_scar,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13255,2020-01-01,ChIJIetGkwWN9IgRwEJTaAORaAs,Q503486,geoId/13255,US,United States of America,GA,Georgia,13255,Spalding County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65358,31437,33921,8496,8411,8670,8093,7741,8454,7896,5221,2376,1028124,33.26,-84.28,517,73.558333,,,,,2.43,5.76,8.83,4.86,9.72,,4.99,5.76,,,5.76,4.48,2.56,2.05,2.17,2.3,2.81,,16.5,4.99,10.62,4.09,,4.22,,7.29,4.35,,2.43,2.81,3.84,4.48,2.81,3.2,5.5,2.05,4.48,2.3,2.43,6.14,,25.71,8.06,3.58,5.5,2.94,2.05,4.61,2.69,2.81,5.37,36.84,1.79,,,2.3,2.17,4.09,5.88,2.05,2.17,2.3,2.56,6.14,3.84,3.97,3.58,4.48,5.76,2.05,6.888889,1.116667,13.777778,0.0,-3.0,49.505941
US_GA_13255,2020-01-02,ChIJIetGkwWN9IgRwEJTaAORaAs,Q503486,geoId/13255,US,United States of America,GA,Georgia,13255,Spalding County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65358,31437,33921,8496,8411,8670,8093,7741,8454,7896,5221,2376,1028124,33.26,-84.28,517,73.558333,,,,,2.36,4.83,9.43,3.89,10.49,3.18,7.55,6.01,1.77,2.0,6.25,5.07,2.0,2.83,,,3.18,,18.51,3.54,11.44,2.83,1.65,4.13,2.24,8.61,4.36,2.48,2.71,4.72,6.13,4.72,4.48,5.78,6.01,1.89,7.9,2.24,5.19,10.14,2.48,22.76,6.13,4.36,8.73,4.6,4.01,6.01,1.89,3.07,4.83,40.44,2.71,1.77,2.83,2.24,3.89,5.07,5.19,1.65,2.59,2.83,2.83,6.96,5.07,5.54,4.83,3.77,3.07,3.42,7.744444,3.655556,11.911111,2.104571,3.772222,76.185689
US_GA_13255,2020-01-03,ChIJIetGkwWN9IgRwEJTaAORaAs,Q503486,geoId/13255,US,United States of America,GA,Georgia,13255,Spalding County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65358,31437,33921,8496,8411,8670,8093,7741,8454,7896,5221,2376,1028124,33.26,-84.28,517,73.558333,,,,,2.88,5.98,10.7,5.64,11.62,1.96,7.25,6.1,,3.22,5.75,4.25,,4.14,,2.19,2.76,2.3,17.83,4.14,11.73,2.65,,4.49,2.99,7.94,5.52,,2.53,3.1,4.03,4.37,3.33,6.1,4.71,1.96,4.37,,2.99,10.12,,25.88,5.98,3.33,8.63,3.56,3.68,4.71,3.1,2.99,3.91,41.63,2.65,2.07,,3.45,1.73,3.22,5.87,1.73,3.1,2.65,3.56,4.95,5.17,5.64,4.37,5.29,4.03,3.91,14.022222,8.122222,18.255556,26.452286,13.3,95.466815
US_GA_13255,2020-01-04,ChIJIetGkwWN9IgRwEJTaAORaAs,Q503486,geoId/13255,US,United States of America,GA,Georgia,13255,Spalding County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65358,31437,33921,8496,8411,8670,8093,7741,8454,7896,5221,2376,1028124,33.26,-84.28,517,73.558333,,,,,2.16,5.33,9.13,3.68,7.99,,8.24,5.58,2.41,1.9,6.6,3.68,,,2.28,3.04,3.42,2.16,16.74,4.06,10.65,5.2,,4.57,2.54,8.24,4.44,,3.3,3.93,6.47,3.17,1.78,4.57,5.33,,3.93,2.66,4.44,7.86,,22.83,5.07,4.31,8.24,3.3,3.68,4.82,2.92,2.66,5.71,41.35,2.54,2.16,,2.79,2.54,3.42,5.33,1.9,2.03,2.79,2.03,4.44,4.69,5.07,4.19,3.55,3.17,2.66,13.605556,7.855556,16.127778,24.565429,9.561111,76.633847
US_GA_13255,2020-01-05,ChIJIetGkwWN9IgRwEJTaAORaAs,Q503486,geoId/13255,US,United States of America,GA,Georgia,13255,Spalding County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65358,31437,33921,8496,8411,8670,8093,7741,8454,7896,5221,2376,1028124,33.26,-84.28,517,73.558333,,,,,2.95,4.61,10.12,,8.33,2.18,6.41,6.15,1.79,,5.89,3.59,2.43,2.18,1.79,,3.84,,16.91,2.95,11.79,3.2,2.05,3.71,1.92,8.84,4.36,,2.43,2.31,5.64,1.79,3.97,6.53,4.74,2.18,5.38,,4.74,6.53,,23.06,6.53,3.46,8.97,2.05,4.23,4.23,1.79,2.82,4.36,44.97,2.43,,,2.69,2.31,3.08,4.87,2.31,3.08,2.31,,6.28,3.84,5.0,3.46,,3.84,4.36,4.833333,-0.638889,13.411111,0.338667,-2.838889,57.599532
US_GA_13255,2020-01-06,ChIJIetGkwWN9IgRwEJTaAORaAs,Q503486,geoId/13255,US,United States of America,GA,Georgia,13255,Spalding County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65358,31437,33921,8496,8411,8670,8093,7741,8454,7896,5221,2376,1028124,33.26,-84.28,517,73.558333,,,,,2.59,6.59,8.24,3.53,11.53,3.06,8.47,6.59,,2.47,5.06,4.12,2.24,3.65,,,5.29,1.65,13.41,3.41,10.24,2.94,,3.41,2.82,9.3,5.88,2.12,3.41,2.82,6.24,3.41,3.88,3.77,6.59,,4.71,2.82,3.88,8.94,,26.71,7.65,3.65,8.94,3.29,2.82,5.29,,3.06,5.18,44.01,1.65,,2.59,2.12,1.88,3.65,8.12,1.76,2.94,2.59,2.59,7.41,5.88,7.06,3.18,2.71,2.24,1.88,7.561111,0.45,17.244444,0.0,1.094444,63.81444
US_GA_13255,2020-01-07,ChIJIetGkwWN9IgRwEJTaAORaAs,Q503486,geoId/13255,US,United States of America,GA,Georgia,13255,Spalding County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65358,31437,33921,8496,8411,8670,8093,7741,8454,7896,5221,2376,1028124,33.26,-84.28,517,73.558333,,,,,1.62,4.87,8.0,3.35,10.27,2.7,7.89,5.3,1.95,1.84,5.73,6.16,1.51,1.84,1.84,2.6,2.92,1.62,13.62,2.7,8.43,4.0,2.92,3.13,2.81,6.59,3.46,1.73,2.6,2.49,2.38,4.54,2.38,4.54,5.19,1.95,3.57,3.68,2.92,7.14,,24.43,7.14,3.24,6.59,2.6,4.11,3.89,3.78,4.33,5.62,37.19,,2.6,,2.05,3.13,4.22,7.03,,2.27,1.95,3.46,4.11,2.49,4.97,4.43,3.89,3.57,2.27,10.966667,4.6,15.833333,0.254,3.577778,60.387406
US_GA_13255,2020-01-08,ChIJIetGkwWN9IgRwEJTaAORaAs,Q503486,geoId/13255,US,United States of America,GA,Georgia,13255,Spalding County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65358,31437,33921,8496,8411,8670,8093,7741,8454,7896,5221,2376,1028124,33.26,-84.28,517,73.558333,,,,,2.68,4.23,6.6,3.82,10.52,1.86,6.81,4.33,2.79,3.3,5.88,5.88,2.06,3.4,1.75,1.55,3.61,,12.79,5.26,8.25,3.2,2.99,4.33,2.79,8.46,3.2,1.55,,2.37,5.57,3.51,4.13,3.2,4.75,,5.57,2.79,3.51,8.56,1.96,31.47,6.29,3.61,6.91,3.51,4.13,3.4,,2.06,4.02,34.77,,,,1.75,1.55,4.33,12.9,1.75,3.2,1.86,3.1,5.98,4.33,5.67,5.05,3.4,2.06,1.86,7.694444,0.511111,16.327778,0.0,-3.394444,45.584019
US_GA_13255,2020-01-09,ChIJIetGkwWN9IgRwEJTaAORaAs,Q503486,geoId/13255,US,United States of America,GA,Georgia,13255,Spalding County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65358,31437,33921,8496,8411,8670,8093,7741,8454,7896,5221,2376,1028124,33.26,-84.28,517,73.558333,,,,,1.94,4.7,7.26,3.07,8.48,2.25,7.87,5.42,1.74,5.01,4.5,5.11,2.56,2.66,1.53,1.43,3.78,1.43,15.53,4.6,9.3,3.17,1.43,3.99,2.35,7.46,3.88,,2.25,3.48,6.03,3.58,1.43,3.37,3.99,2.25,4.91,,1.94,9.1,1.43,28.61,5.83,4.29,6.03,2.56,4.5,4.91,1.64,2.96,4.39,35.87,2.15,,1.53,1.43,2.04,3.58,9.2,2.45,1.84,1.84,2.86,8.28,4.29,4.91,5.31,3.48,3.07,1.64,7.472222,-0.555556,17.9,0.0,-0.294444,58.096058
US_GA_13255,2020-01-10,ChIJIetGkwWN9IgRwEJTaAORaAs,Q503486,geoId/13255,US,United States of America,GA,Georgia,13255,Spalding County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65358,31437,33921,8496,8411,8670,8093,7741,8454,7896,5221,2376,1028124,33.26,-84.28,517,73.558333,,,,,1.74,4.67,8.57,5.64,10.96,2.39,8.47,6.4,2.06,4.02,4.34,5.1,3.04,,,2.17,4.23,,13.46,3.69,8.25,2.39,1.95,4.45,3.15,8.14,3.37,,1.95,2.6,4.88,2.6,3.15,2.06,3.47,2.17,5.64,2.6,2.39,9.55,,23.01,5.54,3.26,7.06,2.28,5.54,5.32,2.5,2.28,4.12,36.8,1.63,,2.17,4.67,,3.26,6.62,1.95,,2.06,3.04,5.1,3.15,4.78,5.1,2.39,2.39,1.84,14.327778,9.766667,19.072222,0.0,8.694444,69.013351
