location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13279,2020-01-01,ChIJKRuhUFWG8IgRyzhI7Jlm4l4,Q376822,geoId/13279,US,United States of America,GA,Georgia,13279,Toombs County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26859,12711,14148,3820,3946,3307,3262,3171,3346,2962,1969,1076,1074322,32.12,-82.34,955,74.366667,,,,,,7.74,15.92,7.31,,8.17,15.92,13.34,6.88,,,,27.53,,15.06,,43.88,6.45,,8.927778,2.977778,16.344444,0.0,-0.111111,53.440908
US_GA_13279,2020-01-02,ChIJKRuhUFWG8IgRyzhI7Jlm4l4,Q376822,geoId/13279,US,United States of America,GA,Georgia,13279,Toombs County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26859,12711,14148,3820,3946,3307,3262,3171,3346,2962,1969,1076,1074322,32.12,-82.34,955,74.366667,,,,,,11.21,8.31,7.23,,6.87,19.52,13.01,10.85,8.31,5.06,10.48,28.92,5.42,8.31,5.42,50.25,9.4,5.42,10.455556,4.661111,18.372222,0.0,4.922222,69.288983
US_GA_13279,2020-01-03,ChIJKRuhUFWG8IgRyzhI7Jlm4l4,Q376822,geoId/13279,US,United States of America,GA,Georgia,13279,Toombs County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26859,12711,14148,3820,3946,3307,3262,3171,3346,2962,1969,1076,1074322,32.12,-82.34,955,74.366667,,,,,5.42,8.68,9.76,,7.96,,17.72,8.68,,8.68,5.42,5.06,25.31,6.51,8.32,5.79,31.46,9.04,12.29,19.816667,12.705556,26.994444,0.0,15.072222,74.216144
US_GA_13279,2020-01-04,ChIJKRuhUFWG8IgRyzhI7Jlm4l4,Q376822,geoId/13279,US,United States of America,GA,Georgia,13279,Toombs County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26859,12711,14148,3820,3946,3307,3262,3171,3346,2962,1969,1076,1074322,32.12,-82.34,955,74.366667,,,,,9.42,7.78,9.83,6.96,,,14.33,6.14,13.1,,,,27.44,,11.47,,48.32,9.42,7.78,18.733333,14.6,23.944444,5.207,14.972222,78.901015
US_GA_13279,2020-01-05,ChIJKRuhUFWG8IgRyzhI7Jlm4l4,Q376822,geoId/13279,US,United States of America,GA,Georgia,13279,Toombs County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26859,12711,14148,3820,3946,3307,3262,3171,3346,2962,1969,1076,1074322,32.12,-82.34,955,74.366667,,,,,9.47,8.18,14.21,9.04,8.18,,13.78,9.04,,6.89,,9.9,23.68,8.18,7.32,,34.88,,7.75,8.638889,2.588889,15.988889,1.143,-1.238889,50.046407
US_GA_13279,2020-01-06,ChIJKRuhUFWG8IgRyzhI7Jlm4l4,Q376822,geoId/13279,US,United States of America,GA,Georgia,13279,Toombs County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26859,12711,14148,3820,3946,3307,3262,3171,3346,2962,1969,1076,1074322,32.12,-82.34,955,74.366667,,,,,10.24,5.61,7.59,6.93,4.95,5.61,10.57,6.27,10.24,,5.61,14.86,24.76,8.59,6.93,4.95,44.24,6.6,,8.888889,2.327778,19.211111,0.0,2.622222,65.088325
US_GA_13279,2020-01-07,ChIJKRuhUFWG8IgRyzhI7Jlm4l4,Q376822,geoId/13279,US,United States of America,GA,Georgia,13279,Toombs County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26859,12711,14148,3820,3946,3307,3262,3171,3346,2962,1969,1076,1074322,32.12,-82.34,955,74.366667,,,,,5.53,4.95,10.78,5.24,5.24,5.53,11.65,9.03,6.7,6.99,,9.9,22.42,6.41,4.08,7.57,43.68,4.95,5.24,10.761111,4.072222,19.15,0.0,5.361111,69.400103
US_GA_13279,2020-01-08,ChIJKRuhUFWG8IgRyzhI7Jlm4l4,Q376822,geoId/13279,US,United States of America,GA,Georgia,13279,Toombs County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26859,12711,14148,3820,3946,3307,3262,3171,3346,2962,1969,1076,1074322,32.12,-82.34,955,74.366667,,,,,4.71,7.49,6.1,6.66,4.99,6.38,11.37,4.71,8.04,,,10.26,21.91,6.38,5.55,6.38,32.72,10.82,8.6,8.905556,0.244444,18.122222,0.0,-1.638889,48.050567
US_GA_13279,2020-01-09,ChIJKRuhUFWG8IgRyzhI7Jlm4l4,Q376822,geoId/13279,US,United States of America,GA,Georgia,13279,Toombs County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26859,12711,14148,3820,3946,3307,3262,3171,3346,2962,1969,1076,1074322,32.12,-82.34,955,74.366667,,,,,,6.28,9.82,6.55,5.18,6.28,10.37,,7.37,5.73,,7.37,22.1,7.37,6.28,5.18,36.83,7.37,6.0,8.655556,0.188889,21.555556,0.0,3.111111,68.354483
US_GA_13279,2020-01-10,ChIJKRuhUFWG8IgRyzhI7Jlm4l4,Q376822,geoId/13279,US,United States of America,GA,Georgia,13279,Toombs County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26859,12711,14148,3820,3946,3307,3262,3171,3346,2962,1969,1076,1074322,32.12,-82.34,955,74.366667,,,,,7.13,7.4,12.89,,6.03,5.21,8.5,4.39,9.32,4.39,,5.49,19.2,7.95,7.95,4.94,33.18,7.68,,16.855556,12.466667,23.444444,0.0,11.861111,72.501077
US_GA_13279,2020-01-11,ChIJKRuhUFWG8IgRyzhI7Jlm4l4,Q376822,geoId/13279,US,United States of America,GA,Georgia,13279,Toombs County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26859,12711,14148,3820,3946,3307,3262,3171,3346,2962,1969,1076,1074322,32.12,-82.34,955,74.366667,,,,,,10.54,10.96,,8.85,8.85,11.38,,8.43,,,10.12,21.92,8.43,6.32,,43.42,11.8,9.27,20.15,15.177778,25.361111,0.0,17.4,84.28758
