location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19003,2020-01-01,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-0.82716,-6.154321,9.191358,0.0,-3.91358,79.847127
US_IA_19003,2020-01-02,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,3.049383,-1.876543,8.259259,0.0,0.783951,85.389915
US_IA_19003,2020-01-03,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,0.061728,-4.925926,4.679012,0.0,-1.549383,89.017225
US_IA_19003,2020-01-04,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-1.382716,-6.641975,3.864198,0.762,-4.339506,80.591255
US_IA_19003,2020-01-05,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,3.283951,-0.154321,7.833333,0.028222,-3.04321,63.326904
US_IA_19003,2020-01-06,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-1.549383,-6.345679,3.975309,0.0,-4.728395,79.136738
US_IA_19003,2020-01-07,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,0.283951,-5.944444,7.858025,0.0,-3.555556,75.567954
US_IA_19003,2020-01-08,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-2.950617,-8.462963,2.259259,0.0,-8.580247,65.267336
US_IA_19003,2020-01-09,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,5.58642,-0.290123,12.580247,0.0,-2.265432,57.12146
US_IA_19003,2020-01-10,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-2.530864,-6.783951,2.135802,3.556,-3.944444,90.145798
US_IA_19003,2020-01-11,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-10.055556,-13.592593,-5.740741,10.033,-13.037037,79.132464
US_IA_19003,2020-01-12,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-8.111111,-12.901235,-2.555556,0.762,-9.541667,90.369097
US_IA_19003,2020-01-13,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-2.04321,-3.432099,0.790123,1.27,-2.793651,96.159568
US_IA_19003,2020-01-14,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-0.333333,-4.203704,1.777778,0.0,-1.438272,92.304027
US_IA_19003,2020-01-15,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-2.82716,-9.080247,-1.012346,0.0,-3.808642,93.007303
US_IA_19003,2020-01-16,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-14.17284,-18.382716,-8.858025,0.0,-18.326389,70.594361
US_IA_19003,2020-01-17,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-7.024691,-11.790123,-1.0,1.651,-9.201389,83.692962
US_IA_19003,2020-01-18,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-5.197531,-11.833333,0.790123,9.906,-7.430556,84.088236
US_IA_19003,2020-01-19,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-15.37037,-18.95679,-11.345679,0.084667,-19.790123,69.593728
US_IA_19003,2020-01-20,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-17.296296,-20.790123,-13.549383,0.0,-20.173611,77.12114
US_IA_19003,2020-01-21,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-15.691358,-21.345679,-6.024691,0.0,-17.388889,86.921403
US_IA_19003,2020-01-22,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-1.333333,-6.592593,0.796296,0.0,-2.569444,90.496928
US_IA_19003,2020-01-23,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,0.598765,-0.111111,1.382716,10.414,0.284722,97.68277
US_IA_19003,2020-01-24,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-0.179012,-0.858025,0.734568,5.842,-0.75,95.589745
US_IA_19003,2020-01-25,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-1.679012,-4.04321,-0.197531,0.508,-3.104938,90.154756
US_IA_19003,2020-01-26,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-2.308642,-5.012346,0.185185,0.0,-3.022222,96.086888
US_IA_19003,2020-01-27,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-1.111111,-4.623457,1.160494,0.0,-1.626984,95.609572
US_IA_19003,2020-01-28,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-1.950617,-3.740741,-0.012346,0.0,-2.777778,93.56238
US_IA_19003,2020-01-29,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-3.487654,-5.055556,-1.524691,1.016,-4.404762,92.553261
US_IA_19003,2020-01-30,ChIJN64l1uFo64cRlGP1Jks4IVs,Q110768,geoId/19003,US,United States of America,IA,Iowa,19003,Adams County,US,USA,2,,,,,,,3657,1822,1835,454,398,369,376,367,600,516,357,220,1789348,41.029167,-94.699167,1102,78.1,-1.648148,-2.932099,0.944444,0.254,-2.701389,91.663551
