location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19021,2020-01-01,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,8.22,13.16,,20.29,,,16.45,13.71,42.22,9.32,,-3.1,-8.166667,3.261111,0.0,-5.072222,86.428596
US_IA_19021,2020-01-02,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,12.64,,,19.72,,,31.85,13.65,40.95,13.65,,1.172222,-2.683333,3.45,0.0,0.033333,92.233545
US_IA_19021,2020-01-03,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,9.18,9.67,8.7,20.78,8.22,8.22,30.45,,30.45,,,-0.772222,-3.294444,1.694444,0.0,-1.234568,95.892284
US_IA_19021,2020-01-04,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,,8.64,10.8,14.58,8.64,11.34,23.21,,37.79,,,-3.772222,-8.5,1.122222,1.778,-4.883333,92.116422
US_IA_19021,2020-01-05,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,8.41,,,19.97,9.46,,27.33,9.98,38.89,,,1.716667,-2.372222,4.566667,0.0,-1.855556,77.331476
US_IA_19021,2020-01-06,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,5.97,8.35,,16.31,,8.35,21.48,7.96,38.98,5.57,,-1.661111,-4.894444,2.027778,0.0,-3.355556,88.429667
US_IA_19021,2020-01-07,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,,8.12,7.35,15.86,6.96,,25.92,6.58,41.4,8.51,,-2.061111,-7.133333,2.538889,0.0,-3.533333,89.777301
US_IA_19021,2020-01-08,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,9.84,6.81,,16.64,,,35.94,,30.26,14.38,,-8.45,-12.677778,-2.261111,0.0,-13.011111,69.750987
US_IA_19021,2020-01-09,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,,,13.15,13.15,6.96,9.28,46.01,,32.48,9.28,8.51,-0.538889,-6.488889,6.266667,0.0,-4.827778,73.07395
US_IA_19021,2020-01-10,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,5.8,7.34,8.11,11.59,6.57,8.5,41.34,,35.93,7.34,6.96,-5.8,-11.022222,-1.45,0.0,-7.644444,86.97798
US_IA_19021,2020-01-11,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,,,8.24,14.94,,,25.76,,41.22,,,-14.12963,-17.641975,-9.654321,0.0,-18.024691,72.564274
US_IA_19021,2020-01-12,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,17.11,,7.78,21.26,8.3,,24.37,,35.26,,,-11.061728,-15.932099,-4.512346,0.1905,-12.259259,91.003342
US_IA_19021,2020-01-13,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,9.5,6.08,6.46,21.29,11.03,9.12,28.13,9.12,29.65,,,-4.9,-9.0,-1.488889,0.9144,-5.354167,96.1455
US_IA_19021,2020-01-14,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,,12.26,7.67,18.39,7.28,,30.27,5.75,29.89,9.58,,-3.433333,-8.338889,0.477778,0.0,-4.85,90.034851
US_IA_19021,2020-01-15,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,,,7.67,19.56,5.75,,28.38,6.52,37.97,11.12,,-8.5,-15.394444,-4.877778,0.0,-9.761111,90.70477
US_IA_19021,2020-01-16,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,5.58,6.33,7.82,22.71,8.19,,22.71,5.96,26.06,,,-19.277778,-23.488889,-15.172222,0.0508,-22.877778,73.223949
US_IA_19021,2020-01-17,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,,9.58,,14.37,11.98,,18.2,,34.01,,,-10.283333,-15.383333,-4.15,0.0,-12.027778,87.141639
US_IA_19021,2020-01-18,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,10.43,16.88,,18.37,,,18.37,,32.77,,,-9.238889,-17.783333,-1.772222,1.2192,-10.844444,88.361083
US_IA_19021,2020-01-19,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,8.24,9.7,9.7,19.39,,,31.51,8.24,34.42,,8.24,-18.9,-21.005556,-16.405556,0.1778,-22.3,74.626681
US_IA_19021,2020-01-20,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,,,,15.85,7.93,,25.66,,35.86,6.04,,-18.577778,-22.422222,-14.016667,0.0,-20.9,82.046128
US_IA_19021,2020-01-21,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,6.42,6.05,6.42,22.67,6.8,6.05,31.74,,41.56,9.82,5.29,-17.011111,-22.65,-8.305556,0.0,-18.577778,87.83652
US_IA_19021,2020-01-22,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,7.85,11.08,7.85,20.31,,,25.85,10.16,31.86,6.92,7.39,-1.522222,-8.227778,0.994444,0.973667,-2.361111,94.108735
US_IA_19021,2020-01-23,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,9.83,5.67,,20.42,5.67,6.05,30.25,6.05,34.03,8.7,,0.1,-0.65,0.901235,2.794,-0.15,98.25615
US_IA_19021,2020-01-24,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,12.17,7.22,,24.71,11.79,,37.64,7.98,28.14,9.12,5.7,-1.255556,-2.083333,-0.522222,0.3175,-1.805556,96.176077
US_IA_19021,2020-01-25,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,15.21,,10.32,28.8,,8.69,32.6,,34.23,10.32,,-2.394444,-4.511111,-1.155556,0.0,-3.688889,90.985283
US_IA_19021,2020-01-26,ChIJVT2g8-s1jYcRMrOHMiDnUjg,Q111957,geoId/19021,US,United States of America,IA,Iowa,19021,Buena Vista County,US,USA,2,,,,,,,20144,10202,9942,2937,2874,2878,2493,2057,2524,2230,1147,1004,1788771,42.735,-95.150278,1502,80.116667,,,,,8.23,13.37,,32.39,8.23,,37.53,9.25,27.76,9.77,,-3.233333,-8.072222,0.511111,0.0,-4.214286,94.963681
