location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IA_19105,2020-01-01,ChIJ0-2-vAFk44cRmcIvClQ-_PM,Q485974,geoId/19105,US,United States of America,IA,Iowa,19105,Jones County,US,USA,2,,,,,,,20618,10705,9913,2309,2527,2220,2474,2464,3065,2713,1630,1216,1792950,42.12,-91.134722,1494,80.84,,,,,9.96,,15.2,15.2,31.98,9.44,39.32,,-2.438889,-8.472222,6.75,0.0508,30.48,-5.4,80.363343
US_IA_19105,2020-01-02,ChIJ0-2-vAFk44cRmcIvClQ-_PM,Q485974,geoId/19105,US,United States of America,IA,Iowa,19105,Jones County,US,USA,2,,,,,,,20618,10705,9913,2309,2527,2220,2474,2464,3065,2713,1630,1216,1792950,42.12,-91.134722,1494,80.84,,,,,8.83,7.36,19.14,,22.57,9.32,32.88,10.31,4.611111,1.35,8.972222,0.0,30.48,0.638889,75.815139
US_IA_19105,2020-01-03,ChIJ0-2-vAFk44cRmcIvClQ-_PM,Q485974,geoId/19105,US,United States of America,IA,Iowa,19105,Jones County,US,USA,2,,,,,,,20618,10705,9913,2309,2527,2220,2474,2464,3065,2713,1630,1216,1792950,42.12,-91.134722,1494,80.84,,,,,9.44,9.91,18.4,9.44,36.33,,32.09,,1.233333,-0.422222,4.755556,0.0,,-1.205556,83.901422
US_IA_19105,2020-01-04,ChIJ0-2-vAFk44cRmcIvClQ-_PM,Q485974,geoId/19105,US,United States of America,IA,Iowa,19105,Jones County,US,USA,2,,,,,,,20618,10705,9913,2309,2527,2220,2474,2464,3065,2713,1630,1216,1792950,42.12,-91.134722,1494,80.84,,,,,,,12.74,,30.25,,40.34,,-1.3,-4.005556,1.005556,1.397,,-2.611111,90.883933
US_IA_19105,2020-01-05,ChIJ0-2-vAFk44cRmcIvClQ-_PM,Q485974,geoId/19105,US,United States of America,IA,Iowa,19105,Jones County,US,USA,2,,,,,,,20618,10705,9913,2309,2527,2220,2474,2464,3065,2713,1630,1216,1792950,42.12,-91.134722,1494,80.84,,,,,10.0,8.42,18.94,8.42,24.73,7.89,34.2,,-0.327778,-5.222222,6.166667,0.127,40.64,-3.188889,81.273441
US_IA_19105,2020-01-06,ChIJ0-2-vAFk44cRmcIvClQ-_PM,Q485974,geoId/19105,US,United States of America,IA,Iowa,19105,Jones County,US,USA,2,,,,,,,20618,10705,9913,2309,2527,2220,2474,2464,3065,2713,1630,1216,1792950,42.12,-91.134722,1494,80.84,,,,,10.89,7.58,28.41,8.52,29.36,,40.25,7.1,-1.133333,-6.322222,3.833333,0.0,50.8,-4.972222,75.259036
US_IA_19105,2020-01-07,ChIJ0-2-vAFk44cRmcIvClQ-_PM,Q485974,geoId/19105,US,United States of America,IA,Iowa,19105,Jones County,US,USA,2,,,,,,,20618,10705,9913,2309,2527,2220,2474,2464,3065,2713,1630,1216,1792950,42.12,-91.134722,1494,80.84,,,,,,8.77,18.52,11.69,31.67,,29.72,,-0.788889,-4.177778,2.022222,0.0,,-4.277778,77.32417
US_IA_19105,2020-01-08,ChIJ0-2-vAFk44cRmcIvClQ-_PM,Q485974,geoId/19105,US,United States of America,IA,Iowa,19105,Jones County,US,USA,2,,,,,,,20618,10705,9913,2309,2527,2220,2474,2464,3065,2713,1630,1216,1792950,42.12,-91.134722,1494,80.84,,,,,,11.84,19.73,,31.57,,42.92,13.81,-6.855556,-11.716667,-0.372222,0.0,,-12.961111,62.073686
US_IA_19105,2020-01-09,ChIJ0-2-vAFk44cRmcIvClQ-_PM,Q485974,geoId/19105,US,United States of America,IA,Iowa,19105,Jones County,US,USA,2,,,,,,,20618,10705,9913,2309,2527,2220,2474,2464,3065,2713,1630,1216,1792950,42.12,-91.134722,1494,80.84,,,,,,8.74,13.6,9.23,35.95,,38.38,,2.205556,-6.427778,13.655556,0.0,,-3.861111,64.373108
US_IA_19105,2020-01-10,ChIJ0-2-vAFk44cRmcIvClQ-_PM,Q485974,geoId/19105,US,United States of America,IA,Iowa,19105,Jones County,US,USA,2,,,,,,,20618,10705,9913,2309,2527,2220,2474,2464,3065,2713,1630,1216,1792950,42.12,-91.134722,1494,80.84,,,,,,11.55,7.7,8.66,24.54,12.51,22.62,,1.027778,-2.744444,10.2,0.072571,,-1.366667,84.224839
US_IA_19105,2020-01-11,ChIJ0-2-vAFk44cRmcIvClQ-_PM,Q485974,geoId/19105,US,United States of America,IA,Iowa,19105,Jones County,US,USA,2,,,,,,,20618,10705,9913,2309,2527,2220,2474,2464,3065,2713,1630,1216,1792950,42.12,-91.134722,1494,80.84,,,,,,10.24,10.75,,19.45,12.28,30.71,,-3.572222,-5.988889,-0.405556,13.038667,,-5.811111,84.609289
