location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_ID_16057,2020-01-01,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,5.05,5.8,7.06,12.11,11.35,4.54,,,8.58,4.79,,3.53,,17.91,3.78,8.32,,4.04,,6.31,5.05,,,5.8,7.57,,6.31,6.81,6.56,5.05,5.8,21.7,3.53,,5.8,5.05,4.79,5.8,,5.3,36.83,,,5.05,,,5.8,4.54,3.53,,6.31,3.78,,4.516667,-0.211111,7.022222,13.2588,30.48,1.462963,82.079837
US_ID_16057,2020-01-02,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,5.93,12.09,3.88,13.0,8.67,4.79,4.79,3.65,4.79,6.39,3.42,5.7,3.19,18.71,,10.49,,5.02,4.56,7.53,4.79,,,3.42,5.47,,4.56,4.56,5.02,4.79,6.16,27.15,6.39,3.88,6.62,3.19,3.88,5.7,,7.07,39.01,,6.16,3.19,,,3.65,5.47,5.25,,3.88,4.56,,2.672222,0.705556,6.711111,3.429,,-1.574074,74.773225
US_ID_16057,2020-01-03,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,3.68,6.21,11.74,,14.96,3.68,5.52,3.91,,8.29,4.14,,,,16.8,,10.59,3.22,,,10.82,4.6,,,5.06,7.36,4.6,6.9,4.83,5.98,,9.67,26.7,5.98,5.06,5.75,3.91,6.21,4.37,3.22,5.52,41.19,3.45,6.44,5.29,,4.83,4.83,5.52,5.29,,3.91,3.91,,3.055556,-0.144444,8.377778,2.6162,,-0.487654,78.362985
US_ID_16057,2020-01-04,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,5.29,8.17,4.09,9.38,11.06,6.49,,4.81,4.57,,,,,19.95,3.61,9.86,,6.01,3.37,7.69,4.33,,3.37,3.85,5.77,,3.85,7.21,3.85,3.37,7.21,24.28,9.86,5.53,9.62,4.09,5.05,6.49,,6.25,42.79,,4.81,5.77,3.85,,5.05,4.33,3.61,,4.33,5.05,3.85,4.694444,0.511111,8.438889,0.3302,,-2.209877,63.012326
US_ID_16057,2020-01-05,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,4.99,11.87,6.88,13.05,8.07,4.27,,,7.6,4.75,5.93,3.32,3.32,17.8,5.93,7.83,4.51,5.93,,10.44,4.27,,,5.7,6.65,,,7.12,6.88,4.75,,27.77,5.93,,7.12,4.99,4.99,7.36,,4.99,41.3,4.04,3.56,7.83,3.56,,7.6,,4.99,,3.8,,,0.705556,-1.727778,6.705556,1.4478,,-3.746914,73.237193
US_ID_16057,2020-01-06,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,4.93,9.28,5.13,13.62,12.83,3.95,,4.74,5.92,,2.96,3.16,,12.43,4.54,6.12,3.16,5.53,3.35,6.91,5.92,,2.96,4.93,3.55,,2.76,6.12,6.71,2.76,8.88,24.07,6.51,,7.1,2.96,4.74,4.34,,8.49,39.27,3.75,3.75,7.89,,,4.54,4.54,3.35,3.35,,,3.16,1.061111,-1.266667,5.1,1.4224,30.48,-1.697531,82.88995
US_ID_16057,2020-01-07,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,5.09,9.6,4.12,10.39,9.41,8.82,2.74,5.29,7.05,6.08,4.9,,,15.48,3.72,9.02,3.53,5.88,2.94,8.82,4.31,2.74,3.14,4.12,5.68,3.53,5.29,,4.9,4.51,7.45,25.87,7.05,5.49,6.08,3.92,6.27,5.29,,5.88,43.12,,3.72,7.84,3.33,5.29,5.49,4.51,3.92,,,4.51,,5.127778,0.933333,6.588889,11.176,,1.382716,78.98646
US_ID_16057,2020-01-08,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,7.05,7.05,5.72,12.0,6.67,5.91,3.43,5.33,4.57,5.91,5.14,,2.86,13.34,4.95,6.86,2.67,7.05,,10.48,6.48,,3.81,2.67,4.57,,4.19,,3.43,,7.62,35.25,7.05,3.05,5.33,4.19,6.67,4.76,3.05,3.05,42.87,,3.05,16.58,,,4.38,5.72,4.57,,,4.57,,3.183333,0.6,6.577778,4.318,,-0.345679,78.614109
US_ID_16057,2020-01-09,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,3.87,8.32,5.61,9.68,8.91,3.87,,6.0,7.55,3.1,3.48,,2.71,13.94,5.23,7.74,,3.68,,6.58,3.1,,3.48,3.87,4.65,4.84,2.71,3.87,6.39,,8.13,36.01,5.81,3.29,5.42,3.48,4.84,5.42,2.71,10.07,38.33,,4.45,12.39,,2.71,6.97,3.87,,3.1,,,4.26,-1.127778,-5.033333,3.666667,2.3622,,-4.160494,79.70626
US_ID_16057,2020-01-10,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,4.45,7.94,3.48,12.39,8.32,4.26,,5.61,5.03,3.29,4.45,,,14.13,3.48,6.58,2.9,4.26,,8.71,2.9,,,3.48,2.9,2.9,3.87,,5.23,,6.97,27.49,5.81,4.45,6.78,4.07,4.65,5.61,,5.81,33.88,,5.03,8.71,3.68,,6.0,4.26,4.84,,2.71,3.68,,-4.377778,-7.705556,0.627778,0.4064,114.3,-6.351852,84.612201
