location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IL_17063,2020-01-01,ChIJ9xEZKr6VDogRoNizCFgmcOE,Q261380,geoId/17063,US,United States of America,IL,Illinois,17063,Grundy County,US,USA,2,,,,,,,50622,25207,25415,6748,7346,5965,7008,6813,6923,5228,3030,1561,1800061,41.29,-88.43,1115,78.4,,,,,,3.69,6.27,6.64,5.41,9.96,2.95,6.64,4.55,,1.72,6.03,2.21,2.09,1.84,,3.08,15.99,3.44,9.96,3.2,,3.94,1.84,5.17,4.18,1.84,3.2,4.43,5.78,3.44,5.29,4.92,,5.04,,2.95,4.67,,20.41,5.41,3.08,4.43,2.58,2.71,5.17,,2.09,4.67,36.53,2.46,,,3.32,5.9,2.34,3.44,1.84,3.08,5.29,2.34,4.8,1.84,4.8,3.32,2.58,-1.641975,-7.481481,5.222222,0.084667,,-4.229167,81.541007
US_IL_17063,2020-01-02,ChIJ9xEZKr6VDogRoNizCFgmcOE,Q261380,geoId/17063,US,United States of America,IL,Illinois,17063,Grundy County,US,USA,2,,,,,,,50622,25207,25415,6748,7346,5965,7008,6813,6923,5228,3030,1561,1800061,41.29,-88.43,1115,78.4,,,,,,2.26,4.88,10.12,4.88,10.35,,9.04,6.07,3.21,2.62,4.88,3.21,1.67,2.26,,2.38,20.35,4.4,10.59,2.98,1.9,4.28,3.33,9.28,4.17,,3.09,6.07,4.76,2.38,4.88,5.36,2.62,4.52,1.67,3.21,7.14,,24.52,7.5,3.09,6.43,3.57,4.05,3.93,2.02,2.5,4.05,39.39,2.62,2.26,2.26,3.93,5.36,3.57,2.38,3.21,4.05,5.0,5.59,4.76,2.62,3.81,2.98,2.86,4.438272,1.469136,8.709877,0.0,,0.041667,72.454626
US_IL_17063,2020-01-03,ChIJ9xEZKr6VDogRoNizCFgmcOE,Q261380,geoId/17063,US,United States of America,IL,Illinois,17063,Grundy County,US,USA,2,,,,,,,50622,25207,25415,6748,7346,5965,7008,6813,6923,5228,3030,1561,1800061,41.29,-88.43,1115,78.4,,,,,,2.04,5.28,6.12,4.8,9.96,2.52,8.04,5.4,,3.6,5.76,5.16,2.88,3.6,2.4,,19.55,3.24,12.84,3.36,2.76,5.04,,8.28,6.24,,3.6,4.32,3.48,3.12,2.88,3.96,,4.8,,3.48,6.36,,28.67,6.48,2.52,6.24,3.48,3.96,3.6,2.52,2.28,5.04,39.71,2.64,,1.68,4.08,4.8,1.92,1.8,3.6,2.16,6.72,3.72,6.84,1.92,3.96,3.48,2.16,2.592593,0.648148,5.746914,0.0,,0.958333,88.177092
US_IL_17063,2020-01-04,ChIJ9xEZKr6VDogRoNizCFgmcOE,Q261380,geoId/17063,US,United States of America,IL,Illinois,17063,Grundy County,US,USA,2,,,,,,,50622,25207,25415,6748,7346,5965,7008,6813,6923,5228,3030,1561,1800061,41.29,-88.43,1115,78.4,,,,,,3.04,4.99,7.19,5.48,9.38,,7.31,4.63,,5.12,5.97,3.17,2.56,3.78,2.07,2.68,16.69,3.17,9.38,3.17,2.56,5.24,2.68,5.97,4.99,,2.92,3.04,3.29,2.31,,2.68,,5.36,1.83,2.8,5.6,,21.32,6.21,2.8,4.38,3.65,2.68,3.9,1.71,1.71,5.85,37.15,2.8,,2.44,3.78,7.07,1.71,2.07,3.53,2.31,3.78,4.14,2.8,2.92,2.68,4.26,3.17,-0.105556,-1.927778,1.188889,0.508,,-2.123457,85.994627
US_IL_17063,2020-01-05,ChIJ9xEZKr6VDogRoNizCFgmcOE,Q261380,geoId/17063,US,United States of America,IL,Illinois,17063,Grundy County,US,USA,2,,,,,,,50622,25207,25415,6748,7346,5965,7008,6813,6923,5228,3030,1561,1800061,41.29,-88.43,1115,78.4,,,,,,2.36,5.19,9.68,3.54,9.68,,8.26,6.02,2.24,2.95,6.85,1.77,2.48,3.66,,2.48,18.18,2.71,9.21,2.71,2.01,4.37,2.48,6.73,4.84,,3.07,5.43,3.9,2.01,3.42,4.37,1.77,3.31,2.01,3.31,4.96,,22.66,6.37,2.24,5.67,3.9,2.71,4.6,3.07,3.78,6.26,39.3,,1.65,3.66,4.25,3.9,,2.83,4.13,,6.37,3.9,3.42,2.6,3.07,3.54,3.31,-0.794444,-4.338889,6.038889,0.127,,-3.506173,81.209937
US_IL_17063,2020-01-06,ChIJ9xEZKr6VDogRoNizCFgmcOE,Q261380,geoId/17063,US,United States of America,IL,Illinois,17063,Grundy County,US,USA,2,,,,,,,50622,25207,25415,6748,7346,5965,7008,6813,6923,5228,3030,1561,1800061,41.29,-88.43,1115,78.4,,,,,,2.37,4.97,7.57,3.5,8.48,2.94,6.9,3.39,1.7,2.83,6.44,2.94,2.49,3.28,1.81,2.83,17.41,4.41,11.08,2.49,3.5,4.18,2.15,6.78,3.28,3.17,2.83,6.33,3.96,2.6,3.28,4.97,1.92,4.3,1.92,2.15,4.97,,26.23,7.46,2.71,5.43,2.71,3.96,4.41,3.05,2.15,3.39,37.76,2.04,,2.83,3.62,6.33,1.81,1.7,3.5,,5.09,4.3,3.73,2.6,1.7,3.73,2.37,0.05,-4.444444,4.244444,0.0,,-4.160494,72.867919
US_IL_17063,2020-01-07,ChIJ9xEZKr6VDogRoNizCFgmcOE,Q261380,geoId/17063,US,United States of America,IL,Illinois,17063,Grundy County,US,USA,2,,,,,,,50622,25207,25415,6748,7346,5965,7008,6813,6923,5228,3030,1561,1800061,41.29,-88.43,1115,78.4,,,,,,3.45,5.64,7.41,4.49,8.67,2.71,7.31,5.33,,4.49,3.55,2.71,2.71,3.97,,1.88,16.29,2.82,8.56,,2.19,4.28,,7.41,3.24,2.19,2.92,3.97,4.59,2.51,4.49,4.8,,5.01,1.77,1.98,5.01,1.57,22.66,4.49,4.7,6.37,2.19,3.86,4.39,3.24,1.98,5.12,34.36,3.45,2.09,2.92,3.65,5.54,1.67,1.98,2.61,2.92,5.43,4.07,4.59,2.82,2.61,3.24,2.4,-0.25,-4.933333,4.483333,0.0,,-4.030864,75.798417
US_IL_17063,2020-01-08,ChIJ9xEZKr6VDogRoNizCFgmcOE,Q261380,geoId/17063,US,United States of America,IL,Illinois,17063,Grundy County,US,USA,2,,,,,,,50622,25207,25415,6748,7346,5965,7008,6813,6923,5228,3030,1561,1800061,41.29,-88.43,1115,78.4,,,,,,1.96,4.22,7.83,4.33,7.83,2.06,7.21,4.64,2.47,2.99,4.84,3.71,,3.3,,2.27,16.18,2.89,9.89,,2.68,4.64,2.27,8.04,5.57,2.27,2.27,5.36,4.22,2.06,5.26,4.74,1.96,4.43,1.65,3.09,6.08,2.27,30.92,5.36,4.64,4.33,2.78,3.3,5.15,2.47,,3.71,36.79,1.55,,3.3,3.5,12.47,1.55,3.4,3.4,2.06,4.53,4.43,2.89,1.65,2.68,2.99,2.37,-4.277778,-9.0,1.233333,0.0,,-10.740741,60.056148
US_IL_17063,2020-01-09,ChIJ9xEZKr6VDogRoNizCFgmcOE,Q261380,geoId/17063,US,United States of America,IL,Illinois,17063,Grundy County,US,USA,2,,,,,,,50622,25207,25415,6748,7346,5965,7008,6813,6923,5228,3030,1561,1800061,41.29,-88.43,1115,78.4,,,,,,1.53,4.18,8.26,5.41,9.59,2.14,6.02,4.59,2.04,3.98,5.0,4.59,2.86,2.75,1.84,2.24,16.01,3.88,8.87,2.35,3.06,3.67,2.24,7.65,4.49,2.55,2.65,4.69,4.38,2.86,4.49,2.96,,5.81,,2.45,5.41,2.35,27.23,5.1,3.77,6.32,2.04,3.67,3.06,2.86,2.55,6.02,33.96,2.04,,2.35,2.65,12.24,,3.16,2.75,2.96,4.69,3.77,4.38,2.35,3.57,3.06,1.53,0.322222,-6.2,10.033333,0.169333,,-4.932099,67.115432
US_IL_17063,2020-01-10,ChIJ9xEZKr6VDogRoNizCFgmcOE,Q261380,geoId/17063,US,United States of America,IL,Illinois,17063,Grundy County,US,USA,2,,,,,,,50622,25207,25415,6748,7346,5965,7008,6813,6923,5228,3030,1561,1800061,41.29,-88.43,1115,78.4,,,,,,1.92,4.14,6.27,3.23,9.3,2.02,8.39,4.85,1.72,3.23,3.94,2.93,1.92,1.82,,1.82,13.85,3.34,5.76,2.33,1.62,3.34,2.12,7.08,4.14,1.52,,3.54,4.25,2.02,4.45,2.33,,4.45,2.83,2.63,4.65,,24.66,5.36,3.64,4.95,2.43,2.33,4.04,2.53,2.83,5.05,30.52,2.02,1.52,1.52,4.35,7.38,,3.13,2.22,1.52,4.14,2.43,3.23,2.93,4.04,3.54,2.73,8.005556,4.577778,9.966667,0.550333,,7.12963,92.596228
