location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IL_17081,2020-01-01,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,6.26,9.13,,11.22,6.78,4.17,6.0,4.43,13.3,,7.3,4.17,4.96,9.91,7.57,4.17,6.0,3.91,,5.22,8.09,27.65,4.96,5.48,3.91,4.43,6.0,37.31,,7.3,3.91,,4.7,3.983333,-1.938889,11.644444,0.0,-1.95,65.428292
US_IL_17081,2020-01-02,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,8.73,10.57,6.2,10.11,7.35,7.12,5.97,3.68,10.8,3.22,7.81,3.45,5.51,10.8,6.2,5.29,,4.14,,4.37,12.87,19.99,6.66,6.43,4.59,,6.2,43.43,3.68,7.12,5.51,5.97,7.12,7.7,4.294444,11.144444,0.5715,2.094444,67.801052
US_IL_17081,2020-01-03,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,5.72,9.24,3.52,7.26,7.48,8.58,7.04,3.3,16.93,3.96,9.89,,4.84,8.58,3.74,4.4,,,5.5,5.28,8.58,25.95,4.18,7.92,4.18,4.4,7.7,41.34,3.74,4.62,7.04,,5.06,8.15,4.877778,9.716667,6.053667,7.866667,98.10379
US_IL_17081,2020-01-04,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,5.99,9.23,,7.74,10.98,7.24,7.74,,15.72,3.99,8.98,,5.74,6.49,,5.49,,3.49,,4.99,6.99,24.2,9.98,6.49,4.74,5.24,4.24,39.18,7.99,7.99,4.74,,,2.872222,0.616667,5.333333,0.544286,0.888889,86.876929
US_IL_17081,2020-01-05,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,6.18,6.43,,8.24,5.92,5.92,8.75,4.38,14.41,4.63,8.24,,,8.24,3.6,4.12,,,,4.89,6.69,30.37,5.92,5.66,3.86,4.89,6.43,35.77,4.12,5.92,6.18,3.86,3.86,2.661111,-2.927778,12.138889,0.0254,-1.7,73.047333
US_IL_17081,2020-01-06,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,4.56,6.64,,10.58,11.2,6.64,7.26,4.15,12.86,3.73,8.5,2.9,5.39,7.05,4.36,4.36,6.22,3.11,5.18,6.84,9.95,19.91,6.84,5.6,,6.01,8.29,39.82,,6.01,6.22,4.36,3.11,3.594444,-2.994444,9.455556,0.0,-2.633333,63.909036
US_IL_17081,2020-01-07,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,5.11,8.58,,12.88,10.01,5.72,5.31,3.47,11.65,3.47,9.4,3.06,4.7,8.99,6.74,3.88,5.52,5.11,5.11,6.33,7.97,25.75,5.72,4.91,4.7,4.29,5.93,34.74,4.09,4.7,8.99,5.93,4.09,2.233333,-3.766667,8.755556,0.0,-2.922222,68.900468
US_IL_17081,2020-01-08,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,,6.39,,10.3,6.39,4.33,4.95,5.98,13.81,,6.59,,4.12,12.78,5.15,6.18,3.09,,,3.92,8.66,27.82,5.36,6.39,3.92,4.33,9.89,35.65,5.36,9.07,6.39,6.8,4.95,3.122222,-1.244444,7.961111,0.0,-5.661111,52.691538
US_IL_17081,2020-01-09,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,3.59,6.18,,11.76,5.78,,8.17,4.78,13.16,,8.77,4.38,4.58,7.97,5.98,3.79,2.79,5.58,4.98,6.98,10.17,27.11,7.97,3.99,4.19,4.38,4.98,37.08,3.99,9.57,7.18,3.59,3.99,7.405556,1.311111,13.794444,0.0,-1.088889,55.015973
US_IL_17081,2020-01-10,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,3.46,5.57,3.08,6.73,9.8,4.8,5.38,4.42,10.76,,6.73,,5.0,7.11,4.61,4.04,3.08,3.08,5.77,4.23,7.11,23.64,5.77,4.04,5.57,4.23,5.19,39.78,4.42,7.5,5.38,5.0,4.61,12.505556,8.888889,14.572222,24.7015,10.8,89.386549
US_IL_17081,2020-01-11,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,5.32,9.37,,8.36,4.81,4.56,6.33,5.32,13.42,3.8,7.6,,8.36,11.14,,5.32,4.56,6.84,5.57,5.57,6.84,19.75,3.54,7.09,4.3,5.32,6.33,42.29,3.8,6.33,6.08,3.8,5.06,10.227778,2.6,17.35,47.84725,9.533333,95.487321
US_IL_17081,2020-01-12,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,4.45,9.69,5.5,7.86,11.26,5.24,6.55,4.45,10.21,,8.12,4.71,6.55,9.69,6.55,5.76,3.67,5.24,,4.45,7.86,19.9,6.02,5.24,,6.29,6.55,35.35,,6.55,5.5,6.55,4.19,0.722222,-0.938889,2.844444,13.589,-0.594444,90.936214
US_IL_17081,2020-01-13,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,6.76,5.99,,10.63,6.38,4.45,5.22,4.25,9.28,2.71,6.57,4.45,3.29,8.5,3.67,,4.45,5.61,3.48,5.41,7.54,20.1,6.18,4.83,4.83,4.45,4.45,34.79,3.29,5.41,5.03,4.06,5.41,2.6,-0.816667,5.477778,0.0254,1.027778,89.414659
US_IL_17081,2020-01-14,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,5.3,7.07,2.75,9.82,7.66,5.5,5.7,4.32,11.99,3.73,5.7,5.3,3.93,9.43,4.52,5.5,,4.52,3.73,3.34,7.27,24.37,5.3,7.47,3.54,4.72,4.13,40.87,4.32,6.48,6.88,3.73,4.13,4.811111,-0.505556,13.1,0.0,3.216667,89.43889
US_IL_17081,2020-01-15,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,5.83,9.72,3.89,9.33,6.22,4.28,6.61,3.5,7.77,,6.02,3.3,5.44,11.66,2.72,4.86,4.08,4.08,6.02,4.08,7.97,23.32,5.44,7.0,6.02,5.44,6.41,38.48,4.66,7.77,5.83,4.86,5.05,8.455556,2.616667,14.277778,0.042333,7.333333,92.686552
US_IL_17081,2020-01-16,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,3.94,4.53,,8.66,5.31,5.12,7.08,5.31,7.67,,4.92,,3.15,11.61,4.33,4.72,6.69,4.72,3.15,6.1,11.8,33.05,4.92,5.12,,4.72,7.48,36.2,4.72,7.48,7.87,5.31,3.15,2.305556,-2.911111,11.755556,0.0,-1.444444,76.311301
US_IL_17081,2020-01-17,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,3.87,5.71,,6.52,6.73,5.1,5.91,5.91,11.21,,5.91,4.69,4.28,9.58,4.28,5.1,,2.85,,4.69,8.36,23.65,4.28,5.1,3.67,4.28,5.71,36.49,4.89,5.71,6.12,9.38,5.1,-1.783333,-3.444444,2.144444,0.0635,-5.383333,76.474356
US_IL_17081,2020-01-18,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,5.88,,5.12,6.39,4.6,3.84,6.39,,11.25,7.93,9.46,3.84,3.58,8.7,,5.63,4.86,,4.35,6.39,7.16,20.97,6.14,5.63,,5.37,4.86,43.99,3.84,6.65,8.7,5.37,4.6,5.688889,0.461111,12.438889,22.1615,3.272222,84.567745
US_IL_17081,2020-01-19,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,5.89,7.76,,10.71,9.37,5.89,6.69,,16.6,4.28,8.57,,,10.44,,3.75,4.82,4.28,5.62,4.55,5.35,26.23,8.3,4.28,,6.16,7.23,40.69,,7.76,6.96,5.62,,-4.55,-8.188889,1.327778,4.148667,-10.905556,61.319414
US_IL_17081,2020-01-20,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,5.93,6.17,,14.47,9.49,5.93,5.69,6.17,17.08,3.56,8.3,7.59,8.06,9.72,3.56,8.3,3.56,3.32,4.98,5.46,9.72,27.04,6.64,6.64,4.98,4.27,8.06,42.22,4.98,8.78,3.79,4.27,,-7.566667,-9.405556,-3.888889,0.0,-10.85,77.339217
US_IL_17081,2020-01-21,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,5.6,3.8,5.0,8.4,7.41,6.2,5.0,3.8,13.01,,7.61,,5.4,7.8,4.8,,4.4,5.2,,7.0,7.41,29.42,7.41,7.41,3.4,7.21,6.6,40.23,6.2,5.2,5.8,5.2,3.2,-4.355556,-8.122222,-0.083333,0.0,-7.111111,81.127511
US_IL_17081,2020-01-22,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,5.5,4.91,4.71,6.48,6.68,6.68,3.73,3.73,16.3,3.73,10.21,3.93,3.73,10.21,5.89,4.52,3.54,4.71,4.32,9.62,7.66,26.71,4.71,6.68,4.91,6.87,4.91,37.71,4.71,5.11,8.45,4.71,5.5,-3.027778,-6.638889,2.933333,0.0,-6.566667,76.646395
US_IL_17081,2020-01-23,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,4.91,6.88,5.5,11.4,7.66,4.13,4.52,4.91,20.24,5.5,10.61,2.75,5.11,11.0,3.73,3.93,5.5,5.11,4.13,3.54,7.47,32.23,8.84,8.25,4.32,5.7,4.52,38.51,5.11,5.89,4.91,4.91,5.11,1.633333,-0.572222,4.85,1.233714,-2.094444,76.482208
US_IL_17081,2020-01-24,ChIJA0a7WCDIdogRXdhR-h_oaK0,Q486440,geoId/17081,US,United States of America,IL,Illinois,17081,Jefferson County,US,USA,2,,,,,,,38045,19621,18424,4808,4407,4752,4695,4642,5083,4815,2991,1852,1801530,38.3,-88.92,1512,75.981818,,,,,,4.89,6.85,3.72,8.42,7.25,3.33,6.27,3.92,20.76,3.33,7.44,4.7,5.68,11.55,,4.11,6.85,4.31,3.72,5.09,5.48,36.81,4.7,6.66,5.87,5.68,6.46,36.62,5.48,7.05,5.09,5.09,3.92,2.844444,1.761111,4.161111,8.03275,2.477778,97.445161
