location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IL_17103,2020-01-01,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,3.9,5.72,7.28,10.14,7.02,3.64,6.76,3.64,18.99,13.01,6.24,7.02,8.58,4.42,4.16,8.58,,5.46,,24.45,8.32,5.46,6.24,,5.46,36.93,3.9,4.94,6.76,5.2,,-2.188889,-8.183333,4.966667,0.2032,30.48,-4.796296,81.925118
US_IL_17103,2020-01-02,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,5.07,6.99,5.55,10.61,8.44,3.38,6.03,7.96,15.68,12.54,4.58,9.16,5.31,6.03,4.34,,7.48,,8.2,28.22,6.51,5.07,,5.07,5.55,35.21,,4.58,6.75,4.82,4.1,4.022222,1.072222,8.333333,0.0,30.48,-0.049383,74.600825
US_IL_17103,2020-01-03,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,,7.72,4.34,12.79,6.76,7.48,4.1,4.1,18.82,11.34,4.83,5.07,,5.55,6.52,3.86,4.83,7.0,5.31,25.82,6.27,6.27,4.1,3.62,7.24,40.3,,7.0,4.58,4.1,,1.8,0.211111,4.705556,0.0,,-0.197531,86.473623
US_IL_17103,2020-01-04,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,4.4,6.47,4.4,9.06,5.18,,6.73,,14.76,14.24,,10.36,3.88,3.88,,4.4,3.62,5.7,3.88,23.82,4.14,7.25,3.62,4.92,5.96,39.1,5.7,8.54,3.62,4.66,,-0.544444,-3.383333,0.794444,0.5588,,-2.08642,89.192104
US_IL_17103,2020-01-05,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,4.49,11.36,4.75,9.51,7.66,5.81,6.87,,15.58,11.09,5.02,6.6,6.08,5.02,,5.02,5.81,4.23,6.6,25.62,5.81,7.66,,3.7,5.28,31.43,4.49,6.6,5.81,,,-1.177778,-4.8,6.166667,0.112889,,-3.54321,83.512597
US_IL_17103,2020-01-06,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,5.26,7.09,,5.49,7.09,3.43,5.26,,20.13,13.73,4.35,8.92,6.18,3.66,,5.03,4.35,4.8,4.35,21.73,8.24,5.95,5.03,4.12,4.58,36.6,4.35,4.58,5.26,3.2,,-0.455556,-4.905556,3.683333,0.0,,-4.567901,73.703034
US_IL_17103,2020-01-07,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,6.72,8.51,6.72,13.44,5.6,6.27,5.6,,19.26,12.99,,7.17,4.03,5.15,4.03,,3.81,3.13,6.05,27.99,6.27,4.7,5.38,3.81,6.94,36.05,3.36,6.27,5.38,3.13,4.7,-0.355556,-4.105556,3.55,0.0,,-4.0,76.666045
US_IL_17103,2020-01-08,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,5.15,6.27,3.36,8.06,6.05,6.27,4.48,6.94,18.14,7.17,,7.39,3.36,6.27,4.7,3.58,,5.6,5.82,30.24,6.27,5.6,,4.93,4.03,34.5,,11.42,,5.15,3.36,-5.188889,-10.044444,0.838889,0.0,,-11.67284,60.178098
US_IL_17103,2020-01-09,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,6.87,6.42,3.9,8.94,6.87,6.19,7.56,,18.1,9.39,,7.33,,4.81,7.1,,3.9,5.96,10.54,28.18,8.71,5.04,4.12,3.9,6.42,38.03,5.04,10.54,5.73,3.67,5.27,0.255556,-6.811111,10.044444,0.036286,,-4.685185,68.753761
US_IL_17103,2020-01-10,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,,8.17,3.4,8.85,9.31,4.99,5.67,,11.35,7.95,6.36,6.58,3.18,,4.99,5.45,3.18,4.99,7.26,27.02,4.54,4.77,,4.77,5.67,38.14,,9.76,4.99,,4.54,5.783333,1.411111,9.272222,0.423333,,4.160494,89.367688
US_IL_17103,2020-01-11,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,4.06,8.88,6.85,10.65,6.85,3.55,6.34,,17.25,10.14,4.57,7.61,4.31,,,5.58,,4.82,3.8,25.11,,3.8,,5.33,5.07,32.72,5.83,6.59,7.36,,,-0.127778,-4.155556,3.772222,20.029714,30.48,-0.981481,94.120951
