location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IL_17105,2020-01-01,ChIJt6x97f5kDIgRZM1i1O0I3YQ,Q429814,geoId/17105,US,United States of America,IL,Illinois,17105,Livingston County,US,USA,2,,,,,,,36124,18127,17997,4181,4480,4503,4344,4189,5279,4542,2655,1951,1800376,40.89,-88.56,2708,77.33,,,,,,8.03,10.03,,10.89,8.03,6.59,5.45,4.87,19.49,10.89,5.45,9.46,5.73,4.3,8.6,4.87,,5.16,6.59,22.93,8.31,6.59,4.01,5.73,9.46,46.73,,8.03,6.59,,4.01,-0.061728,-5.555556,6.91358,0.0,,-3.131944,80.620189
US_IL_17105,2020-01-02,ChIJt6x97f5kDIgRZM1i1O0I3YQ,Q429814,geoId/17105,US,United States of America,IL,Illinois,17105,Livingston County,US,USA,2,,,,,,,36124,18127,17997,4181,4480,4503,4344,4189,5279,4542,2655,1951,1800376,40.89,-88.56,2708,77.33,,,,,,10.15,4.79,,8.74,7.33,4.51,5.36,,17.2,15.22,7.05,7.33,5.36,5.92,5.64,5.36,4.79,,8.46,24.24,5.07,7.89,,,6.48,41.44,,6.2,6.48,4.79,5.92,4.962963,1.91358,9.438272,0.0,,0.236111,71.319742
US_IL_17105,2020-01-03,ChIJt6x97f5kDIgRZM1i1O0I3YQ,Q429814,geoId/17105,US,United States of America,IL,Illinois,17105,Livingston County,US,USA,2,,,,,,,36124,18127,17997,4181,4480,4503,4344,4189,5279,4542,2655,1951,1800376,40.89,-88.56,2708,77.33,,,,,,6.08,8.57,3.87,10.5,8.57,5.53,4.97,,19.07,12.99,,8.84,5.8,4.97,,,,4.42,9.39,32.05,8.57,6.08,,5.53,7.46,42.27,4.7,5.53,5.25,,3.87,3.197531,0.925926,6.283951,0.0,,1.784722,90.999232
US_IL_17105,2020-01-04,ChIJt6x97f5kDIgRZM1i1O0I3YQ,Q429814,geoId/17105,US,United States of America,IL,Illinois,17105,Livingston County,US,USA,2,,,,,,,36124,18127,17997,4181,4480,4503,4344,4189,5279,4542,2655,1951,1800376,40.89,-88.56,2708,77.33,,,,,,4.92,8.1,,12.15,8.39,6.07,6.65,4.05,17.35,10.41,4.34,5.78,5.78,4.63,7.52,,4.05,,6.94,21.11,4.92,8.39,,,4.63,43.96,,,7.52,,,0.222222,-1.444444,1.677778,0.4064,,-1.475309,89.106147
US_IL_17105,2020-01-05,ChIJt6x97f5kDIgRZM1i1O0I3YQ,Q429814,geoId/17105,US,United States of America,IL,Illinois,17105,Livingston County,US,USA,2,,,,,,,36124,18127,17997,4181,4480,4503,4344,4189,5279,4542,2655,1951,1800376,40.89,-88.56,2708,77.33,,,,,,5.44,6.3,4.01,8.3,7.16,6.58,6.87,4.29,15.75,9.45,7.16,8.59,4.87,8.02,5.15,,4.01,5.15,8.02,22.33,4.29,5.44,4.01,4.87,6.87,39.79,6.01,9.45,5.15,5.15,4.29,-0.216667,-4.583333,7.138889,0.0508,,-3.290123,80.146192
US_IL_17105,2020-01-06,ChIJt6x97f5kDIgRZM1i1O0I3YQ,Q429814,geoId/17105,US,United States of America,IL,Illinois,17105,Livingston County,US,USA,2,,,,,,,36124,18127,17997,4181,4480,4503,4344,4189,5279,4542,2655,1951,1800376,40.89,-88.56,2708,77.33,,,,,,4.19,6.66,,7.89,9.86,,5.67,,16.03,13.56,5.67,10.36,,5.42,5.67,,,,5.18,25.64,5.67,4.93,6.16,3.94,8.14,36.98,4.68,4.93,5.18,6.66,4.93,0.233333,-4.572222,4.544444,0.0,,-3.944444,73.556068
US_IL_17105,2020-01-07,ChIJt6x97f5kDIgRZM1i1O0I3YQ,Q429814,geoId/17105,US,United States of America,IL,Illinois,17105,Livingston County,US,USA,2,,,,,,,36124,18127,17997,4181,4480,4503,4344,4189,5279,4542,2655,1951,1800376,40.89,-88.56,2708,77.33,,,,,,4.38,4.61,4.61,10.38,7.61,4.61,5.31,,19.61,10.84,5.77,8.77,4.38,5.08,3.92,,4.15,,7.84,27.22,6.69,6.46,5.54,4.84,5.31,41.29,4.61,3.69,4.15,6.69,6.46,-0.3,-4.927778,5.216667,0.0508,,-3.901235,76.843637
US_IL_17105,2020-01-08,ChIJt6x97f5kDIgRZM1i1O0I3YQ,Q429814,geoId/17105,US,United States of America,IL,Illinois,17105,Livingston County,US,USA,2,,,,,,,36124,18127,17997,4181,4480,4503,4344,4189,5279,4542,2655,1951,1800376,40.89,-88.56,2708,77.33,,,,,,3.92,3.69,,11.54,3.92,4.38,4.84,7.84,13.15,9.23,4.61,6.69,4.38,6.46,4.38,3.23,,5.54,6.92,28.84,6.92,5.77,5.77,5.54,6.92,33.68,6.69,12.46,5.08,3.23,,-3.3,-7.972222,1.922222,0.0508,,-9.648148,62.066874
US_IL_17105,2020-01-09,ChIJt6x97f5kDIgRZM1i1O0I3YQ,Q429814,geoId/17105,US,United States of America,IL,Illinois,17105,Livingston County,US,USA,2,,,,,,,36124,18127,17997,4181,4480,4503,4344,4189,5279,4542,2655,1951,1800376,40.89,-88.56,2708,77.33,,,,,,5.03,3.89,3.2,8.24,8.92,5.95,5.49,5.72,17.16,10.07,3.43,8.24,4.12,5.26,5.03,3.89,,,8.92,24.94,8.92,6.86,,3.2,9.61,35.01,3.43,8.47,5.26,3.66,3.66,1.288889,-5.266667,10.561111,0.254,,-4.296296,66.647338
US_IL_17105,2020-01-10,ChIJt6x97f5kDIgRZM1i1O0I3YQ,Q429814,geoId/17105,US,United States of America,IL,Illinois,17105,Livingston County,US,USA,2,,,,,,,36124,18127,17997,4181,4480,4503,4344,4189,5279,4542,2655,1951,1800376,40.89,-88.56,2708,77.33,,,,,,6.21,3.33,4.66,8.65,5.33,7.1,,5.33,12.65,3.55,3.33,5.99,6.88,3.33,,4.44,,3.33,6.21,23.3,3.77,5.1,3.33,,4.22,24.85,,4.88,4.44,,,9.155556,6.283333,11.705556,2.286,,8.030864,93.247217
