location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IL_17169,2020-01-01,ChIJIa8K1lZ84IcRGpu5Pt5GNDI,Q491026,geoId/17169,US,United States of America,IL,Illinois,17169,Schuyler County,US,USA,2,,,,,,,6948,3642,3306,656,795,686,770,956,1036,986,641,422,1800728,40.16,-90.61,1143,79.033333,,,55.87,1.422222,-3.755556,10.7,0.0,,-3.1,72.17189
US_IL_17169,2020-01-02,ChIJIa8K1lZ84IcRGpu5Pt5GNDI,Q491026,geoId/17169,US,United States of America,IL,Illinois,17169,Schuyler County,US,USA,2,,,,,,,6948,3642,3306,656,795,686,770,956,1036,986,641,422,1800728,40.16,-90.61,1143,79.033333,,,,6.655556,2.927778,11.205556,0.0,,0.211111,63.670855
US_IL_17169,2020-01-03,ChIJIa8K1lZ84IcRGpu5Pt5GNDI,Q491026,geoId/17169,US,United States of America,IL,Illinois,17169,Schuyler County,US,USA,2,,,,,,,6948,3642,3306,656,795,686,770,956,1036,986,641,422,1800728,40.16,-90.61,1143,79.033333,,,89.09,3.016667,0.688889,7.722222,0.0,,1.055556,87.065659
US_IL_17169,2020-01-04,ChIJIa8K1lZ84IcRGpu5Pt5GNDI,Q491026,geoId/17169,US,United States of America,IL,Illinois,17169,Schuyler County,US,USA,2,,,,,,,6948,3642,3306,656,795,686,770,956,1036,986,641,422,1800728,40.16,-90.61,1143,79.033333,,,58.9,0.411111,-1.683333,1.922222,0.217714,,-1.3,88.478746
US_IL_17169,2020-01-05,ChIJIa8K1lZ84IcRGpu5Pt5GNDI,Q491026,geoId/17169,US,United States of America,IL,Illinois,17169,Schuyler County,US,USA,2,,,,,,,6948,3642,3306,656,795,686,770,956,1036,986,641,422,1800728,40.16,-90.61,1143,79.033333,,,89.05,1.405556,-4.161111,10.111111,0.1016,,-3.405556,70.795262
US_IL_17169,2020-01-06,ChIJIa8K1lZ84IcRGpu5Pt5GNDI,Q491026,geoId/17169,US,United States of America,IL,Illinois,17169,Schuyler County,US,USA,2,,,,,,,6948,3642,3306,656,795,686,770,956,1036,986,641,422,1800728,40.16,-90.61,1143,79.033333,,,52.25,0.922222,-4.4,6.022222,0.0,,-4.338889,68.123388
US_IL_17169,2020-01-07,ChIJIa8K1lZ84IcRGpu5Pt5GNDI,Q491026,geoId/17169,US,United States of America,IL,Illinois,17169,Schuyler County,US,USA,2,,,,,,,6948,3642,3306,656,795,686,770,956,1036,986,641,422,1800728,40.16,-90.61,1143,79.033333,,,40.87,0.988889,-2.833333,6.161111,0.0,,-4.244444,68.452789
US_IL_17169,2020-01-08,ChIJIa8K1lZ84IcRGpu5Pt5GNDI,Q491026,geoId/17169,US,United States of America,IL,Illinois,17169,Schuyler County,US,USA,2,,,,,,,6948,3642,3306,656,795,686,770,956,1036,986,641,422,1800728,40.16,-90.61,1143,79.033333,,,45.42,-1.966667,-6.7,2.672222,0.0,,-9.411111,57.075599
US_IL_17169,2020-01-09,ChIJIa8K1lZ84IcRGpu5Pt5GNDI,Q491026,geoId/17169,US,United States of America,IL,Illinois,17169,Schuyler County,US,USA,2,,,,,,,6948,3642,3306,656,795,686,770,956,1036,986,641,422,1800728,40.16,-90.61,1143,79.033333,,,52.69,6.033333,-2.077778,14.583333,0.0,,-1.272222,59.754494
US_IL_17169,2020-01-10,ChIJIa8K1lZ84IcRGpu5Pt5GNDI,Q491026,geoId/17169,US,United States of America,IL,Illinois,17169,Schuyler County,US,USA,2,,,,,,,6948,3642,3306,656,795,686,770,956,1036,986,641,422,1800728,40.16,-90.61,1143,79.033333,,,45.78,8.061111,4.766667,12.955556,2.830286,,6.227778,88.272025
