location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18001,2020-01-01,ChIJMxfyXJSJFYgR_Os-rIRVt-U,Q351808,geoId/18001,US,United States of America,IN,Indiana,18001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35385,17659,17726,6460,5533,4341,3801,3779,4090,3636,2165,1580,1797289,40.75,-84.94,880,80.1,,,,,5.0,6.33,5.0,6.66,8.66,7.66,18.66,10.66,6.0,,5.0,6.66,25.32,5.33,,,36.98,5.0,5.33,0.166667,-2.138889,4.85,0.2286,,-3.9,74.309828
US_IN_18001,2020-01-02,ChIJMxfyXJSJFYgR_Os-rIRVt-U,Q351808,geoId/18001,US,United States of America,IN,Indiana,18001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35385,17659,17726,6460,5533,4341,3801,3779,4090,3636,2165,1580,1797289,40.75,-84.94,880,80.1,,,,,,4.42,11.79,7.96,5.31,,14.15,9.73,11.79,4.72,,6.19,31.54,,7.08,8.26,33.61,9.14,4.72,4.822222,0.255556,9.933333,0.0,,-1.211111,65.224981
US_IN_18001,2020-01-03,ChIJMxfyXJSJFYgR_Os-rIRVt-U,Q351808,geoId/18001,US,United States of America,IN,Indiana,18001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35385,17659,17726,6460,5533,4341,3801,3779,4090,3636,2165,1580,1797289,40.75,-84.94,880,80.1,,,,,,,6.61,6.9,6.32,4.31,17.24,9.19,11.49,,4.31,6.9,31.03,7.47,7.76,9.48,41.66,4.6,,6.6,3.861111,8.683333,2.032,,5.194444,90.883075
US_IN_18001,2020-01-04,ChIJMxfyXJSJFYgR_Os-rIRVt-U,Q351808,geoId/18001,US,United States of America,IN,Indiana,18001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35385,17659,17726,6460,5533,4341,3801,3779,4090,3636,2165,1580,1797289,40.75,-84.94,880,80.1,,,,,,6.01,6.01,5.01,5.01,7.01,16.7,7.35,4.68,,,6.68,17.37,7.01,5.01,6.35,45.42,,6.01,2.311111,0.172222,5.872222,0.471714,,0.522222,88.240057
US_IN_18001,2020-01-05,ChIJMxfyXJSJFYgR_Os-rIRVt-U,Q351808,geoId/18001,US,United States of America,IN,Indiana,18001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35385,17659,17726,6460,5533,4341,3801,3779,4090,3636,2165,1580,1797289,40.75,-84.94,880,80.1,,,,,6.91,8.56,10.87,6.91,,,20.74,11.85,8.56,,5.27,4.94,24.03,,9.55,5.93,40.17,7.57,4.94,0.161111,-2.516667,5.577778,0.056444,,-3.75,75.157237
US_IN_18001,2020-01-06,ChIJMxfyXJSJFYgR_Os-rIRVt-U,Q351808,geoId/18001,US,United States of America,IN,Indiana,18001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35385,17659,17726,6460,5533,4341,3801,3779,4090,3636,2165,1580,1797289,40.75,-84.94,880,80.1,,,,,5.17,7.18,,8.62,,6.32,17.52,10.05,9.77,6.03,6.32,9.19,26.72,4.6,6.61,6.03,36.77,8.91,6.03,1.938889,-2.383333,5.45,0.0,,-2.777778,71.198545
US_IN_18001,2020-01-07,ChIJMxfyXJSJFYgR_Os-rIRVt-U,Q351808,geoId/18001,US,United States of America,IN,Indiana,18001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35385,17659,17726,6460,5533,4341,3801,3779,4090,3636,2165,1580,1797289,40.75,-84.94,880,80.1,,,,,4.03,5.47,11.23,4.61,4.03,10.08,12.38,5.18,6.05,5.47,4.9,9.51,33.7,,,7.49,40.9,6.05,6.91,0.572222,-3.644444,5.85,0.0,,-4.366667,69.769525
US_IN_18001,2020-01-08,ChIJMxfyXJSJFYgR_Os-rIRVt-U,Q351808,geoId/18001,US,United States of America,IN,Indiana,18001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35385,17659,17726,6460,5533,4341,3801,3779,4090,3636,2165,1580,1797289,40.75,-84.94,880,80.1,,,,,3.91,,11.18,7.83,4.47,,15.1,8.95,9.5,,,10.06,38.02,5.59,7.27,6.71,36.62,9.22,7.27,-1.455556,-5.644444,3.672222,0.0,,-7.405556,64.066876
US_IN_18001,2020-01-09,ChIJMxfyXJSJFYgR_Os-rIRVt-U,Q351808,geoId/18001,US,United States of America,IN,Indiana,18001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35385,17659,17726,6460,5533,4341,3801,3779,4090,3636,2165,1580,1797289,40.75,-84.94,880,80.1,,,,,,4.27,7.97,6.26,5.12,,16.8,6.83,5.41,5.41,4.84,7.12,38.15,6.26,6.26,7.12,34.16,7.69,5.12,-0.85,-6.466667,9.65,0.0,,-7.327778,61.720144
US_IN_18001,2020-01-10,ChIJMxfyXJSJFYgR_Os-rIRVt-U,Q351808,geoId/18001,US,United States of America,IN,Indiana,18001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35385,17659,17726,6460,5533,4341,3801,3779,4090,3636,2165,1580,1797289,40.75,-84.94,880,80.1,,,,,6.13,4.46,6.13,7.53,,5.02,16.72,10.31,9.76,,6.41,5.57,28.71,,4.18,5.02,29.54,9.76,7.53,8.688889,5.883333,11.722222,13.026571,,6.011111,83.395339
