location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18023,2020-01-01,ChIJD6U9Qu-fE4gRa8_d75DFrZg,Q509861,geoId/18023,US,United States of America,IN,Indiana,18023,Clinton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32195,16013,16182,4526,4660,3831,3797,3863,4252,3656,2094,1516,1812954,40.3,-86.48,1050,77.5375,,,,,5.56,5.83,4.77,7.68,4.5,4.5,3.97,11.65,9.27,5.03,5.56,6.09,3.97,4.24,3.97,4.5,5.56,20.13,,3.71,,,5.03,36.02,,4.5,7.15,,4.77,1.255556,-2.066667,6.488889,0.0,,-2.461111,76.640737
US_IN_18023,2020-01-02,ChIJD6U9Qu-fE4gRa8_d75DFrZg,Q509861,geoId/18023,US,United States of America,IN,Indiana,18023,Clinton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32195,16013,16182,4526,4660,3831,3797,3863,4252,3656,2094,1516,1812954,40.3,-86.48,1050,77.5375,,,,,6.19,6.45,9.29,5.16,,4.9,3.61,18.57,10.06,3.87,8.0,6.45,,4.64,4.64,4.64,5.16,26.83,4.9,6.45,,6.19,8.0,27.34,4.13,6.45,5.67,4.13,,5.816667,-0.405556,10.838889,0.0,,-0.155556,65.859968
US_IN_18023,2020-01-03,ChIJD6U9Qu-fE4gRa8_d75DFrZg,Q509861,geoId/18023,US,United States of America,IN,Indiana,18023,Clinton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32195,16013,16182,4526,4660,3831,3797,3863,4252,3656,2094,1516,1812954,40.3,-86.48,1050,77.5375,,,,,7.68,5.63,6.91,7.94,4.61,5.63,4.1,9.99,7.94,,11.52,5.38,5.12,3.58,,4.87,7.17,19.21,,4.87,4.1,,4.35,38.41,4.1,7.17,,,4.1,6.6,4.116667,9.688889,2.7178,,5.938889,95.639692
US_IN_18023,2020-01-04,ChIJD6U9Qu-fE4gRa8_d75DFrZg,Q509861,geoId/18023,US,United States of America,IN,Indiana,18023,Clinton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32195,16013,16182,4526,4660,3831,3797,3863,4252,3656,2094,1516,1812954,40.3,-86.48,1050,77.5375,,,,,5.95,5.18,6.73,6.47,6.73,5.7,4.92,16.05,9.32,4.66,7.25,4.66,4.66,3.88,4.92,4.14,6.73,18.12,6.99,4.92,5.44,,5.18,33.14,,4.92,5.18,3.62,3.88,2.177778,0.205556,6.627778,0.53975,,1.080247,92.472552
US_IN_18023,2020-01-05,ChIJD6U9Qu-fE4gRa8_d75DFrZg,Q509861,geoId/18023,US,United States of America,IN,Indiana,18023,Clinton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32195,16013,16182,4526,4660,3831,3797,3863,4252,3656,2094,1516,1812954,40.3,-86.48,1050,77.5375,,,,,7.72,7.21,3.6,6.69,4.63,3.6,4.12,10.55,7.21,3.6,8.24,5.41,,,5.15,,5.92,19.56,4.38,5.66,,,5.15,30.63,,6.69,3.86,3.86,5.92,0.572222,-3.733333,7.416667,0.0254,,-2.983333,77.31698
US_IN_18023,2020-01-06,ChIJD6U9Qu-fE4gRa8_d75DFrZg,Q509861,geoId/18023,US,United States of America,IN,Indiana,18023,Clinton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32195,16013,16182,4526,4660,3831,3797,3863,4252,3656,2094,1516,1812954,40.3,-86.48,1050,77.5375,,,,,5.0,7.5,7.75,7.0,,5.5,7.0,16.5,6.25,4.5,5.5,,3.75,,5.75,,4.75,21.5,5.75,5.75,,,5.0,30.74,,5.75,,,4.0,1.533333,-3.494444,6.977778,0.0,,-2.533333,74.74779
US_IN_18023,2020-01-07,ChIJD6U9Qu-fE4gRa8_d75DFrZg,Q509861,geoId/18023,US,United States of America,IN,Indiana,18023,Clinton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32195,16013,16182,4526,4660,3831,3797,3863,4252,3656,2094,1516,1812954,40.3,-86.48,1050,77.5375,,,,,7.25,7.73,10.15,4.83,4.11,3.87,3.87,11.84,5.8,4.35,9.42,4.35,3.87,,3.87,3.62,7.73,20.3,7.49,7.01,3.62,4.59,4.59,32.14,5.07,4.35,4.83,3.87,,0.633333,-4.566667,6.605556,0.0,,-3.533333,74.11754
US_IN_18023,2020-01-08,ChIJD6U9Qu-fE4gRa8_d75DFrZg,Q509861,geoId/18023,US,United States of America,IN,Indiana,18023,Clinton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32195,16013,16182,4526,4660,3831,3797,3863,4252,3656,2094,1516,1812954,40.3,-86.48,1050,77.5375,,,,,5.85,4.14,8.53,3.9,,4.63,4.39,10.48,8.29,3.41,11.21,5.61,5.12,4.39,,4.14,7.31,27.78,,7.8,,,4.39,31.44,,9.75,4.39,,4.39,-1.261111,-4.7,4.827778,0.0,,-7.077778,64.85999
US_IN_18023,2020-01-09,ChIJD6U9Qu-fE4gRa8_d75DFrZg,Q509861,geoId/18023,US,United States of America,IN,Indiana,18023,Clinton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32195,16013,16182,4526,4660,3831,3797,3863,4252,3656,2094,1516,1812954,40.3,-86.48,1050,77.5375,,,,,6.47,7.91,8.63,5.99,3.35,6.23,4.07,11.02,7.67,5.03,7.43,6.71,7.19,,,,7.91,25.16,5.51,5.75,4.07,4.79,4.79,32.11,,10.06,,3.83,,0.877778,-5.027778,11.427778,0.036286,,-6.016667,60.383777
US_IN_18023,2020-01-10,ChIJD6U9Qu-fE4gRa8_d75DFrZg,Q509861,geoId/18023,US,United States of America,IN,Indiana,18023,Clinton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32195,16013,16182,4526,4660,3831,3797,3863,4252,3656,2094,1516,1812954,40.3,-86.48,1050,77.5375,,,,,4.95,5.66,6.13,5.89,7.07,3.53,4.24,10.84,6.83,,9.43,4.24,6.13,,,5.42,7.07,22.86,,4.95,,4.95,7.78,33.22,,8.01,4.48,4.01,4.71,9.355556,6.094444,12.705556,19.05,,7.594444,88.911612
US_IN_18023,2020-01-11,ChIJD6U9Qu-fE4gRa8_d75DFrZg,Q509861,geoId/18023,US,United States of America,IN,Indiana,18023,Clinton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32195,16013,16182,4526,4660,3831,3797,3863,4252,3656,2094,1516,1812954,40.3,-86.48,1050,77.5375,,,,,7.06,7.58,8.37,7.58,6.28,4.45,,14.38,6.01,,8.37,4.71,3.66,,,,4.97,25.37,7.32,9.68,,3.66,3.92,41.06,4.97,4.97,7.58,3.92,4.71,11.311111,3.55,15.683333,25.4635,,10.572222,95.306389
