location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18053,2020-01-01,ChIJxZVZICz_FIgR0_8n-ftQTi0,Q506722,geoId/18053,US,United States of America,IN,Indiana,18053,Grant County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66305,31721,34584,7419,8985,9722,6734,7424,9015,8365,5385,3256,1802226,40.52,-85.65,1074,75.1875,,,,,,1.97,3.83,6.04,3.48,6.85,,6.27,4.99,1.74,1.74,3.48,2.67,1.86,2.67,,2.32,14.52,3.72,6.85,3.25,,3.95,,6.5,3.13,,1.97,1.97,2.44,3.95,1.97,3.37,2.9,,4.53,1.74,3.02,4.76,,19.86,6.15,2.09,5.22,1.97,2.9,4.06,2.32,2.79,4.88,29.84,1.63,,2.32,2.21,3.83,5.92,1.63,2.79,2.67,,3.6,3.37,2.9,,1.86,,,0.744444,-2.188889,5.783333,0.0762,,-2.722222,77.853322
US_IN_18053,2020-01-02,ChIJxZVZICz_FIgR0_8n-ftQTi0,Q506722,geoId/18053,US,United States of America,IN,Indiana,18053,Grant County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66305,31721,34584,7419,8985,9722,6734,7424,9015,8365,5385,3256,1802226,40.52,-85.65,1074,75.1875,,,,,,1.94,4.2,7.21,3.55,7.54,,6.57,3.98,2.26,2.26,4.95,3.34,,2.69,,2.15,14.64,1.61,7.64,3.12,1.72,3.66,,7.43,5.6,,2.48,2.04,2.91,3.44,2.58,2.8,3.88,,3.55,,3.12,7.32,2.04,21.21,5.38,3.01,4.52,2.26,3.44,3.77,1.94,2.04,3.44,31.76,1.94,,1.51,2.26,4.95,4.74,2.48,1.94,3.12,,3.66,3.88,4.31,,3.66,3.55,,5.372222,0.077778,10.305556,0.0,,-0.233333,67.423347
US_IN_18053,2020-01-03,ChIJxZVZICz_FIgR0_8n-ftQTi0,Q506722,geoId/18053,US,United States of America,IN,Indiana,18053,Grant County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66305,31721,34584,7419,8985,9722,6734,7424,9015,8365,5385,3256,1802226,40.52,-85.65,1074,75.1875,,,,,,1.6,4.16,5.97,3.41,9.81,,4.59,4.8,2.13,4.05,5.55,3.63,1.81,1.92,,,13.01,2.45,9.39,2.99,2.13,4.59,2.24,6.19,2.35,1.49,2.24,2.77,4.69,3.2,2.24,3.31,3.73,2.56,4.48,1.49,3.41,7.79,,22.19,5.44,2.56,4.27,2.45,4.27,4.59,2.13,2.99,2.45,32.64,,,,2.77,3.84,5.55,1.71,1.81,1.92,1.92,4.37,4.59,3.31,2.67,4.27,1.92,1.6,6.45,3.861111,9.055556,1.6256,,5.5,93.820463
US_IN_18053,2020-01-04,ChIJxZVZICz_FIgR0_8n-ftQTi0,Q506722,geoId/18053,US,United States of America,IN,Indiana,18053,Grant County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66305,31721,34584,7419,8985,9722,6734,7424,9015,8365,5385,3256,1802226,40.52,-85.65,1074,75.1875,,,,,,,2.93,4.73,3.94,6.87,,5.74,4.39,1.69,2.14,4.5,1.69,1.91,2.7,2.25,1.69,14.3,3.6,8.78,2.36,2.03,4.17,2.7,6.19,4.39,1.8,,2.03,2.93,4.05,2.25,3.15,3.49,,3.27,,3.04,4.62,,21.05,5.29,2.03,5.97,3.27,2.93,3.04,2.14,2.03,3.38,30.51,,,3.15,3.27,3.94,5.63,,2.14,1.91,1.58,3.94,3.49,4.39,2.14,3.27,2.93,2.25,2.166667,0.194444,6.1,0.290286,,0.901235,91.463882
US_IN_18053,2020-01-05,ChIJxZVZICz_FIgR0_8n-ftQTi0,Q506722,geoId/18053,US,United States of America,IN,Indiana,18053,Grant County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66305,31721,34584,7419,8985,9722,6734,7424,9015,8365,5385,3256,1802226,40.52,-85.65,1074,75.1875,,,,,,2.38,3.68,5.09,3.79,7.8,,6.5,4.12,3.03,,3.9,3.47,,2.92,,2.06,12.67,2.82,8.77,2.71,,3.36,,6.82,5.31,1.62,2.27,2.27,3.68,4.87,1.84,3.03,3.03,,3.25,,,5.96,,17.98,4.55,3.25,6.07,1.52,2.49,3.14,2.17,2.38,4.22,28.7,,2.71,1.52,2.38,2.38,4.33,1.52,4.22,2.49,2.82,5.42,3.79,3.79,2.06,3.47,3.36,1.52,0.411111,-3.427778,6.85,0.0762,,-3.033333,77.888544
US_IN_18053,2020-01-06,ChIJxZVZICz_FIgR0_8n-ftQTi0,Q506722,geoId/18053,US,United States of America,IN,Indiana,18053,Grant County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66305,31721,34584,7419,8985,9722,6734,7424,9015,8365,5385,3256,1802226,40.52,-85.65,1074,75.1875,,,,,,1.68,3.28,5.67,2.39,8.06,1.77,7.44,3.81,2.3,4.07,4.34,2.48,1.77,2.04,1.95,2.83,11.33,2.04,7.79,2.21,1.42,3.45,1.68,7.35,3.36,1.95,2.12,2.39,5.05,3.63,2.12,3.28,3.01,,2.74,1.42,3.63,6.73,2.66,19.92,5.05,1.24,5.31,2.57,2.39,2.66,1.68,2.3,2.92,27.53,,1.68,2.21,1.59,2.83,4.87,,1.95,2.92,2.57,3.63,3.72,4.43,3.28,4.07,2.21,1.77,1.538889,-3.238889,6.311111,0.0,,-2.383333,75.483184
US_IN_18053,2020-01-07,ChIJxZVZICz_FIgR0_8n-ftQTi0,Q506722,geoId/18053,US,United States of America,IN,Indiana,18053,Grant County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66305,31721,34584,7419,8985,9722,6734,7424,9015,8365,5385,3256,1802226,40.52,-85.65,1074,75.1875,,,,,,1.72,3.52,4.71,3.86,6.43,2.31,4.89,3.69,2.92,4.03,4.37,2.74,1.54,2.31,,1.29,10.89,2.23,6.09,1.72,1.72,3.52,1.8,8.4,4.8,2.57,2.14,2.23,2.49,2.66,1.8,3.69,3.86,,4.12,,2.14,5.83,,21.26,4.46,2.49,4.46,1.97,3.34,3.77,,2.23,4.2,27.43,1.46,,,1.63,3.52,3.77,1.63,2.31,2.31,1.8,3.0,4.2,2.92,2.66,3.69,1.8,1.97,0.477778,-4.416667,6.272222,0.0,,-3.544444,74.787737
US_IN_18053,2020-01-08,ChIJxZVZICz_FIgR0_8n-ftQTi0,Q506722,geoId/18053,US,United States of America,IN,Indiana,18053,Grant County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66305,31721,34584,7419,8985,9722,6734,7424,9015,8365,5385,3256,1802226,40.52,-85.65,1074,75.1875,,,,,,2.81,2.22,4.69,3.15,7.33,3.07,7.16,4.95,2.3,4.01,4.43,3.58,1.53,2.47,1.96,2.47,8.87,3.33,6.05,2.73,3.58,2.98,2.98,9.12,2.39,1.45,3.07,1.45,4.52,2.47,1.36,1.28,2.73,,3.24,1.79,,6.22,1.45,26.35,4.35,4.18,5.29,1.79,4.35,3.58,1.53,,4.78,29.42,1.71,1.19,1.19,2.22,3.75,9.04,1.19,2.73,1.45,2.64,4.09,5.37,3.75,1.79,2.3,2.05,2.13,-1.494444,-5.011111,4.194444,0.0,,-7.027778,66.143597
US_IN_18053,2020-01-09,ChIJxZVZICz_FIgR0_8n-ftQTi0,Q506722,geoId/18053,US,United States of America,IN,Indiana,18053,Grant County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66305,31721,34584,7419,8985,9722,6734,7424,9015,8365,5385,3256,1802226,40.52,-85.65,1074,75.1875,,,,,,2.72,2.8,4.16,3.14,6.54,2.97,5.43,5.01,2.12,5.01,3.23,3.73,2.12,2.72,,2.55,9.59,2.55,4.58,2.04,2.12,3.82,2.04,7.64,2.63,2.04,1.7,1.7,4.58,2.55,2.97,2.97,2.72,1.53,3.82,1.87,2.12,5.43,1.36,24.7,5.26,2.21,5.09,2.04,3.56,2.72,2.04,1.19,4.07,28.85,1.19,1.36,1.27,1.27,1.78,9.76,1.53,2.55,2.46,2.38,3.14,3.48,3.9,2.04,2.38,1.61,2.88,0.077778,-5.672222,10.611111,0.042333,,-6.122222,63.200661
US_IN_18053,2020-01-10,ChIJxZVZICz_FIgR0_8n-ftQTi0,Q506722,geoId/18053,US,United States of America,IN,Indiana,18053,Grant County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66305,31721,34584,7419,8985,9722,6734,7424,9015,8365,5385,3256,1802226,40.52,-85.65,1074,75.1875,,,,,,,4.42,3.83,2.98,7.65,1.62,6.38,3.4,,3.4,3.57,3.06,1.53,2.47,1.7,2.04,9.69,2.21,4.93,2.13,1.7,3.4,2.13,6.89,3.32,,,1.87,3.32,2.13,2.3,3.23,2.64,1.36,3.91,2.21,4.0,5.36,1.28,23.47,5.1,2.3,6.46,2.13,3.15,4.34,2.64,1.7,4.68,28.83,2.64,1.53,1.19,,3.4,6.63,1.53,,2.3,2.89,3.66,2.98,2.81,1.96,2.98,2.81,2.13,9.072222,6.138889,12.372222,18.868571,,7.15,87.964013
