location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asperger_syndrome,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_autoimmune_disease,search_trends_back_pain,search_trends_bacterial_vaginosis,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_canker_sore,search_trends_chest_pain,search_trends_chronic_pain,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dandruff,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_dysmenorrhea,search_trends_edema,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_generalized_anxiety_disorder,search_trends_gout,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hemorrhoids,search_trends_hives,search_trends_hypercholesterolemia,search_trends_hyperglycemia,search_trends_hypertension,search_trends_hyperthyroidism,search_trends_hypotension,search_trends_hypothyroidism,search_trends_implantation_bleeding,search_trends_indigestion,search_trends_infection,search_trends_inflammation,search_trends_inflammatory_bowel_disease,search_trends_insomnia,search_trends_iron_deficiency,search_trends_itch,search_trends_kidney_failure,search_trends_kidney_stone,search_trends_knee_pain,search_trends_lesion,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_mood_disorder,search_trends_myocardial_infarction,search_trends_nasal_congestion,search_trends_nausea,search_trends_neck_pain,search_trends_obesity,search_trends_otitis,search_trends_pain,search_trends_panic_attack,search_trends_paresthesia,search_trends_perspiration,search_trends_pneumonia,search_trends_podalgia,search_trends_psychosis,search_trends_scar,search_trends_sciatica,search_trends_shortness_of_breath,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_apnea,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_swollen_lymph_nodes,search_trends_toothache,search_trends_tumor,search_trends_type_2_diabetes,search_trends_urinary_incontinence,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vertigo,search_trends_vomiting,search_trends_wart,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18091,2020-01-01,ChIJB2TwW1CfEYgRGzuBfi3N99I,Q24648,geoId/18091,US,United States of America,IN,Indiana,18091,LaPorte County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109842,56568,53274,13107,13044,14279,13790,13578,15398,14074,8239,4333,1802084,41.6,-86.716667,778,1588,75.553571,,,,,,,3.21,5.58,8.29,4.46,10.8,2.02,6.55,5.5,,1.46,2.65,1.88,5.71,0.98,3.62,1.19,2.86,2.09,,2.58,1.11,1.39,,15.61,4.18,11.36,3.41,1.6,,4.6,1.88,7.32,5.23,1.81,,0.98,2.72,2.93,4.32,4.88,2.37,2.72,,,3.07,0.98,5.09,1.95,3.14,1.32,,,0.98,5.37,,,1.04,0.98,1.53,22.86,5.3,1.46,3.62,1.25,6.97,,1.19,1.11,1.11,2.65,3.48,4.25,,1.32,4.04,2.37,1.46,5.02,1.11,36.93,1.95,1.88,1.46,1.6,1.04,1.19,1.67,1.11,,2.72,3.9,6.27,2.09,1.32,2.02,2.65,2.3,4.18,,1.6,,3.14,,5.09,2.44,,3.97,1.25,2.37,2.16,-0.770833,-4.395833,4.125,0.03175,50.8,-4.468254,77.118401
US_IN_18091,2020-01-02,ChIJB2TwW1CfEYgRGzuBfi3N99I,Q24648,geoId/18091,US,United States of America,IN,Indiana,18091,LaPorte County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109842,56568,53274,13107,13044,14279,13790,13578,15398,14074,8239,4333,1802084,41.6,-86.716667,778,1588,75.553571,,,,,,,2.76,6.0,8.02,4.18,13.47,,6.74,5.46,,2.09,3.1,1.28,5.66,1.28,3.71,2.16,2.9,1.55,1.21,3.1,0.94,1.68,,19.13,3.03,12.13,3.5,1.15,2.22,3.57,2.56,7.75,4.58,2.42,1.28,1.01,2.42,2.49,4.78,3.71,3.37,4.45,1.08,0.94,4.31,1.21,4.45,1.62,2.49,1.68,1.42,1.55,1.08,7.48,1.21,1.01,1.82,1.01,1.15,24.86,6.33,1.48,3.44,,7.34,1.28,1.95,1.82,1.35,3.84,2.96,4.85,,2.16,3.17,1.75,2.02,4.99,1.62,36.45,1.15,1.89,1.95,3.17,1.35,1.62,3.17,1.28,,3.84,4.38,5.53,2.76,1.55,2.36,3.17,2.02,6.4,,1.28,,4.45,1.62,5.05,3.03,,3.57,1.21,3.17,1.95,5.222222,1.975309,8.475309,0.0,50.8,-0.277778,68.343642
US_IN_18091,2020-01-03,ChIJB2TwW1CfEYgRGzuBfi3N99I,Q24648,geoId/18091,US,United States of America,IN,Indiana,18091,LaPorte County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109842,56568,53274,13107,13044,14279,13790,13578,15398,14074,8239,4333,1802084,41.6,-86.716667,778,1588,75.553571,,,,,,,1.48,5.45,6.72,3.9,11.97,2.08,6.99,5.78,1.28,2.69,2.69,1.75,5.18,1.34,3.9,1.82,2.96,1.08,1.75,3.43,1.21,1.82,,19.37,3.43,10.89,3.16,,2.62,3.63,1.21,7.87,4.98,1.01,1.28,1.95,2.82,2.89,4.78,3.23,2.69,3.83,1.14,,4.91,,4.17,1.88,3.43,2.02,1.14,,0.94,5.78,1.21,1.41,1.61,1.34,1.82,23.74,5.85,,2.82,1.41,7.33,,1.01,1.01,1.14,3.16,3.9,4.1,1.55,2.22,3.77,2.56,1.48,4.24,1.48,38.47,1.41,2.08,1.34,1.82,1.01,1.01,2.29,2.08,1.08,2.82,3.36,7.13,1.82,1.55,2.56,3.16,2.42,4.1,1.82,1.55,,5.04,1.61,4.84,3.03,1.01,2.69,1.61,2.82,2.62,4.203704,1.592593,7.351852,0.0,,2.395833,88.366523
US_IN_18091,2020-01-04,ChIJB2TwW1CfEYgRGzuBfi3N99I,Q24648,geoId/18091,US,United States of America,IN,Indiana,18091,LaPorte County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109842,56568,53274,13107,13044,14279,13790,13578,15398,14074,8239,4333,1802084,41.6,-86.716667,778,1588,75.553571,,,,,,,2.28,5.12,7.81,4.15,10.51,1.73,6.43,5.95,1.25,1.31,2.07,1.73,6.29,1.87,3.53,2.07,1.94,1.11,1.38,2.9,,1.45,,18.32,3.67,10.37,2.77,1.38,1.59,4.08,1.66,6.43,5.19,1.87,,,2.97,2.7,4.5,3.53,3.6,3.18,0.97,1.38,4.43,1.25,5.46,1.73,2.9,1.45,1.11,,2.07,7.26,,1.11,0.97,,2.0,22.34,6.78,,2.9,1.66,5.19,,1.73,1.45,,3.32,2.49,4.98,,1.73,3.04,2.0,1.8,3.18,1.38,36.51,1.31,1.31,1.8,2.77,1.31,1.73,1.87,1.8,0.97,2.83,4.98,4.84,0.97,1.45,2.63,2.56,1.8,4.84,,1.38,,3.73,1.31,3.11,2.49,1.66,3.39,0.97,2.63,1.87,1.08642,-0.234568,2.981481,0.0508,,-1.118056,85.858968
US_IN_18091,2020-01-05,ChIJB2TwW1CfEYgRGzuBfi3N99I,Q24648,geoId/18091,US,United States of America,IN,Indiana,18091,LaPorte County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109842,56568,53274,13107,13044,14279,13790,13578,15398,14074,8239,4333,1802084,41.6,-86.716667,778,1588,75.553571,,,,,,,1.87,3.53,7.33,3.87,12.04,1.45,5.81,4.84,,1.59,1.8,1.52,6.64,1.31,3.39,3.04,2.21,1.73,1.31,2.77,,1.25,,16.05,2.7,9.34,3.87,,3.18,5.05,2.14,8.44,5.46,1.52,1.94,1.11,1.45,3.11,5.19,4.08,2.7,2.98,,,3.94,1.11,3.6,1.87,2.84,1.59,,,,7.19,,1.11,1.8,1.66,1.73,22.69,5.4,,3.6,,7.26,1.11,1.04,1.52,,3.32,3.67,4.29,,1.87,3.81,1.8,1.94,4.43,1.45,37.91,1.31,2.42,1.73,1.87,,1.11,2.98,1.38,,3.46,3.46,5.05,1.18,,2.49,2.35,2.08,4.29,1.04,1.31,,3.6,1.8,4.15,2.63,1.18,3.67,1.25,2.7,1.38,0.111111,-3.376543,5.308642,0.282222,,-3.777778,75.531667
US_IN_18091,2020-01-06,ChIJB2TwW1CfEYgRGzuBfi3N99I,Q24648,geoId/18091,US,United States of America,IN,Indiana,18091,LaPorte County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109842,56568,53274,13107,13044,14279,13790,13578,15398,14074,8239,4333,1802084,41.6,-86.716667,778,1588,75.553571,,,,,,,2.83,4.25,8.05,4.83,16.88,3.16,6.89,4.77,,1.61,3.42,1.42,5.03,,3.09,2.13,3.03,0.97,1.61,1.42,,1.93,1.29,14.56,2.06,8.25,2.83,,1.55,4.19,1.8,8.63,4.12,1.55,1.03,,1.55,2.77,5.03,3.87,2.83,3.03,1.29,0.9,3.67,0.97,4.25,2.58,2.9,1.61,1.29,1.16,1.42,7.15,0.9,,1.8,1.42,1.22,26.42,5.48,0.97,4.19,1.68,6.89,1.8,1.61,1.8,,3.29,4.45,3.74,,2.25,2.9,2.13,,5.41,1.42,36.66,2.06,1.93,1.74,1.48,1.22,1.61,2.0,1.29,1.29,2.83,4.32,5.99,2.19,2.51,2.83,3.35,1.61,3.74,1.22,1.09,,4.38,1.35,4.19,2.77,0.9,2.83,1.22,2.71,2.06,1.895062,-2.654321,5.864198,0.0,,-4.194444,65.109206
US_IN_18091,2020-01-07,ChIJB2TwW1CfEYgRGzuBfi3N99I,Q24648,geoId/18091,US,United States of America,IN,Indiana,18091,LaPorte County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109842,56568,53274,13107,13044,14279,13790,13578,15398,14074,8239,4333,1802084,41.6,-86.716667,778,1588,75.553571,,,,,,,1.82,4.01,7.12,3.95,15.45,2.43,6.33,4.62,1.4,2.86,2.19,2.31,5.78,1.46,3.77,2.07,2.25,1.7,,2.56,1.16,1.52,,14.3,4.14,7.54,2.74,,1.58,4.44,2.25,7.54,4.08,1.58,1.4,0.91,2.19,1.89,4.2,3.77,2.19,3.16,1.03,0.85,2.68,1.09,3.77,1.76,2.68,1.4,0.85,1.89,,7.67,,1.03,1.64,0.85,1.09,25.61,6.45,1.34,3.16,1.58,5.84,1.58,1.64,1.16,1.34,3.1,4.01,4.08,1.03,2.19,2.19,2.01,1.34,4.5,1.4,32.42,1.7,1.64,1.52,2.01,0.91,1.09,2.19,1.95,,2.92,3.83,6.69,1.52,1.82,2.25,2.01,2.43,4.62,1.28,,1.16,4.08,1.52,3.89,2.8,0.91,3.1,1.89,3.59,1.4,0.975309,-3.395062,5.148148,0.0,,-4.819444,66.686286
US_IN_18091,2020-01-08,ChIJB2TwW1CfEYgRGzuBfi3N99I,Q24648,geoId/18091,US,United States of America,IN,Indiana,18091,LaPorte County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109842,56568,53274,13107,13044,14279,13790,13578,15398,14074,8239,4333,1802084,41.6,-86.716667,778,1588,75.553571,,,,,,,1.27,3.58,5.34,3.7,15.29,4.43,5.89,4.55,1.09,1.76,3.64,1.76,4.79,1.94,3.1,1.7,3.1,0.85,0.97,2.25,1.58,1.15,1.09,13.96,3.52,7.04,2.55,1.21,1.94,4.07,2.0,8.62,3.7,2.0,1.64,,1.58,2.43,4.55,2.55,2.25,3.28,1.03,1.21,3.28,1.33,4.61,1.88,2.55,0.91,,1.46,1.52,7.46,0.85,1.82,1.76,1.15,1.27,27.31,4.19,,2.61,2.37,5.95,1.64,1.7,1.4,0.85,2.12,5.95,3.94,0.85,2.67,1.33,1.7,1.15,4.43,1.03,32.59,1.46,2.37,1.82,1.7,0.85,2.12,1.88,1.03,,2.55,2.73,9.65,0.85,1.15,1.52,1.7,1.64,4.49,,1.03,1.58,4.43,0.85,4.13,2.37,,2.43,1.21,2.73,1.94,-3.104938,-6.765432,2.987654,0.0,,-9.409722,62.734155
US_IN_18091,2020-01-09,ChIJB2TwW1CfEYgRGzuBfi3N99I,Q24648,geoId/18091,US,United States of America,IN,Indiana,18091,LaPorte County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109842,56568,53274,13107,13044,14279,13790,13578,15398,14074,8239,4333,1802084,41.6,-86.716667,778,1588,75.553571,,,,,,,1.03,3.99,4.54,3.02,13.42,2.54,7.62,4.47,1.09,0.91,3.57,1.63,5.32,1.27,2.9,2.6,2.6,1.21,1.81,2.96,0.91,1.15,1.57,14.09,3.2,7.38,3.39,1.15,2.12,5.08,1.51,9.67,3.57,1.09,1.09,,2.42,2.6,5.8,4.35,1.94,3.51,1.27,,3.75,1.51,4.05,1.63,2.36,1.27,,1.45,1.15,7.44,0.85,1.57,1.39,,1.27,26.06,4.54,0.91,1.87,1.57,5.8,1.27,1.63,1.33,1.03,2.72,3.45,3.51,,1.94,1.69,1.94,1.45,6.89,1.27,33.37,1.63,2.48,1.15,2.36,0.97,1.75,1.39,1.45,1.15,2.78,3.08,9.67,1.39,1.63,2.42,2.12,1.57,4.59,2.36,,,4.17,1.94,4.66,2.36,0.97,3.14,1.21,2.96,1.57,-0.067901,-6.864198,9.469136,0.0,,-6.520833,61.894008
US_IN_18091,2020-01-10,ChIJB2TwW1CfEYgRGzuBfi3N99I,Q24648,geoId/18091,US,United States of America,IN,Indiana,18091,LaPorte County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109842,56568,53274,13107,13044,14279,13790,13578,15398,14074,8239,4333,1802084,41.6,-86.716667,778,1588,75.553571,,,,,,,1.75,4.65,6.16,3.81,14.38,1.99,7.19,4.35,1.15,1.57,3.26,0.97,5.14,,2.66,2.12,1.57,1.21,1.27,2.3,,1.63,1.69,13.05,2.66,6.04,2.3,0.85,1.57,4.47,1.33,9.31,4.96,1.75,,,2.36,3.87,4.59,3.56,2.17,3.93,0.85,1.39,3.87,1.33,4.17,1.93,3.2,0.97,1.03,1.09,2.72,6.22,,,1.93,1.57,1.93,23.32,4.53,,2.84,1.99,6.04,1.75,2.12,1.33,1.51,2.96,3.08,4.35,,1.93,1.99,1.27,1.15,4.89,,32.33,,1.75,1.63,1.27,1.15,1.39,1.57,1.51,,2.12,3.02,5.74,1.93,1.87,2.17,1.51,1.81,4.35,,,1.15,3.81,1.69,5.14,2.24,1.57,3.32,1.09,3.08,2.48,8.740741,6.234568,10.580247,0.22225,,6.25,84.534489
