location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18101,2020-01-01,ChIJlVf6RNItbIgRoA6nE7btVxI,Q506479,geoId/18101,US,United States of America,IN,Indiana,18101,Martin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10181,5153,5028,1263,1236,1092,1129,1222,1501,1435,840,463,1482338,38.71,-86.8,882,78.366667,,,,,34.44,3.288889,-1.216667,9.561111,0.0,,-2.333333,66.50383
US_IN_18101,2020-01-02,ChIJlVf6RNItbIgRoA6nE7btVxI,Q506479,geoId/18101,US,United States of America,IN,Indiana,18101,Martin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10181,5153,5028,1263,1236,1092,1129,1222,1501,1435,840,463,1482338,38.71,-86.8,882,78.366667,,,,25.56,32.87,6.977778,1.572222,10.716667,0.366889,,0.660494,64.553165
US_IN_18101,2020-01-03,ChIJlVf6RNItbIgRoA6nE7btVxI,Q506479,geoId/18101,US,United States of America,IN,Indiana,18101,Martin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10181,5153,5028,1263,1236,1092,1129,1222,1501,1435,840,463,1482338,38.71,-86.8,882,78.366667,,,,31.45,48.09,8.666667,5.783333,9.955556,10.583333,,7.950617,95.559053
US_IN_18101,2020-01-04,ChIJlVf6RNItbIgRoA6nE7btVxI,Q506479,geoId/18101,US,United States of America,IN,Indiana,18101,Martin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10181,5153,5028,1263,1236,1092,1129,1222,1501,1435,840,463,1482338,38.71,-86.8,882,78.366667,,,,26.3,27.4,3.344444,1.3,7.527778,3.302,,1.209877,86.021143
US_IN_18101,2020-01-05,ChIJlVf6RNItbIgRoA6nE7btVxI,Q506479,geoId/18101,US,United States of America,IN,Indiana,18101,Martin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10181,5153,5028,1263,1236,1092,1129,1222,1501,1435,840,463,1482338,38.71,-86.8,882,78.366667,,,,,38.3,2.088889,-3.594444,10.083333,0.5588,,-2.098765,73.533472
US_IN_18101,2020-01-06,ChIJlVf6RNItbIgRoA6nE7btVxI,Q506479,geoId/18101,US,United States of America,IN,Indiana,18101,Martin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10181,5153,5028,1263,1236,1092,1129,1222,1501,1435,840,463,1482338,38.71,-86.8,882,78.366667,,,,22.09,35.34,3.316667,-3.288889,9.027778,0.1778,,-3.246914,62.292364
US_IN_18101,2020-01-07,ChIJlVf6RNItbIgRoA6nE7btVxI,Q506479,geoId/18101,US,United States of America,IN,Indiana,18101,Martin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10181,5153,5028,1263,1236,1092,1129,1222,1501,1435,840,463,1482338,38.71,-86.8,882,78.366667,,,,26.65,23.1,1.988889,-3.594444,8.627778,0.0254,,-3.697531,66.666356
US_IN_18101,2020-01-08,ChIJlVf6RNItbIgRoA6nE7btVxI,Q506479,geoId/18101,US,United States of America,IN,Indiana,18101,Martin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10181,5153,5028,1263,1236,1092,1129,1222,1501,1435,840,463,1482338,38.71,-86.8,882,78.366667,,,,26.09,32.17,1.816667,-2.5,6.183333,0.0,,-6.901235,52.993365
US_IN_18101,2020-01-09,ChIJlVf6RNItbIgRoA6nE7btVxI,Q506479,geoId/18101,US,United States of America,IN,Indiana,18101,Martin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10181,5153,5028,1263,1236,1092,1129,1222,1501,1435,840,463,1482338,38.71,-86.8,882,78.366667,,,,28.54,35.26,4.872222,-1.716667,13.161111,0.0,,-4.623457,50.061796
US_IN_18101,2020-01-10,ChIJlVf6RNItbIgRoA6nE7btVxI,Q506479,geoId/18101,US,United States of America,IN,Indiana,18101,Martin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10181,5153,5028,1263,1236,1092,1129,1222,1501,1435,840,463,1482338,38.71,-86.8,882,78.366667,,,,14.53,33.89,11.7,6.277778,14.094444,18.654889,,8.111111,79.03766
