location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18145,2020-01-01,ChIJdz_jeSYXa4gRtbwM2WdW4dk,Q431826,geoId/18145,US,United States of America,IN,Indiana,18145,Shelby County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44367,22028,22339,5385,5702,5242,5127,5632,6820,5517,3138,1804,1325667,39.52,-85.79,1070,77.644444,,,,,,4.35,7.76,3.41,7.95,6.25,5.68,4.35,4.92,3.41,2.65,,14.95,5.49,9.09,3.22,,8.33,6.06,,4.92,3.41,4.35,4.35,7.0,4.54,6.25,21.58,4.54,,5.3,,3.41,6.25,4.54,36.16,3.22,6.82,7.19,,3.98,4.35,,2.394444,-0.683333,7.566667,0.0,,-2.882716,68.954266
US_IN_18145,2020-01-02,ChIJdz_jeSYXa4gRtbwM2WdW4dk,Q431826,geoId/18145,US,United States of America,IN,Indiana,18145,Shelby County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44367,22028,22339,5385,5702,5242,5127,5632,6820,5517,3138,1804,1325667,39.52,-85.79,1070,77.644444,,,,,,4.95,8.24,4.4,12.64,4.4,4.58,3.66,6.41,,,,15.02,,10.44,,4.4,9.71,3.66,3.11,5.68,5.68,6.04,4.4,,,9.71,30.22,6.96,,7.33,3.11,4.21,3.85,8.97,38.28,3.11,10.99,4.95,5.13,5.5,4.03,4.95,6.6,0.844444,11.027778,0.0,,-0.438272,61.554289
US_IN_18145,2020-01-03,ChIJdz_jeSYXa4gRtbwM2WdW4dk,Q431826,geoId/18145,US,United States of America,IN,Indiana,18145,Shelby County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44367,22028,22339,5385,5702,5242,5127,5632,6820,5517,3138,1804,1325667,39.52,-85.79,1070,77.644444,,,,,,4.74,7.29,5.47,9.48,7.84,6.38,,4.01,3.28,2.73,,12.58,3.83,6.38,4.38,4.56,9.85,4.56,4.92,5.11,6.38,6.2,3.1,4.74,2.55,7.48,23.34,5.11,,7.11,2.92,,3.83,8.39,41.03,3.46,6.02,4.56,5.65,4.38,4.01,,8.011111,5.027778,10.35,9.285111,,6.987654,94.089696
US_IN_18145,2020-01-04,ChIJdz_jeSYXa4gRtbwM2WdW4dk,Q431826,geoId/18145,US,United States of America,IN,Indiana,18145,Shelby County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44367,22028,22339,5385,5702,5242,5127,5632,6820,5517,3138,1804,1325667,39.52,-85.79,1070,77.644444,,,,,,4.17,6.25,4.36,12.12,5.87,6.44,3.22,5.11,2.84,3.98,2.84,14.01,5.11,7.58,3.03,3.98,7.95,4.92,3.22,5.49,3.98,3.41,2.84,2.65,3.6,6.06,19.7,5.11,3.79,8.14,3.22,5.3,3.98,7.76,35.22,3.03,6.06,7.2,5.68,4.36,,,3.033333,0.538889,8.244444,2.54,,1.37037,89.35393
US_IN_18145,2020-01-05,ChIJdz_jeSYXa4gRtbwM2WdW4dk,Q431826,geoId/18145,US,United States of America,IN,Indiana,18145,Shelby County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44367,22028,22339,5385,5702,5242,5127,5632,6820,5517,3138,1804,1325667,39.52,-85.79,1070,77.644444,,,,,,5.96,7.89,3.27,11.16,5.77,6.54,3.27,7.69,3.08,3.65,6.35,18.27,4.42,9.81,4.04,5.39,8.46,5.77,,,4.04,2.69,5.58,4.04,3.08,5.19,24.62,5.0,3.08,8.66,4.04,3.27,6.73,3.65,39.05,5.77,5.39,5.39,6.16,5.77,,,1.15,-3.65,8.111111,0.1524,,-3.123457,73.714429
US_IN_18145,2020-01-06,ChIJdz_jeSYXa4gRtbwM2WdW4dk,Q431826,geoId/18145,US,United States of America,IN,Indiana,18145,Shelby County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44367,22028,22339,5385,5702,5242,5127,5632,6820,5517,3138,1804,1325667,39.52,-85.79,1070,77.644444,,,,,,4.85,6.53,3.85,7.36,5.69,6.69,4.52,7.87,5.02,4.69,,12.72,5.52,8.53,,3.35,11.88,4.02,4.02,3.68,5.86,4.85,3.35,4.52,5.02,7.03,22.09,7.53,2.34,6.86,3.85,5.52,3.68,6.02,41.5,3.01,7.2,6.36,5.52,4.69,2.34,4.69,2.466667,-3.294444,7.75,0.0,,-3.166667,67.49982
US_IN_18145,2020-01-07,ChIJdz_jeSYXa4gRtbwM2WdW4dk,Q431826,geoId/18145,US,United States of America,IN,Indiana,18145,Shelby County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44367,22028,22339,5385,5702,5242,5127,5632,6820,5517,3138,1804,1325667,39.52,-85.79,1070,77.644444,,,,,,4.86,4.86,4.22,7.78,6.81,4.05,3.73,8.43,4.05,2.59,3.4,12.16,3.73,7.13,2.76,3.4,13.46,3.89,3.57,5.51,3.73,6.65,4.05,5.19,4.54,7.46,25.13,7.46,2.76,6.81,4.22,6.16,4.38,6.49,43.45,5.19,7.46,5.84,5.67,4.38,5.19,2.92,1.544444,-3.733333,7.727778,0.0,,-4.117284,67.3191
US_IN_18145,2020-01-08,ChIJdz_jeSYXa4gRtbwM2WdW4dk,Q431826,geoId/18145,US,United States of America,IN,Indiana,18145,Shelby County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44367,22028,22339,5385,5702,5242,5127,5632,6820,5517,3138,1804,1325667,39.52,-85.79,1070,77.644444,,,,,,5.23,7.35,4.09,7.03,9.64,5.39,4.25,5.88,2.45,5.39,4.41,13.4,3.1,7.03,2.45,3.27,8.5,5.39,2.62,2.94,2.94,3.92,3.43,4.58,2.45,6.54,28.11,7.19,3.92,4.58,4.25,6.7,5.56,6.37,37.42,5.56,13.73,5.72,4.25,5.39,3.1,,0.188889,-3.555556,5.905556,0.0,,-7.141975,59.754858
US_IN_18145,2020-01-09,ChIJdz_jeSYXa4gRtbwM2WdW4dk,Q431826,geoId/18145,US,United States of America,IN,Indiana,18145,Shelby County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44367,22028,22339,5385,5702,5242,5127,5632,6820,5517,3138,1804,1325667,39.52,-85.79,1070,77.644444,,,,,,6.48,7.13,2.92,10.53,9.07,5.51,3.4,5.67,5.51,3.24,2.43,13.45,3.89,7.78,5.02,6.64,15.07,2.92,4.21,4.54,3.4,3.73,3.24,2.92,3.24,9.07,29.65,5.83,,5.51,2.43,4.37,4.7,5.67,43.74,4.86,12.47,6.8,6.48,4.37,5.35,2.75,2.372222,-3.672222,12.394444,0.0,,-6.234568,54.163696
US_IN_18145,2020-01-10,ChIJdz_jeSYXa4gRtbwM2WdW4dk,Q431826,geoId/18145,US,United States of America,IN,Indiana,18145,Shelby County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44367,22028,22339,5385,5702,5242,5127,5632,6820,5517,3138,1804,1325667,39.52,-85.79,1070,77.644444,,,,,,2.88,7.21,6.89,8.97,6.73,4.01,5.93,7.05,5.29,3.04,,11.38,3.04,6.73,3.37,5.93,9.77,4.33,,4.65,3.52,4.01,3.69,3.85,2.72,9.29,22.43,6.09,2.72,7.21,3.85,4.65,5.29,7.21,33.97,3.52,8.97,5.61,4.17,4.97,2.88,2.72,10.588889,7.088889,13.261111,21.59,,7.469136,82.291267
US_IN_18145,2020-01-11,ChIJdz_jeSYXa4gRtbwM2WdW4dk,Q431826,geoId/18145,US,United States of America,IN,Indiana,18145,Shelby County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44367,22028,22339,5385,5702,5242,5127,5632,6820,5517,3138,1804,1325667,39.52,-85.79,1070,77.644444,,,,,,4.57,7.23,6.28,4.0,6.09,4.76,,6.47,4.38,3.42,,9.7,4.19,7.99,,4.19,9.32,5.14,4.95,3.81,3.81,3.04,3.81,4.0,,6.85,19.22,6.47,3.04,5.14,3.04,,6.47,5.71,34.25,,5.52,2.85,5.33,4.38,,3.62,13.45,5.75,17.15,24.835556,,11.777778,90.179779
