location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_chest_pain,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_psychosis,search_trends_scar,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18177,2020-01-01,ChIJszPNqZ3_P4gR67MemRKO-3o,Q502959,geoId/18177,US,United States of America,IN,Indiana,18177,Wayne County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66179,32064,34115,7893,8476,8109,7525,7993,9163,8431,5247,3342,1802233,39.86,-85.01,1047,76.082353,,,,,,,5.79,8.57,5.1,7.64,,6.83,4.87,,2.43,4.29,5.33,1.62,2.32,2.2,2.32,2.78,,13.32,2.78,9.27,2.78,1.97,3.59,3.01,5.79,4.4,2.66,1.62,2.66,3.71,3.94,,4.17,2.9,,5.44,1.85,3.94,4.98,,19.69,4.4,3.71,5.56,2.08,4.29,4.98,3.01,2.08,5.33,31.51,1.97,,1.62,2.08,2.32,4.75,5.68,2.43,3.24,2.32,2.08,5.1,2.66,3.48,2.43,3.82,1.74,2.2,2.477778,0.3,7.461111,0.0,,-2.916667,67.946844
US_IN_18177,2020-01-02,ChIJszPNqZ3_P4gR67MemRKO-3o,Q502959,geoId/18177,US,United States of America,IN,Indiana,18177,Wayne County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66179,32064,34115,7893,8476,8109,7525,7993,9163,8431,5247,3342,1802233,39.86,-85.01,1047,76.082353,,,,,,2.5,5.22,7.41,4.17,7.51,,7.72,3.55,2.71,4.17,5.01,3.96,,2.61,,,2.82,1.67,17.84,1.67,10.54,2.5,,3.65,2.09,7.2,4.38,,3.34,,5.43,4.49,2.19,3.44,3.86,1.46,3.86,1.98,3.55,8.14,1.88,24.73,4.59,3.65,6.26,2.71,4.49,4.7,,3.86,6.99,34.33,1.88,1.77,,2.82,2.3,3.76,5.22,1.77,2.92,2.61,3.13,5.43,4.17,5.63,3.13,3.86,3.76,3.34,5.627778,0.838889,10.633333,0.0,,-1.416667,60.776325
US_IN_18177,2020-01-03,ChIJszPNqZ3_P4gR67MemRKO-3o,Q502959,geoId/18177,US,United States of America,IN,Indiana,18177,Wayne County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66179,32064,34115,7893,8476,8109,7525,7993,9163,8431,5247,3342,1802233,39.86,-85.01,1047,76.082353,,,,,,2.77,4.71,5.63,3.89,9.43,2.05,6.04,5.94,,2.66,5.84,3.28,1.54,4.1,,2.05,3.07,1.64,14.45,2.05,7.48,1.64,,2.46,,7.17,3.89,2.05,1.74,,3.79,4.3,2.66,3.48,3.79,,3.18,,2.56,6.46,,22.75,4.82,3.28,5.74,2.56,3.59,2.46,1.95,2.25,6.46,33.3,2.05,1.64,1.64,2.05,2.77,2.36,4.92,,3.07,2.97,2.15,5.43,3.28,4.41,2.87,2.56,3.89,1.54,8.65,5.416667,10.361111,12.065,,7.866667,94.936714
US_IN_18177,2020-01-04,ChIJszPNqZ3_P4gR67MemRKO-3o,Q502959,geoId/18177,US,United States of America,IN,Indiana,18177,Wayne County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66179,32064,34115,7893,8476,8109,7525,7993,9163,8431,5247,3342,1802233,39.86,-85.01,1047,76.082353,,,,,,,4.74,5.87,3.95,7.11,1.92,5.76,4.85,1.81,,5.76,3.39,,,1.81,2.03,1.92,,14.0,3.05,8.24,2.37,,3.84,1.81,6.32,3.95,,,3.73,6.21,4.63,2.03,4.4,3.95,,4.29,,2.6,5.64,,19.75,6.77,3.5,4.85,3.95,3.05,3.84,1.92,,5.08,34.77,1.58,,,2.94,3.27,2.48,4.97,1.92,2.15,,2.48,4.06,3.73,3.73,2.15,4.74,3.05,1.92,4.172222,0.872222,8.516667,5.207,,2.744444,90.593229
US_IN_18177,2020-01-05,ChIJszPNqZ3_P4gR67MemRKO-3o,Q502959,geoId/18177,US,United States of America,IN,Indiana,18177,Wayne County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66179,32064,34115,7893,8476,8109,7525,7993,9163,8431,5247,3342,1802233,39.86,-85.01,1047,76.082353,,,,,,2.28,4.45,6.5,2.97,8.33,,7.07,4.11,3.54,2.74,4.68,3.65,2.28,4.11,1.94,,3.65,1.6,16.88,2.62,9.35,2.51,,4.22,2.05,6.16,5.25,,1.94,2.05,3.88,4.33,2.17,3.88,3.54,,4.33,1.82,3.42,6.05,,22.02,4.68,3.54,5.47,2.62,4.11,2.17,2.74,2.05,5.13,32.17,,,1.6,,2.28,3.54,7.42,,1.94,2.17,2.74,4.79,4.45,5.13,4.22,2.62,2.62,1.6,1.311111,-2.105556,7.272222,0.6604,,-3.122222,72.579743
US_IN_18177,2020-01-06,ChIJszPNqZ3_P4gR67MemRKO-3o,Q502959,geoId/18177,US,United States of America,IN,Indiana,18177,Wayne County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66179,32064,34115,7893,8476,8109,7525,7993,9163,8431,5247,3342,1802233,39.86,-85.01,1047,76.082353,,,,,,2.29,4.68,5.82,4.3,10.41,2.29,7.26,5.35,1.62,3.25,4.2,4.3,1.91,4.49,1.34,,2.39,1.53,13.65,2.2,7.26,2.29,,3.72,2.1,8.4,4.01,2.1,2.1,2.2,5.44,4.2,1.72,4.96,3.15,,2.96,2.2,3.34,7.16,,22.05,5.54,2.29,5.63,2.58,2.86,3.25,1.53,,4.96,32.56,,,,,2.67,4.39,5.35,,2.67,2.1,2.58,3.44,4.11,3.63,2.58,2.77,3.44,2.0,2.844444,-2.544444,7.061111,0.0,,-2.905556,66.280879
US_IN_18177,2020-01-07,ChIJszPNqZ3_P4gR67MemRKO-3o,Q502959,geoId/18177,US,United States of America,IN,Indiana,18177,Wayne County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66179,32064,34115,7893,8476,8109,7525,7993,9163,8431,5247,3342,1802233,39.86,-85.01,1047,76.082353,,,,,,2.68,4.71,6.1,4.07,7.95,3.7,6.28,5.08,1.39,4.43,5.17,3.88,2.03,3.6,1.39,,1.57,1.29,10.35,3.23,7.58,2.68,3.33,5.17,1.66,10.72,3.14,1.94,2.68,1.76,5.73,2.03,1.85,2.03,3.51,,3.14,1.29,2.03,7.76,1.57,21.53,5.54,2.59,6.01,2.68,4.53,4.25,1.57,1.57,7.49,31.97,,1.66,1.39,1.39,1.76,2.31,5.45,1.94,2.77,1.85,2.03,4.71,5.08,3.23,3.33,2.03,1.94,,1.5,-3.372222,7.827778,0.0,,-4.533333,64.72568
US_IN_18177,2020-01-08,ChIJszPNqZ3_P4gR67MemRKO-3o,Q502959,geoId/18177,US,United States of America,IN,Indiana,18177,Wayne County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66179,32064,34115,7893,8476,8109,7525,7993,9163,8431,5247,3342,1802233,39.86,-85.01,1047,76.082353,,,,,,1.84,4.15,6.18,2.86,10.05,1.94,7.19,5.25,2.4,3.78,5.81,4.61,1.57,3.04,1.94,1.66,2.86,1.48,13.18,3.13,6.73,3.04,,4.42,1.75,10.97,3.87,,2.12,2.86,4.33,3.5,3.5,4.42,3.87,1.57,3.5,1.75,2.86,4.98,1.48,27.66,5.44,2.95,6.54,2.67,4.7,4.61,1.75,1.29,4.33,37.15,1.29,2.12,1.84,2.95,2.12,3.13,9.04,,2.21,2.12,2.31,5.25,5.35,3.96,1.84,2.03,2.77,2.21,0.461111,-3.35,6.127778,0.0,,-6.644444,59.298904
US_IN_18177,2020-01-09,ChIJszPNqZ3_P4gR67MemRKO-3o,Q502959,geoId/18177,US,United States of America,IN,Indiana,18177,Wayne County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66179,32064,34115,7893,8476,8109,7525,7993,9163,8431,5247,3342,1802233,39.86,-85.01,1047,76.082353,,,,,,,3.88,6.38,4.35,8.42,1.48,6.01,5.55,2.13,3.42,4.81,3.42,,1.85,,1.67,2.31,2.77,14.24,3.52,8.14,1.85,2.04,3.15,3.05,7.86,3.7,,3.42,2.04,3.79,3.52,1.76,3.24,2.96,1.67,4.07,2.59,2.13,6.66,1.85,28.03,4.53,2.77,7.12,2.77,4.72,3.7,2.4,1.57,5.09,34.04,2.68,,,3.42,3.05,3.52,12.03,,2.31,2.13,2.13,4.16,3.24,2.96,2.4,1.94,1.29,2.31,1.155556,-4.983333,12.433333,0.0,,-6.666667,56.17758
US_IN_18177,2020-01-10,ChIJszPNqZ3_P4gR67MemRKO-3o,Q502959,geoId/18177,US,United States of America,IN,Indiana,18177,Wayne County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66179,32064,34115,7893,8476,8109,7525,7993,9163,8431,5247,3342,1802233,39.86,-85.01,1047,76.082353,,,,,,1.73,3.46,4.91,3.18,9.82,2.18,7.46,4.46,2.46,3.64,5.37,2.46,1.55,2.55,1.36,1.91,3.46,,11.92,2.91,5.09,2.64,1.91,4.37,2.64,8.64,4.28,,1.91,2.09,5.28,2.82,1.82,3.64,4.55,,2.82,2.37,3.46,6.73,,21.74,5.0,1.55,7.0,2.82,3.64,3.55,2.82,1.27,4.55,31.57,1.46,1.82,1.46,1.91,2.09,3.18,7.0,2.18,2.0,3.09,2.82,3.37,4.64,5.55,2.0,2.46,2.91,,10.644444,7.288889,13.438889,11.853333,,6.127778,74.121077
