location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21019,2020-01-01,ChIJJ_bRrvTZRYgRIoNAxQHOlEU,Q491996,geoId/21019,US,United States of America,KY,Kentucky,21019,Boyd County,US,USA,2,,,,,,,47808,23798,24010,5613,5505,5427,5902,6058,6772,6348,3917,2266,1846501,38.36,-82.69,419,74.5,,,,,,,3.58,7.17,3.58,9.03,7.04,4.38,,,4.38,2.12,1.99,,12.74,3.85,6.5,2.92,4.25,,7.04,4.12,3.05,4.78,3.05,,3.85,3.58,5.31,3.72,3.58,19.38,4.25,,6.77,2.26,2.79,3.58,,1.99,29.07,2.79,4.38,3.05,,3.72,,1.86,1.86,4.38,,2.26,4.271605,1.895062,8.925926,0.0,,-1.944444,64.150531
US_KY_21019,2020-01-02,ChIJJ_bRrvTZRYgRIoNAxQHOlEU,Q491996,geoId/21019,US,United States of America,KY,Kentucky,21019,Boyd County,US,USA,2,,,,,,,47808,23798,24010,5613,5505,5427,5902,6058,6772,6348,3917,2266,1846501,38.36,-82.69,419,74.5,,,,,,2.9,3.63,7.14,2.3,8.47,8.11,4.48,1.94,2.66,5.08,2.06,,,14.28,3.15,9.44,3.02,4.72,2.06,9.56,4.23,3.63,4.23,4.11,1.94,3.75,3.75,3.39,3.39,7.86,25.4,4.6,2.78,5.57,3.63,3.99,3.75,2.66,5.69,31.57,3.02,5.2,1.69,2.9,4.48,3.75,3.75,,2.78,,2.3,4.555556,-0.425926,11.481481,0.0635,,-1.438272,65.859246
US_KY_21019,2020-01-03,ChIJJ_bRrvTZRYgRIoNAxQHOlEU,Q491996,geoId/21019,US,United States of America,KY,Kentucky,21019,Boyd County,US,USA,2,,,,,,,47808,23798,24010,5613,5505,5427,5902,6058,6772,6348,3917,2266,1846501,38.36,-82.69,419,74.5,,,,,,,4.56,7.2,2.64,9.84,5.76,6.12,2.4,1.92,5.4,4.32,3.36,2.76,16.92,3.6,8.88,3.12,3.84,2.16,8.04,3.84,3.0,3.84,3.24,2.52,4.44,3.12,3.6,3.6,7.8,24.6,5.88,2.28,6.48,3.12,3.48,3.36,2.28,4.68,36.84,3.84,4.92,2.76,2.88,3.72,3.36,4.8,2.52,2.4,3.0,,10.611111,6.851852,12.135802,9.2456,,10.228395,97.54645
US_KY_21019,2020-01-04,ChIJJ_bRrvTZRYgRIoNAxQHOlEU,Q491996,geoId/21019,US,United States of America,KY,Kentucky,21019,Boyd County,US,USA,2,,,,,,,47808,23798,24010,5613,5505,5427,5902,6058,6772,6348,3917,2266,1846501,38.36,-82.69,419,74.5,,,,,,,4.68,6.24,4.03,7.93,5.85,3.77,,3.51,6.37,4.16,2.21,2.21,12.87,3.38,7.02,2.99,3.38,2.08,5.59,2.73,2.34,4.94,,3.38,3.38,3.38,,,4.68,22.87,4.29,3.25,8.19,4.29,3.51,2.34,1.95,6.63,34.44,3.77,5.85,1.95,2.6,5.07,,3.12,3.12,2.47,1.95,2.21,8.450617,1.740741,12.450617,8.2804,,7.648148,94.77208
US_KY_21019,2020-01-05,ChIJJ_bRrvTZRYgRIoNAxQHOlEU,Q491996,geoId/21019,US,United States of America,KY,Kentucky,21019,Boyd County,US,USA,2,,,,,,,47808,23798,24010,5613,5505,5427,5902,6058,6772,6348,3917,2266,1846501,38.36,-82.69,419,74.5,,,,,,,5.62,7.36,2.27,7.22,7.09,3.88,1.87,2.81,4.41,4.15,3.34,2.67,12.17,2.94,9.9,3.08,4.82,,6.55,5.88,3.08,3.08,4.28,,4.28,4.01,4.01,2.81,5.62,23.41,6.29,3.88,6.02,,3.48,3.48,2.41,5.62,31.43,3.08,6.55,2.94,2.41,3.61,3.48,3.61,2.27,2.41,2.54,,2.240741,0.41358,10.487654,2.794,,-2.166667,72.744845
US_KY_21019,2020-01-06,ChIJJ_bRrvTZRYgRIoNAxQHOlEU,Q491996,geoId/21019,US,United States of America,KY,Kentucky,21019,Boyd County,US,USA,2,,,,,,,47808,23798,24010,5613,5505,5427,5902,6058,6772,6348,3917,2266,1846501,38.36,-82.69,419,74.5,,,,,,,3.86,6.32,4.21,10.07,5.97,6.67,,3.63,5.97,3.51,3.04,,11.35,2.81,7.61,2.34,4.57,2.58,9.83,3.51,3.75,3.16,1.99,2.93,5.03,4.21,3.98,3.04,6.79,23.64,4.45,4.57,7.02,1.87,4.21,3.98,3.75,5.15,31.37,4.57,4.1,3.86,3.04,2.69,4.92,4.45,2.58,3.16,2.58,2.34,4.234568,-0.277778,8.407407,0.028222,,-2.37037,62.50084
US_KY_21019,2020-01-07,ChIJJ_bRrvTZRYgRIoNAxQHOlEU,Q491996,geoId/21019,US,United States of America,KY,Kentucky,21019,Boyd County,US,USA,2,,,,,,,47808,23798,24010,5613,5505,5427,5902,6058,6772,6348,3917,2266,1846501,38.36,-82.69,419,74.5,,,,,,2.62,4.55,6.14,3.53,8.76,7.28,3.41,2.16,3.87,3.75,4.1,2.73,2.73,13.2,2.5,9.45,3.64,2.62,,10.36,4.1,1.71,4.55,3.3,2.96,4.32,3.64,2.73,2.96,7.05,22.76,4.78,2.96,4.67,,3.98,4.89,2.39,7.17,33.46,4.55,4.78,2.28,2.39,4.44,4.32,5.69,2.62,3.19,1.82,,1.685185,-2.617284,8.753086,0.550333,78.74,-2.962963,71.482252
US_KY_21019,2020-01-08,ChIJJ_bRrvTZRYgRIoNAxQHOlEU,Q491996,geoId/21019,US,United States of America,KY,Kentucky,21019,Boyd County,US,USA,2,,,,,,,47808,23798,24010,5613,5505,5427,5902,6058,6772,6348,3917,2266,1846501,38.36,-82.69,419,74.5,,,,,,,2.04,7.93,3.51,9.96,7.47,3.85,2.27,3.17,4.98,3.51,3.28,2.15,12.0,3.17,6.91,2.72,2.83,1.58,7.7,5.09,2.04,5.21,2.94,1.58,3.85,2.27,3.62,4.42,8.49,22.08,3.96,3.06,5.21,1.93,3.4,3.28,2.04,4.98,30.23,2.72,10.64,,2.83,3.51,3.62,3.51,2.15,1.58,3.96,2.6,3.876543,-2.024691,8.04321,1.11125,,-5.882716,49.046268
US_KY_21019,2020-01-09,ChIJJ_bRrvTZRYgRIoNAxQHOlEU,Q491996,geoId/21019,US,United States of America,KY,Kentucky,21019,Boyd County,US,USA,2,,,,,,,47808,23798,24010,5613,5505,5427,5902,6058,6772,6348,3917,2266,1846501,38.36,-82.69,419,74.5,,,,,,1.61,3.69,6.8,3.8,9.11,6.11,3.46,,2.54,3.8,2.88,2.19,1.73,10.95,1.61,7.03,3.8,4.15,,10.14,5.07,2.88,4.38,3.23,2.42,4.61,3.0,4.84,2.65,8.88,23.4,4.61,2.77,4.73,2.54,5.07,3.57,2.54,6.11,31.0,3.11,6.68,,2.77,3.23,4.61,4.38,,2.77,2.77,2.08,3.179012,-3.512346,14.685185,0.0,30.48,-6.438272,50.228798
US_KY_21019,2020-01-10,ChIJJ_bRrvTZRYgRIoNAxQHOlEU,Q491996,geoId/21019,US,United States of America,KY,Kentucky,21019,Boyd County,US,USA,2,,,,,,,47808,23798,24010,5613,5505,5427,5902,6058,6772,6348,3917,2266,1846501,38.36,-82.69,419,74.5,,,,,,1.92,3.83,5.41,2.48,9.23,5.74,3.94,2.25,4.05,3.49,3.83,2.7,2.37,10.59,2.14,4.96,1.8,5.07,1.8,6.19,4.84,,4.28,2.25,,4.5,1.58,4.62,3.27,6.64,21.06,4.62,3.15,5.97,2.59,4.39,4.5,1.8,4.84,28.94,3.27,6.87,3.27,1.69,3.38,3.6,3.94,2.03,2.93,2.25,1.92,12.580247,6.314815,18.641975,0.036286,,2.450617,50.470512
