location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21237,2020-01-01,ChIJN1VioviGRIgRA3FNRiR5szo,Q503438,geoId/21237,US,United States of America,KY,Kentucky,21237,Wolfe County,US,USA,2,,,,,,,7248,3544,3704,890,932,752,847,861,1102,951,599,314,1846594,37.74,-83.49,577,75.45,,,37.67,4.771605,2.117284,9.17284,0.0,,-2.0,61.800848
US_KY_21237,2020-01-02,ChIJN1VioviGRIgRA3FNRiR5szo,Q503438,geoId/21237,US,United States of America,KY,Kentucky,21237,Wolfe County,US,USA,2,,,,,,,7248,3544,3704,890,932,752,847,861,1102,951,599,314,1846594,37.74,-83.49,577,75.45,,17.5,28.56,6.141975,2.382716,10.691358,0.0,,-1.209877,59.511567
US_KY_21237,2020-01-03,ChIJN1VioviGRIgRA3FNRiR5szo,Q503438,geoId/21237,US,United States of America,KY,Kentucky,21237,Wolfe County,US,USA,2,,,,,,,7248,3544,3704,890,932,752,847,861,1102,951,599,314,1846594,37.74,-83.49,577,75.45,,19.79,26.39,10.814815,5.450617,12.487654,9.8044,,10.364198,97.158331
US_KY_21237,2020-01-04,ChIJN1VioviGRIgRA3FNRiR5szo,Q503438,geoId/21237,US,United States of America,KY,Kentucky,21237,Wolfe County,US,USA,2,,,,,,,7248,3544,3704,890,932,752,847,861,1102,951,599,314,1846594,37.74,-83.49,577,75.45,,,32.99,8.123457,1.592593,12.728395,6.1468,,6.814815,91.658182
US_KY_21237,2020-01-05,ChIJN1VioviGRIgRA3FNRiR5szo,Q503438,geoId/21237,US,United States of America,KY,Kentucky,21237,Wolfe County,US,USA,2,,,,,,,7248,3544,3704,890,932,752,847,861,1102,951,599,314,1846594,37.74,-83.49,577,75.45,,22.63,28.58,2.462963,-0.314815,10.067901,0.60325,,-2.41358,70.377597
US_KY_21237,2020-01-06,ChIJN1VioviGRIgRA3FNRiR5szo,Q503438,geoId/21237,US,United States of America,KY,Kentucky,21237,Wolfe County,US,USA,2,,,,,,,7248,3544,3704,890,932,752,847,861,1102,951,599,314,1846594,37.74,-83.49,577,75.45,,24.39,22.52,4.271605,-0.814815,9.030864,0.0,,-2.574074,61.298271
US_KY_21237,2020-01-07,ChIJN1VioviGRIgRA3FNRiR5szo,Q503438,geoId/21237,US,United States of America,KY,Kentucky,21237,Wolfe County,US,USA,2,,,,,,,7248,3544,3704,890,932,752,847,861,1102,951,599,314,1846594,37.74,-83.49,577,75.45,,15.31,27.93,2.975309,-1.123457,8.981481,1.5748,,-2.67284,67.043024
US_KY_21237,2020-01-08,ChIJN1VioviGRIgRA3FNRiR5szo,Q503438,geoId/21237,US,United States of America,KY,Kentucky,21237,Wolfe County,US,USA,2,,,,,,,7248,3544,3704,890,932,752,847,861,1102,951,599,314,1846594,37.74,-83.49,577,75.45,,25.28,20.41,4.123457,0.135802,8.808642,0.282222,,-5.333333,50.389154
US_KY_21237,2020-01-09,ChIJN1VioviGRIgRA3FNRiR5szo,Q503438,geoId/21237,US,United States of America,KY,Kentucky,21237,Wolfe County,US,USA,2,,,,,,,7248,3544,3704,890,932,752,847,861,1102,951,599,314,1846594,37.74,-83.49,577,75.45,,24.25,26.11,5.055556,-1.623457,15.432099,0.0,,-5.759259,46.173167
US_KY_21237,2020-01-10,ChIJN1VioviGRIgRA3FNRiR5szo,Q503438,geoId/21237,US,United States of America,KY,Kentucky,21237,Wolfe County,US,USA,2,,,,,,,7248,3544,3704,890,932,752,847,861,1102,951,599,314,1846594,37.74,-83.49,577,75.45,,18.79,31.94,13.895062,10.845679,18.08642,0.0,,3.753086,50.525543
