location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_LA_22011,2020-01-01,ChIJne2kz1OmO4YRY3CVcmli9gU,Q504284,geoId/22011,US,United States of America,LA,Louisiana,22011,Beauregard Parish,US,USA,2,,,,,,,36847,18749,18098,4907,5042,4712,4846,4622,4792,4150,2511,1265,1838142,30.65,-93.34,3020,75.0,,,,,7.18,11.57,6.78,,18.36,,6.78,21.55,7.58,9.18,40.71,7.18,,8.733333,4.666667,13.377778,0.0,3.308642,70.645508
US_LA_22011,2020-01-02,ChIJne2kz1OmO4YRY3CVcmli9gU,Q504284,geoId/22011,US,United States of America,LA,Louisiana,22011,Beauregard Parish,US,USA,2,,,,,,,36847,18749,18098,4907,5042,4712,4846,4622,4792,4150,2511,1265,1838142,30.65,-93.34,3020,75.0,,,,,9.06,9.06,9.42,6.52,19.21,6.52,12.68,27.54,6.88,6.88,43.85,14.49,,13.561111,10.138889,19.272222,14.986,11.845679,90.124466
US_LA_22011,2020-01-03,ChIJne2kz1OmO4YRY3CVcmli9gU,Q504284,geoId/22011,US,United States of America,LA,Louisiana,22011,Beauregard Parish,US,USA,2,,,,,,,36847,18749,18098,4907,5042,4712,4846,4622,4792,4150,2511,1265,1838142,30.65,-93.34,3020,75.0,,,,,7.43,17.2,6.64,7.04,20.72,9.38,13.29,37.92,,12.9,46.91,10.55,9.38,16.427778,14.461111,20.133333,14.901333,14.858025,90.638664
US_LA_22011,2020-01-04,ChIJne2kz1OmO4YRY3CVcmli9gU,Q504284,geoId/22011,US,United States of America,LA,Louisiana,22011,Beauregard Parish,US,USA,2,,,,,,,36847,18749,18098,4907,5042,4712,4846,4622,4792,4150,2511,1265,1838142,30.65,-93.34,3020,75.0,,,,,10.85,8.04,8.84,7.64,16.08,,9.65,32.96,,8.84,43.0,8.04,9.24,12.088889,5.244444,17.633333,1.0414,6.32716,68.394273
US_LA_22011,2020-01-05,ChIJne2kz1OmO4YRY3CVcmli9gU,Q504284,geoId/22011,US,United States of America,LA,Louisiana,22011,Beauregard Parish,US,USA,2,,,,,,,36847,18749,18098,4907,5042,4712,4846,4622,4792,4150,2511,1265,1838142,30.65,-93.34,3020,75.0,,,,,,14.41,,,20.02,13.21,,34.43,,8.81,43.63,9.21,7.61,10.383333,3.761111,21.066667,0.0,5.777778,74.658301
US_LA_22011,2020-01-06,ChIJne2kz1OmO4YRY3CVcmli9gU,Q504284,geoId/22011,US,United States of America,LA,Louisiana,22011,Beauregard Parish,US,USA,2,,,,,,,36847,18749,18098,4907,5042,4712,4846,4622,4792,4150,2511,1265,1838142,30.65,-93.34,3020,75.0,,,,,6.94,16.19,11.95,8.87,16.58,6.94,10.03,31.23,9.25,,48.2,9.25,5.78,13.922222,7.572222,22.038889,0.0,10.092593,78.873227
US_LA_22011,2020-01-07,ChIJne2kz1OmO4YRY3CVcmli9gU,Q504284,geoId/22011,US,United States of America,LA,Louisiana,22011,Beauregard Parish,US,USA,2,,,,,,,36847,18749,18098,4907,5042,4712,4846,4622,4792,4150,2511,1265,1838142,30.65,-93.34,3020,75.0,,,,,5.54,5.89,7.28,,19.4,9.36,12.13,24.95,,7.28,41.92,6.93,6.24,13.3,6.122222,18.2,0.0,3.728395,52.932188
US_LA_22011,2020-01-08,ChIJne2kz1OmO4YRY3CVcmli9gU,Q504284,geoId/22011,US,United States of America,LA,Louisiana,22011,Beauregard Parish,US,USA,2,,,,,,,36847,18749,18098,4907,5042,4712,4846,4622,4792,4150,2511,1265,1838142,30.65,-93.34,3020,75.0,,,,,5.56,8.18,6.54,4.58,17.01,9.81,6.54,33.69,4.91,4.91,37.94,14.72,4.58,8.494444,0.766667,18.833333,0.0,0.722222,59.29484
US_LA_22011,2020-01-09,ChIJne2kz1OmO4YRY3CVcmli9gU,Q504284,geoId/22011,US,United States of America,LA,Louisiana,22011,Beauregard Parish,US,USA,2,,,,,,,36847,18749,18098,4907,5042,4712,4846,4622,4792,4150,2511,1265,1838142,30.65,-93.34,3020,75.0,,,,,8.48,13.37,8.15,8.15,20.54,10.11,7.83,33.58,6.2,7.17,36.52,13.37,6.52,15.394444,10.611111,21.572222,0.03175,11.302469,76.938767
US_LA_22011,2020-01-10,ChIJne2kz1OmO4YRY3CVcmli9gU,Q504284,geoId/22011,US,United States of America,LA,Louisiana,22011,Beauregard Parish,US,USA,2,,,,,,,36847,18749,18098,4907,5042,4712,4846,4622,4792,4150,2511,1265,1838142,30.65,-93.34,3020,75.0,,,,,8.61,10.76,8.61,7.69,13.53,7.69,7.69,31.67,8.3,7.69,35.36,12.91,5.53,20.611111,17.494444,24.238889,0.0,17.864198,84.140646
