location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_LA_22099,2020-01-01,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,8.4,7.72,5.68,10.9,6.81,3.63,,7.04,5.0,4.54,3.41,13.62,6.13,9.08,,4.09,6.58,4.77,3.63,,5.22,5.45,5.68,8.4,,5.9,24.29,5.22,,6.58,3.18,3.86,3.41,5.45,44.95,5.0,7.95,6.13,3.63,5.68,4.54,,10.027778,5.45,14.85,0.0,3.409722,63.546994
US_LA_22099,2020-01-02,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,3.61,8.63,3.81,6.02,8.63,5.02,4.21,9.03,6.22,3.21,4.82,13.85,,8.23,3.81,3.21,8.83,4.01,3.21,4.82,4.21,3.01,5.82,6.82,4.42,9.23,22.68,4.62,4.82,8.03,2.81,4.21,6.42,4.62,43.15,3.81,4.01,6.22,4.82,4.62,5.42,4.01,17.922222,11.633333,23.211111,15.522222,15.923611,88.036304
US_LA_22099,2020-01-03,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,5.28,10.55,3.8,11.81,7.17,4.43,3.8,5.28,3.38,,,15.4,4.22,12.66,3.38,4.43,5.91,4.43,3.59,5.06,5.06,4.01,6.33,4.22,3.38,6.54,23.21,5.06,4.64,7.17,,3.59,7.38,4.43,36.29,4.22,6.75,4.43,4.43,5.49,,3.38,16.483333,14.105556,22.45,18.542,15.493056,93.871577
US_LA_22099,2020-01-04,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,4.72,8.54,4.72,9.21,5.39,,4.04,6.51,4.94,,4.94,16.62,3.82,8.31,,6.07,9.66,4.27,4.49,5.17,4.27,5.62,5.62,4.94,4.72,6.29,28.98,3.6,,6.74,4.27,4.49,4.49,3.6,33.48,5.39,8.99,6.96,5.17,4.94,3.6,4.94,13.672222,9.95,17.244444,10.7442,8.618056,71.481364
US_LA_22099,2020-01-05,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,,9.59,,8.7,6.91,3.79,3.57,6.47,4.01,3.57,3.57,17.62,4.24,9.81,4.46,,9.14,3.57,4.46,4.46,5.8,,3.12,3.35,4.46,8.7,19.85,6.02,,10.48,,3.12,3.35,6.25,41.93,6.47,8.25,5.8,4.91,4.01,,3.12,10.505556,4.05,18.505556,0.0,5.354167,70.782253
US_LA_22099,2020-01-06,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,5.68,8.33,3.6,11.55,7.95,4.54,4.17,7.0,4.35,3.41,,12.31,3.22,12.31,4.35,4.54,9.28,,,8.9,3.6,4.17,4.17,5.49,4.17,7.76,26.5,3.22,4.54,7.38,3.98,3.6,6.63,6.63,37.86,3.41,7.57,4.54,3.98,5.87,3.22,4.35,14.111111,7.866667,21.5,0.0254,9.597222,74.824561
US_LA_22099,2020-01-07,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,5.78,7.89,3.08,8.47,7.32,5.78,5.01,5.39,3.47,3.08,,13.29,4.04,9.24,4.62,3.47,9.24,3.66,4.24,3.85,2.7,4.62,3.66,6.74,,11.94,24.46,4.43,2.7,8.09,,3.27,8.67,7.51,43.14,4.04,7.12,5.97,3.85,5.39,3.85,4.04,14.422222,10.083333,18.422222,0.0,6.201389,57.98586
US_LA_22099,2020-01-08,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,3.5,5.83,3.5,10.31,4.86,5.45,5.06,6.42,4.47,2.72,,16.34,3.11,7.97,2.72,4.47,9.72,5.45,3.11,3.11,3.11,3.5,3.31,3.89,,9.14,32.28,4.47,2.92,7.58,2.72,3.89,2.92,4.67,34.62,6.22,16.34,5.45,4.28,5.25,,3.89,9.611111,2.633333,18.416667,0.0254,1.854167,58.904463
US_LA_22099,2020-01-09,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,4.95,7.8,5.14,10.28,8.95,7.23,7.61,5.33,5.14,,5.52,11.42,4.0,7.23,3.43,4.57,7.61,3.43,4.0,5.33,2.67,5.33,5.52,4.76,,7.42,32.36,6.28,,10.47,2.85,3.43,5.9,6.09,38.07,3.62,14.46,7.42,5.33,5.14,,,15.538889,10.261111,23.072222,0.0254,11.0625,75.207715
US_LA_22099,2020-01-10,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,3.37,6.74,4.68,9.92,5.8,4.68,3.18,3.75,4.31,,2.81,10.67,,7.3,2.62,2.62,6.37,4.49,3.75,6.18,4.12,,5.8,4.87,2.81,6.37,20.97,4.68,,5.8,,3.93,3.18,4.12,32.02,3.0,8.05,5.8,4.12,3.18,3.0,,20.583333,17.6,25.083333,0.254,18.506944,87.890498
US_LA_22099,2020-01-11,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,4.7,8.28,,10.06,6.93,6.04,4.03,5.59,,,3.13,14.54,,9.17,4.7,,6.26,4.25,4.92,3.8,3.13,3.8,6.04,6.49,4.03,8.72,20.8,4.92,3.35,8.05,,3.8,3.35,3.13,37.8,3.8,9.62,5.59,3.35,4.7,,3.35,20.794444,15.511111,23.961111,2.455333,18.291667,85.905315
US_LA_22099,2020-01-12,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,5.86,11.71,4.28,9.24,6.98,5.63,3.6,6.31,5.86,3.6,,11.49,4.96,5.41,3.6,4.28,6.53,4.28,4.96,8.34,4.96,3.6,3.83,4.73,,6.53,25.68,4.51,,3.83,3.15,,6.08,7.66,41.23,3.6,6.31,4.51,4.28,4.96,,3.6,10.888889,6.85,18.416667,13.0048,7.777778,81.399719
US_LA_22099,2020-01-13,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,3.58,4.95,4.61,10.41,7.51,6.83,2.39,3.76,3.93,,3.76,9.56,2.9,5.46,2.56,4.61,9.73,2.73,,3.93,4.1,2.9,2.73,3.07,,7.17,23.22,6.32,3.76,4.95,,4.1,4.27,2.56,32.78,4.1,4.61,3.76,5.46,4.1,3.41,,15.555556,13.061111,18.366667,1.411111,14.409722,92.822574
US_LA_22099,2020-01-14,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,8.09,8.09,3.31,11.76,8.45,7.53,5.7,4.78,4.41,2.57,5.7,13.78,5.51,6.98,3.31,4.96,7.53,3.67,4.23,4.41,5.14,4.23,4.96,3.67,3.86,7.53,29.21,7.9,4.96,7.9,3.31,5.14,,5.7,36.75,6.43,8.82,5.51,5.33,6.06,,2.94,20.838889,17.483333,25.088889,4.9276,19.770833,93.148851
US_LA_22099,2020-01-15,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,3.71,8.16,2.78,8.72,8.53,5.01,5.57,6.86,5.19,4.27,3.71,11.31,2.97,8.16,3.15,6.12,8.72,2.97,4.64,6.12,4.08,4.27,6.12,3.15,2.78,8.16,24.67,6.31,3.34,6.49,,4.82,2.78,5.19,32.46,5.19,7.05,6.12,3.9,5.75,2.6,4.08,21.5,19.266667,25.538889,0.0254,19.916667,90.114388
US_LA_22099,2020-01-16,ChIJp_PFGWjzI4YRfmXetcGzu-Y,Q512868,geoId/22099,US,United States of America,LA,Louisiana,22099,St. Martin Parish,US,USA,2,,,,,,,54066,26589,27477,7425,7066,7272,6912,6423,7618,6223,3499,1628,1837807,30.13,-91.61,2115,75.463636,,,,,,,7.05,7.79,,12.98,8.16,4.45,4.64,6.49,4.26,5.19,3.34,15.21,5.19,8.34,4.45,5.56,9.64,4.82,,4.82,4.08,4.64,5.38,3.15,2.6,7.79,26.89,5.38,2.6,4.82,3.15,4.26,,6.49,41.54,5.19,7.42,4.26,5.38,4.45,5.19,4.08,20.633333,17.977778,25.266667,0.0,19.229167,92.05032
