location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26009,2020-01-01,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,6.09,7.88,7.88,5.02,,5.73,8.96,10.04,8.6,5.73,,,25.09,5.73,7.17,,36.56,5.38,,-2.627778,-5.566667,0.677778,1.0795,99.06,-5.930556,77.611452
US_MI_26009,2020-01-02,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,9.03,7.23,,9.03,,16.98,9.39,7.23,,,7.59,26.74,6.14,6.14,,41.92,7.23,5.06,2.516667,-1.777778,5.555556,0.15875,30.48,-1.298611,75.553656
US_MI_26009,2020-01-03,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,6.88,8.69,9.78,7.24,8.33,16.66,14.49,10.5,8.69,,7.61,24.63,8.69,11.23,6.16,39.48,,6.52,1.738889,-1.216667,4.994444,0.34925,,-1.631944,78.543785
US_MI_26009,2020-01-04,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,6.02,13.16,5.26,11.28,9.03,18.43,9.03,5.64,,7.52,,23.31,9.03,8.65,,39.11,7.52,5.64,-1.427778,-2.355556,1.622222,0.0,,-4.118056,82.056322
US_MI_26009,2020-01-05,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,8.86,15.3,8.45,6.44,,17.71,8.86,,,7.25,7.25,18.12,,,,34.62,,8.86,-1.105556,-2.244444,-0.361111,0.423333,78.74,-3.743056,82.07074
US_MI_26009,2020-01-06,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,8.95,8.95,5.01,,6.44,15.39,9.66,10.38,,,8.95,18.25,,8.95,6.44,34.36,,,-1.016667,-2.616667,0.133333,3.683,78.74,-5.576389,71.275796
US_MI_26009,2020-01-07,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,,,9.76,4.88,6.97,13.94,8.71,9.41,,,,23.35,4.88,,5.23,32.06,,5.92,-0.588889,-5.461111,1.944444,0.465667,50.8,-5.118056,72.302463
US_MI_26009,2020-01-08,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,5.54,11.08,11.08,4.85,,13.15,6.23,6.92,,,,31.5,5.88,6.58,7.62,35.3,10.73,6.92,-7.0,-9.494444,0.283333,0.381,50.8,-12.756944,63.73354
US_MI_26009,2020-01-09,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,6.2,6.54,7.58,5.51,5.85,16.18,7.92,5.85,,6.2,8.61,25.14,,,,33.4,11.36,,-6.155556,-9.644444,0.944444,0.677333,50.8,-10.993056,67.946596
US_MI_26009,2020-01-10,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,,6.76,9.77,5.63,5.26,21.41,5.63,8.26,,,7.14,22.54,,,,28.54,,,3.75,-0.322222,7.033333,0.762,,1.131944,83.190901
