location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MI_26061,2020-01-01,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,5.03,6.09,7.94,10.32,11.64,7.94,7.41,,,6.09,4.23,4.76,,14.55,4.76,11.64,3.71,,,6.88,6.35,,5.82,7.67,,,,8.2,,6.62,24.61,8.47,6.35,7.94,,,4.76,,4.23,39.43,3.71,10.06,3.71,3.71,7.14,4.23,3.97,,,,3.71,-7.138889,-12.756944,-1.208333,0.072571,-10.811111,79.107068
US_MI_26061,2020-01-02,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,5.02,6.84,7.53,10.49,4.79,4.11,,,9.12,5.02,3.65,,16.42,3.88,10.95,5.02,3.65,3.65,4.79,3.65,,6.84,5.7,,5.93,3.19,5.02,3.88,7.98,28.73,6.39,4.33,6.84,4.56,5.7,3.65,,5.7,36.03,6.16,9.35,3.19,4.11,6.61,4.33,3.88,,6.39,,4.56,-0.423611,-2.680556,2.152778,0.03175,-2.633333,85.39843
US_MI_26061,2020-01-03,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,3.16,3.84,7.68,5.87,10.16,7.23,6.32,,4.07,4.29,5.65,3.84,,16.94,4.52,8.58,3.16,4.74,,7.91,5.42,,4.52,4.74,3.39,,3.39,5.87,,4.74,23.04,3.84,,6.1,3.61,4.74,3.61,,6.55,44.95,3.61,7.45,3.39,,4.07,,10.16,,,4.52,,-2.201389,-4.395833,1.090278,0.09525,-5.522222,77.481969
US_MI_26061,2020-01-04,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,5.74,7.99,4.49,6.74,8.74,6.24,,,4.74,3.75,5.24,,14.48,,8.74,,,,6.24,3.5,3.5,3.99,,,,,4.49,,4.74,23.96,5.49,,6.99,4.99,,5.74,,5.49,38.94,,6.49,,,6.49,,4.74,,,3.5,,-2.857143,-4.150794,-1.111111,0.0,-6.088889,79.432882
US_MI_26061,2020-01-05,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,3.75,4.25,8.25,6.75,9.0,9.0,3.75,4.25,,7.75,6.0,5.0,,14.75,4.25,11.25,,7.25,,4.75,5.0,,5.5,,,,5.25,5.0,4.0,8.25,30.5,10.25,7.0,6.25,4.25,,4.75,,3.75,45.75,,,,,6.5,,4.75,,4.25,3.75,,-2.484127,-3.674603,-0.706349,0.084667,-5.2,82.946777
US_MI_26061,2020-01-06,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,4.14,7.5,4.54,9.67,9.87,4.93,,3.35,5.33,6.71,3.35,2.76,14.8,2.76,7.1,,8.29,2.96,8.09,3.95,,,3.55,3.75,3.16,4.14,5.13,,6.71,21.31,7.89,,5.13,4.93,5.13,4.93,,6.51,39.27,5.33,4.74,,,3.95,3.35,,,3.55,,,-2.52381,-4.896825,-0.039683,1.27,-8.288889,65.957191
US_MI_26061,2020-01-07,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,4.93,7.5,4.34,9.27,8.29,5.13,2.76,5.92,4.14,5.13,5.13,,14.21,2.76,7.1,,5.13,,8.09,4.34,,5.13,4.14,2.96,2.76,,,,5.92,26.44,6.71,5.13,7.3,3.16,4.54,,3.75,5.92,36.9,7.1,9.67,,,5.33,4.14,7.3,,3.55,3.35,,-3.256944,-8.381944,0.027778,0.072571,-7.944444,70.021305
US_MI_26061,2020-01-08,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,5.25,10.49,6.25,10.09,11.1,4.84,,3.43,4.04,3.23,,3.63,12.91,3.03,6.66,3.23,6.66,4.84,7.46,5.25,,5.45,,,4.04,,4.04,,7.26,26.43,7.67,3.23,5.04,,6.05,3.83,,6.25,35.1,5.04,9.08,2.83,,5.85,3.43,4.24,,,3.23,,-12.416667,-14.25,-8.548611,0.217714,-16.077778,72.292585
US_MI_26061,2020-01-09,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,3.58,4.17,8.74,6.36,8.54,7.75,5.37,,2.98,5.56,3.97,4.57,,14.31,,8.35,3.58,6.76,3.18,5.76,3.58,,5.17,3.97,,2.98,3.97,4.97,,7.95,29.61,5.37,2.78,6.96,,4.97,4.57,,5.96,36.37,,8.35,3.58,,5.17,3.78,4.97,,,4.77,3.18,-6.395833,-13.465278,-0.055556,0.254,-9.866667,77.52731
US_MI_26061,2020-01-10,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,3.98,6.25,5.68,10.22,6.25,4.54,,,4.54,4.92,2.84,2.84,14.01,4.54,6.06,,6.25,3.22,7.38,3.41,,4.73,4.54,3.41,4.54,,3.41,,7.57,21.01,6.25,3.03,5.68,2.65,3.03,3.22,3.41,6.43,29.91,5.11,4.35,2.84,,4.73,,3.03,,5.3,3.41,2.84,-1.923611,-6.826389,0.979167,1.161143,-4.777778,79.138283
