location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26067,2020-01-01,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,3.3,3.59,6.02,5.59,8.75,5.59,3.73,2.29,,6.02,3.59,2.58,,,17.36,3.73,10.04,2.01,4.16,3.01,5.31,4.02,,,3.15,5.45,3.15,3.3,2.87,5.31,3.44,4.73,21.94,4.3,3.01,5.74,,3.73,4.73,2.44,5.88,33.27,,3.3,6.74,2.15,2.44,5.02,3.3,2.87,,5.16,2.44,3.3,-1.727778,-4.727778,1.444444,0.197556,50.8,-6.405556,70.462104
US_MI_26067,2020-01-02,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,2.45,4.46,5.18,4.46,8.78,5.47,4.46,2.45,3.46,5.76,4.03,2.59,,,16.13,2.59,8.78,3.89,3.6,4.03,9.07,7.63,2.45,2.3,3.74,4.61,2.02,3.02,4.32,4.75,2.88,7.06,23.91,4.9,2.45,6.62,3.6,4.18,3.6,,6.05,31.11,,3.31,6.19,3.46,2.02,4.61,3.74,5.04,,4.32,3.89,2.74,3.733333,-1.922222,7.661111,0.0,40.64,-2.427778,64.176212
US_MI_26067,2020-01-03,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,,5.08,5.8,5.66,11.89,7.69,4.64,,3.77,5.37,,3.19,,3.19,17.69,2.76,11.31,2.9,4.64,,7.83,5.37,2.76,5.08,5.37,4.5,3.63,3.19,3.05,5.22,2.76,5.51,25.82,5.8,2.03,4.79,2.03,3.92,4.5,2.47,5.95,38.29,,3.77,5.51,2.76,2.32,4.06,5.51,4.35,2.18,3.19,3.34,2.32,3.694444,1.022222,6.583333,0.0,40.64,1.183333,83.675632
US_MI_26067,2020-01-04,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,,3.33,5.07,5.5,9.41,6.37,5.21,,2.75,4.34,4.34,2.6,,,17.22,2.6,11.72,2.75,,3.04,7.24,3.91,,,4.49,4.05,,3.91,5.21,5.07,3.62,4.78,21.71,5.5,4.34,5.64,2.46,3.18,3.91,,5.5,36.47,,2.89,5.35,4.05,2.03,5.21,3.62,3.62,,,2.46,,0.411111,-0.911111,3.205556,0.0,,-2.961111,78.185434
US_MI_26067,2020-01-05,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,2.94,4.89,7.97,3.77,11.18,7.13,3.63,,4.61,4.75,2.24,5.31,2.52,3.07,18.03,3.63,7.83,4.19,4.19,3.91,8.66,5.17,2.79,4.19,5.73,4.05,2.24,2.52,4.33,4.05,4.61,2.94,20.68,4.89,2.94,6.99,,2.38,4.05,,4.61,36.61,2.79,3.49,5.59,,,6.57,4.05,,1.96,3.63,3.77,1.96,-0.7,-1.738889,1.594444,0.0,,-5.261111,71.299122
US_MI_26067,2020-01-06,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,4.07,4.73,6.7,5.39,7.1,8.02,3.55,1.97,2.1,4.86,3.68,4.34,,2.5,16.29,3.02,5.26,3.68,3.42,2.37,8.94,4.21,2.1,3.15,4.47,3.42,2.89,2.5,2.63,4.21,2.5,6.83,27.07,6.7,,4.34,1.97,3.55,4.73,,4.34,34.95,,4.34,5.39,,2.37,5.52,4.6,4.34,3.55,2.63,3.15,,1.905556,-1.577778,5.472222,0.762,,-4.138889,64.286829
US_MI_26067,2020-01-07,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,3.33,5.9,4.23,3.46,10.51,6.16,3.08,1.92,3.21,5.38,2.95,3.72,,,14.75,4.1,8.21,2.56,5.13,,7.18,4.74,2.31,2.31,3.08,4.62,2.31,3.33,2.95,3.59,2.44,7.18,22.57,4.74,2.56,7.05,2.95,5.77,4.62,2.18,3.85,36.8,2.31,3.21,6.54,3.33,3.21,4.23,3.33,4.23,2.69,3.08,2.82,,0.388889,-2.338889,4.561111,0.0,,-4.183333,71.589765
US_MI_26067,2020-01-08,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,2.48,4.57,6.4,5.88,8.23,7.58,4.44,,5.23,3.79,2.35,,1.83,,12.54,3.13,6.66,2.48,4.7,2.22,7.97,3.66,,2.74,4.18,4.31,2.48,5.36,3.66,4.44,2.61,5.75,26.52,5.75,3.66,7.71,2.09,3.79,4.31,2.22,4.18,30.96,,3.4,9.41,1.96,,4.44,2.87,3.0,,,2.22,2.22,-4.005556,-8.533333,2.033333,0.677333,,-9.861111,63.846392
US_MI_26067,2020-01-09,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,2.12,4.5,4.63,5.29,8.46,6.48,3.7,3.17,4.1,5.29,3.31,2.38,2.51,2.51,10.57,2.38,7.8,4.23,3.7,,8.06,3.83,1.98,2.51,3.44,3.57,2.25,2.51,2.38,3.17,,5.42,26.44,5.55,2.38,5.95,2.38,3.57,2.64,,6.61,32.78,2.38,3.31,9.25,2.78,2.78,4.63,3.57,5.02,2.91,3.17,,2.25,-4.05,-9.872222,6.966667,0.0,30.48,-9.888889,63.958093
US_MI_26067,2020-01-10,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,,3.29,5.01,3.69,7.38,7.25,3.29,,3.16,5.4,3.03,2.77,,2.24,13.57,2.24,7.38,1.98,4.21,2.77,6.59,2.24,,3.56,4.87,3.29,,3.82,2.9,3.69,3.16,4.74,19.1,5.53,2.5,5.4,,3.42,2.37,2.5,2.77,27.0,1.98,3.82,6.19,2.5,3.03,3.82,2.24,2.63,3.03,1.84,1.98,2.11,7.85,6.172222,9.088889,0.042333,,3.905556,76.18727
