location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26137,2020-01-01,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,4.73,7.89,7.26,6.62,6.94,5.05,15.46,7.89,,6.62,5.68,5.36,7.57,6.31,24.92,6.31,,6.62,33.12,6.31,4.42,-2.927778,-5.433333,0.161111,1.481667,149.86,-6.024691,78.258742
US_MI_26137,2020-01-02,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,,10.47,6.88,8.68,8.68,11.07,,6.88,8.68,,5.98,,7.18,23.04,6.88,5.09,4.79,39.49,6.88,5.39,1.794444,-3.805556,5.194444,0.141111,149.86,-2.006173,75.169967
US_MI_26137,2020-01-03,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,8.12,8.7,8.12,4.93,8.12,16.52,8.12,,9.86,4.93,5.22,,8.41,25.22,7.25,4.06,5.22,37.98,4.35,,1.605556,-1.55,4.894444,0.399143,129.54,-1.481481,79.344043
US_MI_26137,2020-01-04,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,4.43,,8.55,6.33,,4.75,17.73,9.5,,8.55,,4.75,,6.65,21.22,6.02,4.75,,32.93,,,-1.744444,-2.8,2.155556,0.0,129.54,-4.17284,82.524436
US_MI_26137,2020-01-05,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,5.78,7.7,8.35,4.81,6.1,14.76,9.95,,5.46,,,7.06,6.1,23.43,6.74,8.99,,31.13,5.78,,-1.588889,-2.877778,-0.716667,0.6096,78.74,-3.901235,83.227083
US_MI_26137,2020-01-06,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,6.36,6.06,11.82,9.09,,7.58,13.33,6.97,,9.7,5.76,,6.06,7.27,24.24,,5.45,,41.21,4.54,4.24,-1.466667,-3.372222,-0.2,4.5212,78.74,-5.58642,72.675471
US_MI_26137,2020-01-07,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,7.32,9.37,8.49,4.98,,18.73,8.49,6.44,10.83,4.39,4.68,,8.49,27.81,7.03,4.39,,34.54,9.07,4.68,-1.483333,-7.138889,1.772222,0.465667,149.86,-5.388889,74.171639
US_MI_26137,2020-01-08,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,6.01,9.45,7.16,5.44,6.87,14.6,6.3,4.29,6.58,,,,7.44,25.77,5.73,5.73,,31.49,7.44,4.87,-7.244444,-9.95,0.838889,0.4572,149.86,-12.691358,64.374171
US_MI_26137,2020-01-09,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,3.89,8.89,4.72,5.0,9.17,17.51,5.84,,7.5,5.0,4.17,5.0,9.45,26.68,7.23,7.5,,38.63,7.78,,-6.661111,-10.072222,0.416667,0.8128,180.34,-11.32716,68.375029
US_MI_26137,2020-01-10,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,4.86,7.89,6.07,5.16,6.37,9.71,7.59,4.55,9.71,6.68,,5.46,5.16,21.55,,,5.16,32.17,7.28,6.37,3.422222,-0.333333,6.611111,0.8636,180.34,0.969136,83.566383
US_MI_26137,2020-01-11,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,4.81,,8.02,8.98,4.81,4.49,11.87,8.02,,5.13,,,,,17.96,5.45,4.81,6.41,32.39,6.41,,-2.211111,-7.038889,4.972222,5.588,99.06,-4.54321,83.437644
