location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MI_26153,2020-01-01,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,42.51,-4.733333,-9.95,0.477778,0.508,-7.111111,85.003178
US_MI_26153,2020-01-02,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,26.1,39.83,1.594444,-0.011111,3.072222,0.0635,0.077778,88.461696
US_MI_26153,2020-01-03,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,40.21,0.122222,-2.105556,2.655556,1.3462,-2.511111,81.432591
US_MI_26153,2020-01-04,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,,-2.188889,-2.955556,-0.577778,0.0,-4.5,83.015106
US_MI_26153,2020-01-05,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,34.39,-1.794444,-4.611111,0.505556,0.28575,-3.744444,86.790854
US_MI_26153,2020-01-06,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,28.7,-1.972222,-4.9,-0.072222,2.3495,-6.566667,71.368802
US_MI_26153,2020-01-07,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,28.23,37.65,-1.744444,-6.005556,1.088889,0.0,-6.722222,68.859385
US_MI_26153,2020-01-08,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,22.68,42.68,-9.205556,-11.938889,-3.916667,0.616857,-13.544444,69.809879
US_MI_26153,2020-01-09,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,21.94,21.94,-5.916667,-11.866667,0.627778,1.197429,-9.466667,75.603438
US_MI_26153,2020-01-10,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,22.79,36.2,1.238889,-1.594444,3.433333,1.157111,-0.766667,85.419931
US_MI_26153,2020-01-11,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,29.73,-4.872222,-8.327778,0.2,0.0,-7.955556,77.989307
US_MI_26153,2020-01-12,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,33.2,-9.916667,-13.022222,-6.233333,0.907143,-14.655556,67.988311
US_MI_26153,2020-01-13,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,37.23,-7.116667,-10.666667,-2.722222,0.0,-9.311111,81.931052
US_MI_26153,2020-01-14,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,38.04,-1.227778,-6.233333,1.088889,0.181429,-2.977778,87.186357
