location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26157,2020-01-01,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,6.06,7.23,4.11,10.36,5.08,4.89,,4.69,5.28,,,19.74,,8.02,3.52,3.32,6.25,6.25,3.13,5.67,4.89,4.69,4.3,6.25,,8.21,24.63,7.43,4.3,6.45,2.74,3.71,5.28,7.43,38.9,6.25,7.43,4.5,3.32,4.3,3.52,3.32,-1.627778,-4.077778,1.233333,0.1016,50.8,-6.365079,69.835177
US_MI_26157,2020-01-02,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,6.84,7.98,3.42,11.78,6.08,7.41,,4.18,3.61,4.75,,16.34,2.66,9.88,5.32,4.37,11.4,4.75,2.66,4.56,6.08,5.51,4.56,5.89,3.42,10.07,29.07,8.55,3.04,6.65,,4.94,5.13,,43.13,3.23,7.03,6.08,5.89,3.23,4.18,3.61,3.505556,-0.727778,7.177778,0.0,40.64,-2.753968,62.497144
US_MI_26157,2020-01-03,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,4.46,5.42,3.87,10.65,6.78,5.81,3.49,5.04,2.9,,3.87,22.66,,12.59,3.29,4.07,9.49,3.1,,5.42,3.49,4.46,4.07,5.04,3.68,7.17,32.92,6.2,,8.91,3.1,4.07,3.49,5.81,41.45,6.39,7.55,6.58,4.07,2.9,3.87,,3.772222,1.988889,5.894444,0.0,,0.793651,79.741603
US_MI_26157,2020-01-04,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,8.54,7.55,5.76,9.54,8.94,6.16,3.18,5.96,5.76,,,25.03,3.77,12.71,4.57,3.38,8.14,3.77,,5.96,4.77,5.56,5.36,5.96,4.37,5.56,27.02,6.56,4.97,4.17,,3.38,4.37,5.96,51.06,5.36,5.36,7.55,4.57,7.15,2.98,,0.488889,-0.983333,2.811111,0.0,,-2.396825,80.327962
US_MI_26157,2020-01-05,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,5.02,6.96,5.8,9.28,8.12,,3.87,5.99,,2.71,3.67,23.57,3.87,9.86,,5.02,7.54,4.06,,7.92,3.48,5.22,2.9,,3.87,8.7,25.51,7.34,,6.18,2.71,4.44,3.48,6.18,39.8,,5.99,5.6,4.25,6.57,4.06,,-0.738889,-1.827778,0.538889,0.0,30.48,-4.769841,73.910965
US_MI_26157,2020-01-06,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,6.11,5.78,3.63,12.54,9.08,6.44,2.81,4.29,4.79,3.8,3.3,20.8,4.13,10.4,4.79,2.64,9.74,5.28,2.31,3.47,5.12,2.48,,4.13,,6.11,23.93,3.96,3.8,6.77,,5.45,3.63,3.8,34.17,4.13,6.44,3.63,5.45,5.61,5.28,,1.183333,-1.372222,3.911111,0.217714,,-4.285714,66.473588
US_MI_26157,2020-01-07,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,3.88,5.9,2.53,9.11,6.24,7.42,2.87,5.56,3.71,3.2,3.2,12.98,,8.6,3.2,4.38,7.76,5.06,,7.76,4.89,2.53,2.87,4.55,2.53,5.39,24.28,6.58,2.87,5.56,3.71,2.53,4.21,5.39,41.65,4.05,5.56,5.23,3.54,4.55,4.38,4.38,0.661111,-1.911111,3.811111,0.0,,-4.142857,71.028728
US_MI_26157,2020-01-08,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,3.98,5.8,3.98,9.61,8.95,4.47,4.31,6.46,3.48,4.14,2.32,16.58,,10.11,,4.97,8.62,4.47,,3.98,2.65,4.97,4.14,3.81,3.15,9.12,31.33,8.29,2.65,8.12,2.82,5.47,3.98,8.12,37.3,4.47,8.79,6.3,3.15,4.97,3.48,3.15,-3.866667,-7.488889,1.544444,0.254,50.8,-10.214286,60.99111
US_MI_26157,2020-01-09,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,7.09,4.12,3.96,10.06,7.92,5.28,3.46,3.63,3.46,3.63,,15.18,3.63,7.42,3.13,,7.59,4.45,3.3,3.96,4.45,2.97,3.63,2.64,3.63,6.6,24.25,5.94,3.63,5.28,,2.97,3.96,5.61,33.66,5.28,12.04,3.79,2.97,4.29,2.64,2.97,-4.788889,-9.783333,3.127778,0.03175,30.48,-10.507937,64.95673
US_MI_26157,2020-01-10,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,2.8,4.78,3.46,6.92,4.94,3.63,,5.11,2.31,3.96,,11.04,2.64,7.58,2.97,3.96,6.26,3.96,,5.6,2.64,4.94,2.47,3.13,2.31,6.92,21.92,5.93,2.97,7.75,,4.29,2.97,4.12,29.66,5.77,9.56,4.94,3.63,4.45,2.8,3.13,6.772222,3.277778,8.311111,0.0,,2.690476,71.269235
