location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MN_27015,2020-01-01,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,6.88,10.01,,8.76,5.32,,17.52,7.82,8.13,7.51,7.82,5.0,5.63,5.63,5.63,25.65,6.88,4.69,4.69,5.0,31.59,,5.94,5.32,,-5.17284,-10.092593,0.87037,0.225778,-7.561728,83.348856
US_MN_27015,2020-01-02,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,,5.63,8.04,8.84,,7.77,16.88,10.18,3.75,4.29,4.02,4.02,,,5.63,21.17,,4.56,6.43,4.02,32.69,3.75,4.29,,,0.277778,-1.425926,1.746914,0.084667,-1.549383,87.560504
US_MN_27015,2020-01-03,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,4.54,9.61,8.81,6.14,,5.07,13.62,9.61,7.48,6.67,,,4.27,,3.74,18.42,7.48,7.48,,4.81,31.24,,4.81,,5.07,-0.759259,-3.277778,0.679012,0.0,-1.666667,93.599471
US_MN_27015,2020-01-04,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,,8.38,7.09,4.51,5.48,5.48,16.12,10.32,6.45,,5.48,,,,,22.25,4.84,6.45,,,29.66,,7.42,,,-6.148148,-11.141975,-2.345679,0.290286,-7.919753,87.272881
US_MN_27015,2020-01-05,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,4.28,6.73,7.34,,7.34,6.12,17.75,11.93,6.73,6.12,5.2,,,,,15.3,5.2,,,,32.74,,,,,-0.228395,-4.777778,3.796296,0.141111,-3.858025,76.587472
US_MN_27015,2020-01-06,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,3.84,6.4,7.68,5.63,4.61,5.12,15.62,7.42,5.89,5.38,4.61,4.61,,4.86,4.61,22.02,,6.14,5.38,3.84,29.18,4.35,7.17,6.66,3.58,-3.253086,-7.067901,1.722222,0.0,-6.432099,78.740272
US_MN_27015,2020-01-07,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,3.83,7.91,9.19,5.36,4.34,,14.03,8.93,5.1,9.44,5.1,4.34,5.87,5.36,4.59,27.3,5.1,7.14,4.34,4.34,29.34,,5.87,4.08,,-4.438272,-10.697531,-0.030864,0.0,-6.975309,82.516
US_MN_27015,2020-01-08,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,5.77,4.76,6.52,9.28,4.76,3.51,19.06,7.77,5.27,8.03,7.02,,,4.01,4.51,29.09,3.76,6.77,,4.51,33.1,,9.28,,,-14.783951,-18.697531,-10.648148,0.0,-18.432099,73.79536
US_MN_27015,2020-01-09,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,3.82,6.62,6.11,7.89,,5.34,12.47,6.87,9.42,5.85,8.65,,5.34,3.56,4.33,26.47,5.6,7.13,3.56,4.58,40.21,4.84,12.47,4.07,,-4.555556,-11.092593,1.061728,0.0,-7.728395,78.534072
US_MN_27015,2020-01-10,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,4.12,3.6,10.04,5.41,5.92,3.86,16.73,7.47,5.92,5.41,7.72,5.15,,,6.95,32.7,4.89,7.72,,5.92,31.67,4.12,8.24,5.66,,-8.734568,-14.154321,-4.833333,0.0,-11.462963,80.680823
