location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MN_27041,2020-01-01,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,5.3,6.11,2.99,4.62,6.66,2.72,,2.58,,,,12.5,,6.66,2.04,3.67,4.75,,,,3.4,,2.72,3.8,2.31,2.17,15.08,4.21,1.9,3.12,,2.31,2.31,,24.18,2.44,3.4,,,2.58,,2.17,-8.022222,-14.038889,-1.516667,0.0,-9.883333,86.528785
US_MN_27041,2020-01-02,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.48,5.08,3.84,5.99,4.29,2.48,,4.41,1.69,2.15,,10.51,1.58,7.68,,8.25,2.48,3.5,,3.16,3.16,,1.81,1.69,,3.73,18.98,3.05,2.37,3.5,,2.37,1.58,4.52,20.45,2.6,4.63,2.82,2.48,2.71,2.82,,-1.561111,-2.95,-0.022222,0.0635,-2.922222,90.469266
US_MN_27041,2020-01-03,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.48,4.07,3.16,5.87,6.21,2.48,1.69,4.52,2.37,1.69,2.03,12.53,,7.11,2.48,4.97,2.26,2.03,,2.94,2.26,2.48,2.15,2.82,1.69,2.94,16.6,3.16,,4.4,1.69,3.27,2.6,3.05,22.58,2.03,3.16,4.4,1.81,1.81,1.58,2.37,-3.461111,-6.911111,-1.561111,0.0,-4.838889,90.213051
US_MN_27041,2020-01-04,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,5.27,5.41,3.61,7.49,3.89,2.08,,4.58,1.94,,,14.57,2.36,5.69,1.94,,4.86,4.03,3.33,2.78,2.22,,,2.22,3.33,3.89,16.1,3.33,,3.33,1.94,,2.36,3.61,23.04,3.05,3.47,,2.08,2.91,2.64,,-8.966667,-14.333333,-4.683333,0.0,-9.911111,92.879915
US_MN_27041,2020-01-05,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,3.27,4.91,3.27,5.73,6.55,4.09,,5.46,3.14,5.87,2.46,15.28,2.73,5.05,2.73,3.0,3.41,4.09,,2.86,3.14,,2.73,2.18,2.18,2.05,15.96,3.68,,3.96,2.46,2.05,,2.86,21.82,,5.73,3.0,,2.05,,2.59,-2.722222,-6.861111,1.944444,0.0,-5.438889,81.615765
US_MN_27041,2020-01-06,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,4.36,4.71,3.21,7.0,5.62,3.1,1.95,3.9,1.84,3.67,,11.25,2.64,8.15,2.41,4.02,5.74,3.56,1.84,2.41,3.79,,1.61,1.95,,3.56,20.89,4.25,3.33,5.05,3.33,3.56,2.29,3.9,23.18,2.41,4.59,2.18,1.95,1.95,,1.72,-6.65,-11.738889,-1.172222,0.0,-9.35,81.234966
US_MN_27041,2020-01-07,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.17,4.45,3.08,6.28,5.14,2.97,2.17,3.77,2.06,2.4,,12.68,2.51,6.05,2.51,3.77,5.48,2.74,,2.97,2.17,2.28,1.83,3.2,2.4,3.65,16.9,4.68,2.97,3.54,1.83,3.54,2.51,5.14,21.35,3.65,5.25,4.57,3.08,1.6,2.06,2.85,-7.994444,-16.216667,-2.861111,0.0,-11.194444,77.813714
US_MN_27041,2020-01-08,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.04,3.98,2.61,6.59,5.57,2.84,,4.32,2.61,2.16,1.59,10.11,2.04,7.72,2.39,5.34,5.11,3.52,,2.5,1.7,,3.18,2.73,2.27,3.86,19.54,2.04,2.5,4.2,2.5,4.54,3.75,3.63,23.06,1.93,5.79,2.84,2.16,,,1.82,-19.894444,-25.661111,-15.011111,0.0,-22.905556,76.92145
US_MN_27041,2020-01-09,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.28,3.87,2.5,5.58,6.72,3.42,4.1,2.05,3.3,1.94,2.73,11.04,,6.72,1.82,3.53,4.55,3.42,1.71,3.3,2.85,3.53,1.71,2.5,,3.42,19.92,3.3,1.94,3.76,1.71,2.28,2.96,3.87,17.42,3.19,5.8,4.21,2.73,3.53,2.05,2.16,-9.583333,-14.983333,-4.838889,0.0,-13.333333,74.166296
US_MN_27041,2020-01-10,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,3.8,4.03,2.42,4.6,4.6,3.68,,2.76,3.57,1.73,,9.9,,4.83,,3.34,4.72,3.8,1.84,3.34,2.99,1.73,,3.68,,4.95,18.3,3.8,1.73,2.99,1.73,,3.91,4.03,21.86,3.11,2.53,1.84,1.96,2.07,1.73,,-12.694444,-18.577778,-7.255556,0.0,-16.177778,75.207264
