location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MN_27069,2020-01-01,ChIJsVp-AFo6wVIRm-EAiHlPGak,Q486207,geoId/27069,US,United States of America,MN,Minnesota,27069,Kittson County,US,USA,2,,,,,,,4261,2148,2113,471,517,404,392,438,644,654,415,326,1740287,48.78,-96.78,2858,79.95,-8.544444,-13.772222,-1.0,0.036286,136.313333,-10.604167,86.371355
US_MN_27069,2020-01-02,ChIJsVp-AFo6wVIRm-EAiHlPGak,Q486207,geoId/27069,US,United States of America,MN,Minnesota,27069,Kittson County,US,USA,2,,,,,,,4261,2148,2113,471,517,404,392,438,644,654,415,326,1740287,48.78,-96.78,2858,79.95,-3.994444,-8.383333,-0.611111,1.0668,136.313333,-5.364198,90.425663
US_MN_27069,2020-01-03,ChIJsVp-AFo6wVIRm-EAiHlPGak,Q486207,geoId/27069,US,United States of America,MN,Minnesota,27069,Kittson County,US,USA,2,,,,,,,4261,2148,2113,471,517,404,392,438,644,654,415,326,1740287,48.78,-96.78,2858,79.95,-4.444444,-6.172222,-1.683333,0.0,136.313333,-6.111111,87.28596
US_MN_27069,2020-01-04,ChIJsVp-AFo6wVIRm-EAiHlPGak,Q486207,geoId/27069,US,United States of America,MN,Minnesota,27069,Kittson County,US,USA,2,,,,,,,4261,2148,2113,471,517,404,392,438,644,654,415,326,1740287,48.78,-96.78,2858,79.95,-5.972222,-9.161111,-2.877778,0.677333,136.313333,-7.444444,89.161028
US_MN_27069,2020-01-05,ChIJsVp-AFo6wVIRm-EAiHlPGak,Q486207,geoId/27069,US,United States of America,MN,Minnesota,27069,Kittson County,US,USA,2,,,,,,,4261,2148,2113,471,517,404,392,438,644,654,415,326,1740287,48.78,-96.78,2858,79.95,-3.016667,-7.105556,1.238889,0.141111,136.313333,-6.407407,77.407823
US_MN_27069,2020-01-06,ChIJsVp-AFo6wVIRm-EAiHlPGak,Q486207,geoId/27069,US,United States of America,MN,Minnesota,27069,Kittson County,US,USA,2,,,,,,,4261,2148,2113,471,517,404,392,438,644,654,415,326,1740287,48.78,-96.78,2858,79.95,-7.211111,-14.266667,-0.527778,0.0,132.926667,-10.185185,78.446322
US_MN_27069,2020-01-07,ChIJsVp-AFo6wVIRm-EAiHlPGak,Q486207,geoId/27069,US,United States of America,MN,Minnesota,27069,Kittson County,US,USA,2,,,,,,,4261,2148,2113,471,517,404,392,438,644,654,415,326,1740287,48.78,-96.78,2858,79.95,-11.227778,-17.7,-1.538889,0.0,136.313333,-15.901235,68.401348
US_MN_27069,2020-01-08,ChIJsVp-AFo6wVIRm-EAiHlPGak,Q486207,geoId/27069,US,United States of America,MN,Minnesota,27069,Kittson County,US,USA,2,,,,,,,4261,2148,2113,471,517,404,392,438,644,654,415,326,1740287,48.78,-96.78,2858,79.95,-22.083333,-28.277778,-16.627778,0.0,136.313333,-24.888889,75.939218
US_MN_27069,2020-01-09,ChIJsVp-AFo6wVIRm-EAiHlPGak,Q486207,geoId/27069,US,United States of America,MN,Minnesota,27069,Kittson County,US,USA,2,,,,,,,4261,2148,2113,471,517,404,392,438,644,654,415,326,1740287,48.78,-96.78,2858,79.95,-12.344444,-17.588889,-8.977778,0.8636,146.473333,-15.37037,78.114373
US_MN_27069,2020-01-10,ChIJsVp-AFo6wVIRm-EAiHlPGak,Q486207,geoId/27069,US,United States of America,MN,Minnesota,27069,Kittson County,US,USA,2,,,,,,,4261,2148,2113,471,517,404,392,438,644,654,415,326,1740287,48.78,-96.78,2858,79.95,-17.8,-22.416667,-10.333333,0.03175,139.7,-22.030864,69.495276
