location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29157,2020-01-01,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,,15.15,,32.09,4.388889,-2.477778,12.133333,0.0,,-2.933333,59.14929
US_MO_29157,2020-01-02,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,9.98,6.65,16.63,7.39,31.41,8.1,4.911111,10.966667,0.22225,,2.427778,67.484785
US_MO_29157,2020-01-03,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,8.1,18.41,7.36,23.19,7.988889,4.883333,10.2,4.3815,,7.427778,96.268476
US_MO_29157,2020-01-04,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,8.17,13.76,22.78,6.88,27.94,3.155556,0.4,6.072222,0.508,,-0.055556,79.552319
US_MO_29157,2020-01-05,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,7.67,12.78,16.19,,22.58,2.772222,-3.294444,12.583333,0.0,,-2.027778,70.933704
US_MO_29157,2020-01-06,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,6.95,18.67,,31.48,3.833333,-2.811111,10.055556,0.0,,-3.022222,61.118287
US_MO_29157,2020-01-07,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,8.48,5.77,16.28,,21.37,3.233333,-2.361111,9.788889,0.0,,-3.088889,63.46607
US_MO_29157,2020-01-08,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,6.9,6.55,18.62,,24.14,4.044444,-1.666667,9.544444,0.0,,-5.038889,51.980203
US_MO_29157,2020-01-09,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,5.02,5.69,15.41,5.69,27.8,8.511111,2.533333,13.761111,0.254,,0.472222,57.132406
US_MO_29157,2020-01-10,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,5.13,9.94,12.51,,24.05,13.144444,9.288889,14.977778,23.142222,,11.533333,90.122784
US_MO_29157,2020-01-11,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,10.51,13.04,,24.81,9.172222,1.883333,17.527778,57.629778,,8.15,93.381195
US_MO_29157,2020-01-12,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,,17.89,,30.79,0.177778,-1.755556,2.15,10.752667,,-1.516667,88.462521
US_MO_29157,2020-01-13,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,9.6,17.21,,27.47,2.388889,-0.094444,6.077778,0.0508,,0.577778,87.931525
US_MO_29157,2020-01-14,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,6.75,7.76,17.88,,23.61,5.083333,0.094444,11.65,0.0,,3.688889,90.758959
US_MO_29157,2020-01-15,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,6.79,14.26,,24.78,9.316667,3.183333,14.583333,0.0,,8.166667,92.57254
US_MO_29157,2020-01-16,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,9.03,12.37,,31.76,2.494444,-3.016667,12.038889,0.0,,-1.844444,73.151897
US_MO_29157,2020-01-17,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,8.27,15.87,5.62,19.84,-1.15,-3.016667,2.788889,0.6985,,-5.438889,72.799415
US_MO_29157,2020-01-18,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,8.62,9.48,,24.57,6.494444,0.755556,13.094444,22.013333,,3.566667,81.688473
US_MO_29157,2020-01-19,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,9.54,6.22,,22.82,-3.355556,-6.727778,2.488889,3.1496,,-11.388889,54.044126
US_MO_29157,2020-01-20,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,5.41,,16.55,,27.03,-6.888889,-8.855556,-3.272222,0.0,,-10.866667,73.381989
US_MO_29157,2020-01-21,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,7.41,13.85,20.61,4.83,29.3,-4.4,-8.211111,-0.027778,0.0,,-7.861111,76.868988
US_MO_29157,2020-01-22,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,5.73,11.8,14.83,,21.57,-2.744444,-6.277778,2.083333,0.0,,-6.577778,75.004259
US_MO_29157,2020-01-23,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,7.85,13.56,5.71,21.77,1.316667,-0.838889,3.772222,2.088444,,-1.455556,82.221662
US_MO_29157,2020-01-24,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,6.31,12.29,18.94,,25.59,2.366667,1.194444,3.888889,9.539111,,1.822222,96.220695
US_MO_29157,2020-01-25,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,6.59,10.11,21.54,,27.69,1.705556,0.655556,3.238889,1.143,,-0.733333,83.933989
US_MO_29157,2020-01-26,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,10.44,21.29,,25.88,1.838889,-3.088889,9.2,0.0,,-0.361111,85.419452
US_MO_29157,2020-01-27,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,16.21,20.43,,27.24,1.811111,-1.655556,6.688889,0.0,,0.411111,90.567224
US_MO_29157,2020-01-28,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,5.28,15.82,19.78,9.23,26.37,-0.605556,-1.688889,1.45,0.0,,-1.477778,93.914942
US_MO_29157,2020-01-29,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,7.31,19.37,21.93,7.67,27.77,0.255556,-0.855556,2.244444,0.73025,,-0.816667,92.606301
US_MO_29157,2020-01-30,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,24.55,20.9,5.31,26.87,1.305556,-0.077778,3.966667,0.903111,,0.011111,91.144771
US_MO_29157,2020-01-31,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,8.03,19.41,23.09,6.36,25.77,3.572222,1.7,6.544444,0.73025,,1.877778,88.748009
US_MO_29157,2020-02-01,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,26.87,30.77,,25.14,5.372222,2.377778,8.838889,0.2794,,1.844444,78.046892
US_MO_29157,2020-02-02,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,,14.06,19.33,7.47,24.61,8.905556,0.8,20.033333,0.0,,1.088889,58.608405
US_MO_29157,2020-02-03,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,,,,,12.71,14.05,18.73,5.02,27.43,12.216667,5.716667,19.088889,0.0,,5.638889,64.25124
