location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29201,2020-01-01,ChIJz0KWAH45eIgRh4StwsS0ARo,Q496980,geoId/29201,US,United States of America,MO,Missouri,29201,Scott County,US,USA,2,,,,,,,38576,18790,19786,5128,4904,4802,4571,4570,5235,4687,3011,1668,1180550,37.05,-89.57,1090,77.2,,,,,,5.6,14.92,5.33,8.79,9.06,4.53,4.8,,16.52,,10.39,6.39,4.8,4.53,6.93,5.6,4.8,4.26,5.6,6.93,28.25,6.13,6.13,4.53,5.06,5.86,42.1,4.0,4.8,8.79,,6.13,4.622222,-1.316667,11.872222,0.0,,-2.855556,58.524644
US_MO_29201,2020-01-02,ChIJz0KWAH45eIgRh4StwsS0ARo,Q496980,geoId/29201,US,United States of America,MO,Missouri,29201,Scott County,US,USA,2,,,,,,,38576,18790,19786,5128,4904,4802,4571,4570,5235,4687,3011,1668,1180550,37.05,-89.57,1090,77.2,,,,,,10.33,6.39,6.15,11.31,8.85,5.66,3.94,5.9,16.97,4.67,10.57,5.66,10.57,6.15,5.41,4.92,4.18,3.44,3.94,6.64,34.92,6.89,6.39,4.18,4.43,7.87,42.3,6.15,7.13,7.13,5.66,7.62,8.722222,6.161111,10.488889,0.689429,,2.994444,67.404302
US_MO_29201,2020-01-03,ChIJz0KWAH45eIgRh4StwsS0ARo,Q496980,geoId/29201,US,United States of America,MO,Missouri,29201,Scott County,US,USA,2,,,,,,,38576,18790,19786,5128,4904,4802,4571,4570,5235,4687,3011,1668,1180550,37.05,-89.57,1090,77.2,,,,,,5.36,9.01,5.11,9.98,7.06,7.06,7.55,4.38,17.77,,11.93,4.14,10.96,6.57,5.84,5.11,4.63,7.06,4.38,7.55,26.54,8.76,9.01,4.87,4.87,6.57,38.47,3.65,7.3,5.36,3.9,6.57,10.222222,7.872222,11.683333,9.49325,,9.594444,95.933177
US_MO_29201,2020-01-04,ChIJz0KWAH45eIgRh4StwsS0ARo,Q496980,geoId/29201,US,United States of America,MO,Missouri,29201,Scott County,US,USA,2,,,,,,,38576,18790,19786,5128,4904,4802,4571,4570,5235,4687,3011,1668,1180550,37.05,-89.57,1090,77.2,,,,,,7.91,12.65,6.06,10.81,4.22,6.33,5.01,3.69,16.87,,10.02,4.22,7.12,4.74,8.44,,,4.22,,6.06,23.46,9.49,10.28,4.22,3.69,7.91,43.49,4.74,6.33,7.12,5.01,5.8,4.366667,1.055556,8.416667,0.733778,,0.905556,78.370911
US_MO_29201,2020-01-05,ChIJz0KWAH45eIgRh4StwsS0ARo,Q496980,geoId/29201,US,United States of America,MO,Missouri,29201,Scott County,US,USA,2,,,,,,,38576,18790,19786,5128,4904,4802,4571,4570,5235,4687,3011,1668,1180550,37.05,-89.57,1090,77.2,,,,,,6.05,11.31,4.74,9.47,7.1,5.53,5.26,,14.99,4.74,7.89,4.74,9.21,5.53,3.95,5.79,6.58,4.21,,7.89,25.25,7.1,7.37,4.21,5.53,5.26,36.57,4.21,6.05,7.63,4.21,3.68,3.405556,-2.383333,13.033333,0.0,,-0.705556,74.588723
US_MO_29201,2020-01-06,ChIJz0KWAH45eIgRh4StwsS0ARo,Q496980,geoId/29201,US,United States of America,MO,Missouri,29201,Scott County,US,USA,2,,,,,,,38576,18790,19786,5128,4904,4802,4571,4570,5235,4687,3011,1668,1180550,37.05,-89.57,1090,77.2,,,,,,4.69,8.48,,8.93,8.03,3.57,8.03,5.36,16.29,,7.81,7.14,8.93,3.35,4.02,,3.79,5.58,3.79,7.81,29.46,4.69,6.47,3.79,,4.69,37.49,4.46,6.7,5.36,5.8,6.47,4.822222,-1.883333,10.516667,0.0,,-1.483333,63.797995
US_MO_29201,2020-01-07,ChIJz0KWAH45eIgRh4StwsS0ARo,Q496980,geoId/29201,US,United States of America,MO,Missouri,29201,Scott County,US,USA,2,,,,,,,38576,18790,19786,5128,4904,4802,4571,4570,5235,4687,3011,1668,1180550,37.05,-89.57,1090,77.2,,,,,,4.64,8.62,,11.72,9.95,5.08,6.19,5.08,15.47,4.42,9.51,6.85,7.96,,5.31,3.76,4.64,6.85,5.97,8.4,24.98,4.64,7.07,5.53,3.54,5.97,42.44,5.53,9.29,5.75,5.31,4.86,4.616667,-1.383333,10.716667,0.0,,-2.261111,61.155404
US_MO_29201,2020-01-08,ChIJz0KWAH45eIgRh4StwsS0ARo,Q496980,geoId/29201,US,United States of America,MO,Missouri,29201,Scott County,US,USA,2,,,,,,,38576,18790,19786,5128,4904,4802,4571,4570,5235,4687,3011,1668,1180550,37.05,-89.57,1090,77.2,,,,,,4.94,3.65,5.37,7.94,9.66,4.51,4.72,4.94,8.37,4.08,4.94,4.29,10.09,5.79,,,4.72,4.72,3.86,9.44,28.76,7.51,9.44,3.86,4.08,6.65,36.27,,9.44,3.86,5.15,6.87,5.083333,-1.477778,11.661111,0.0,,-3.016667,56.135759
US_MO_29201,2020-01-09,ChIJz0KWAH45eIgRh4StwsS0ARo,Q496980,geoId/29201,US,United States of America,MO,Missouri,29201,Scott County,US,USA,2,,,,,,,38576,18790,19786,5128,4904,4802,4571,4570,5235,4687,3011,1668,1180550,37.05,-89.57,1090,77.2,,,,,,6.11,7.58,,8.43,6.32,6.53,4.84,5.05,12.22,4.42,8.43,,9.48,4.0,2.95,,,4.0,4.21,9.69,22.75,4.42,6.74,3.58,,5.69,32.44,3.37,7.79,6.11,5.27,5.27,9.038889,3.2,14.6,0.036286,,0.511111,55.501241
US_MO_29201,2020-01-10,ChIJz0KWAH45eIgRh4StwsS0ARo,Q496980,geoId/29201,US,United States of America,MO,Missouri,29201,Scott County,US,USA,2,,,,,,,38576,18790,19786,5128,4904,4802,4571,4570,5235,4687,3011,1668,1180550,37.05,-89.57,1090,77.2,,,,,,4.3,7.37,5.12,8.59,4.71,4.91,4.71,,7.77,4.71,4.5,5.12,7.77,4.3,4.09,,3.48,,,4.09,25.98,4.5,6.96,6.14,4.5,3.07,31.51,5.52,8.18,5.73,4.5,4.5,14.305556,11.305556,16.133333,14.50975,,11.111111,81.346919
