location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29221,2020-01-01,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,12.25,17.76,13.47,33.06,,45.31,,4.530864,-3.080247,13.561728,0.0,,-3.930556,53.906198
US_MO_29221,2020-01-02,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,11.03,13.93,9.29,29.61,11.61,40.64,10.45,7.962963,2.858025,12.635802,0.0,,1.055556,61.686515
US_MO_29221,2020-01-03,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,10.16,,14.68,10.16,31.05,10.73,46.85,9.03,6.216049,3.049383,10.17284,0.03175,,4.8125,91.217838
US_MO_29221,2020-01-04,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,10.23,16.25,,31.3,,33.7,,2.487654,0.148148,6.055556,0.0,,-1.208333,76.156314
US_MO_29221,2020-01-05,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,10.05,10.68,9.43,10.05,25.76,11.31,40.85,,2.561728,-3.833333,12.604938,0.0,,-3.743056,63.088003
US_MO_29221,2020-01-06,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,7.47,10.95,14.44,12.95,25.39,7.97,38.84,11.45,3.024691,-4.388889,10.771605,0.0,,-4.819444,55.335305
US_MO_29221,2020-01-07,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,9.01,9.91,17.56,19.82,,33.78,,3.345679,-2.154321,9.438272,0.0,,-4.465278,56.731148
US_MO_29221,2020-01-08,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,8.41,11.51,11.07,20.8,,37.62,,3.617284,-2.685185,9.401235,0.0,,-6.861111,46.537801
US_MO_29221,2020-01-09,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,8.88,10.99,10.57,22.84,,27.91,,9.08642,3.518519,13.216049,0.22225,,0.590278,55.692896
US_MO_29221,2020-01-10,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,5.99,6.39,9.98,19.96,7.18,29.54,7.18,13.166667,9.080247,15.679012,21.3995,30.48,12.236111,94.573113
US_MO_29221,2020-01-11,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,10.63,16.53,9.45,23.62,,41.92,8.86,5.740741,-0.851852,16.049383,65.56375,30.48,5.090278,94.296305
US_MO_29221,2020-01-12,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,,,,23.33,,43.68,13.16,-2.475309,-4.154321,-0.098765,11.77925,50.8,-3.729167,89.145802
US_MO_29221,2020-01-13,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,10.25,9.8,8.91,28.08,,30.75,14.71,0.777778,-1.233333,3.511111,0.0508,30.48,-0.631944,90.630901
US_MO_29221,2020-01-14,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,9.0,10.35,6.75,25.64,,34.64,12.14,4.45,-0.394444,11.255556,0.0,50.8,3.090278,89.73935
US_MO_29221,2020-01-15,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,7.51,6.63,13.25,24.74,,36.67,,8.855556,3.022222,14.538889,0.0254,,7.12963,89.767937
US_MO_29221,2020-01-16,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,8.51,,8.09,7.66,22.14,,33.63,,0.183333,-5.061111,11.344444,0.0,,-5.228395,68.30404
US_MO_29221,2020-01-17,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,,,,28.51,,33.44,,-2.183333,-3.933333,0.966667,0.6985,,-6.419753,73.241295
US_MO_29221,2020-01-18,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,9.22,9.79,,33.41,13.25,36.87,,4.083333,-0.983333,10.616667,32.35325,,1.493827,83.947582
US_MO_29221,2020-01-19,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,9.45,,10.63,24.8,,43.11,,-5.327778,-9.366667,0.155556,0.889,,-13.290123,54.313875
US_MO_29221,2020-01-20,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,9.91,10.46,9.91,14.86,25.32,9.91,46.78,9.91,-7.977778,-10.1,-4.477778,0.0,,-11.876543,72.78712
US_MO_29221,2020-01-21,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,10.01,20.61,12.37,35.92,9.42,57.12,15.31,-5.172222,-8.822222,0.805556,0.141111,,-8.493827,76.966213
US_MO_29221,2020-01-22,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,7.58,6.32,10.11,,23.6,8.01,37.08,9.69,-2.077778,-5.394444,2.116667,0.056444,,-6.864198,69.593907
US_MO_29221,2020-01-23,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,,8.78,12.07,10.43,29.09,8.23,42.81,9.33,0.488889,-1.227778,1.805556,3.640667,30.48,-0.925926,89.812067
US_MO_29221,2020-01-24,ChIJxzTasOWC2YcR5M2ywIWRMgA,Q496486,geoId/29221,US,United States of America,MO,Missouri,29221,Washington County,US,USA,2,,,,,,,24994,12849,12145,3048,3243,2873,3022,3354,3649,3124,1842,839,1180530,37.97,-90.88,762,74.24,,,,,9.66,8.52,25.56,13.06,34.08,,40.33,9.09,0.977778,0.133333,2.277778,8.099778,30.48,0.401235,95.646017
