location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MS_28039,2020-01-01,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,14.5,22.1,25.55,20.03,49.03,10.061728,5.54321,15.808642,0.0,2.648148,64.882321
US_MS_28039,2020-01-02,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,18.58,16.66,24.98,11.53,37.79,17.901235,13.851852,21.802469,2.370667,15.12037,84.081906
US_MS_28039,2020-01-03,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,13.91,17.7,18.34,11.38,51.21,18.839506,16.0,22.030864,18.739556,17.425926,92.656301
US_MS_28039,2020-01-04,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,11.56,17.01,33.33,,52.38,15.450617,13.049383,18.432099,10.978444,9.537037,70.292351
US_MS_28039,2020-01-05,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,,14.5,23.47,10.36,46.94,8.981481,3.253086,15.67284,0.0,1.481481,64.534091
US_MS_28039,2020-01-06,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,17.39,16.72,28.76,,44.14,12.277778,6.240741,19.518519,0.0,6.935185,74.20393
US_MS_28039,2020-01-07,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,12.96,16.91,32.68,,33.81,14.820988,11.111111,18.574074,0.0,5.12037,54.549714
US_MS_28039,2020-01-08,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,13.09,14.72,33.26,10.9,40.9,9.580247,2.469136,17.808642,0.0,-0.166667,55.893418
US_MS_28039,2020-01-09,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,,10.93,24.59,,42.62,12.759259,6.141975,20.382716,0.0,7.685185,77.666314
US_MS_28039,2020-01-10,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,11.33,16.99,27.29,,33.98,19.030864,17.512346,21.055556,0.028222,16.5,85.371923
US_MS_28039,2020-01-11,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,,12.28,17.45,,42.64,20.160494,16.987654,22.030864,9.426222,18.712963,91.114076
US_MS_28039,2020-01-12,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,10.54,23.18,25.29,,52.68,14.524691,11.506173,18.697531,11.909778,12.027778,90.423798
US_MS_28039,2020-01-13,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,9.88,12.99,35.34,,38.98,17.808642,15.765432,20.654321,0.056444,16.425926,91.939092
US_MS_28039,2020-01-14,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,12.0,,35.42,13.71,41.14,20.783951,18.117284,23.882716,3.048,19.842593,93.962484
US_MS_28039,2020-01-15,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,10.14,15.78,30.43,,36.63,19.333333,16.635802,23.401235,0.508,17.861111,91.548831
US_MS_28039,2020-01-16,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,12.09,14.0,37.54,,47.72,19.909722,17.854167,24.076389,0.0,18.655556,92.226482
US_MS_28039,2020-01-17,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,13.04,15.52,31.66,11.17,45.32,16.123457,13.160494,19.790123,0.084667,7.935185,60.15786
US_MS_28039,2020-01-18,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,,15.06,22.26,9.82,45.18,18.888889,17.018519,21.246914,0.028222,15.574074,81.00324
US_MS_28039,2020-01-19,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,15.14,,39.23,,50.93,14.314815,8.623457,19.598765,4.007556,5.601852,57.352529
US_MS_28039,2020-01-20,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,21.39,24.73,50.13,,48.79,6.197531,2.12963,10.530864,0.254,-5.648148,44.598327
US_MS_28039,2020-01-21,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,13.95,21.43,23.92,10.46,42.36,3.283951,-1.006173,8.259259,0.0,-5.953704,53.17269
US_MS_28039,2020-01-22,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,,21.68,22.21,7.93,42.31,4.537037,0.12963,10.82716,0.0,-4.796296,54.211439
US_MS_28039,2020-01-23,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,19.09,15.07,30.65,10.55,41.2,10.592593,6.783951,14.450617,0.028222,3.703704,64.495963
US_MS_28039,2020-01-24,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,9.13,21.48,46.18,9.13,40.81,13.709877,9.567901,18.790123,1.778,7.814815,69.451536
US_MS_28039,2020-01-25,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,,30.34,55.62,12.28,58.5,9.950617,3.222222,17.08642,0.0,2.472222,64.462484
US_MS_28039,2020-01-26,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,13.61,24.62,34.34,,51.83,10.185185,6.641975,12.882716,1.721556,7.333333,87.985158
US_MS_28039,2020-01-27,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,13.54,27.08,38.27,14.72,42.98,11.851852,10.024691,14.425926,6.519333,9.574074,88.119965
US_MS_28039,2020-01-28,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,11.82,29.83,34.9,9.57,47.28,10.37037,4.709877,17.685185,0.0,5.740741,78.350624
