location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28085,2020-01-01,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,7.56,9.83,,,13.99,8.69,9.07,17.39,,9.83,39.69,,,6.37037,1.117284,14.098765,0.0,,1.074074,69.018252
US_MS_28085,2020-01-02,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,8.62,9.29,8.29,,14.26,9.29,8.62,27.52,5.64,10.94,34.16,10.28,,15.006173,10.234568,21.604938,15.820571,,12.364198,84.304234
US_MS_28085,2020-01-03,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,8.32,12.16,7.04,,13.45,8.64,,26.89,,7.68,35.21,6.4,7.04,16.074074,13.679012,20.58642,67.818,,14.944444,93.119957
US_MS_28085,2020-01-04,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,6.47,8.63,9.35,,11.86,7.91,5.75,24.08,7.91,10.78,38.1,6.11,9.71,12.765432,7.987654,15.987654,5.023556,,7.351852,69.749693
US_MS_28085,2020-01-05,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,13.07,13.82,,8.59,19.79,10.83,,20.17,7.47,6.35,45.56,7.47,,7.604938,0.296296,18.648148,0.028222,,2.080247,68.1598
US_MS_28085,2020-01-06,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,8.26,13.33,8.57,,9.52,8.89,10.79,23.18,5.71,10.79,42.23,7.62,5.71,12.37037,4.049383,21.296296,0.0,,7.425926,71.93815
US_MS_28085,2020-01-07,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,,11.52,6.97,,11.21,8.18,7.27,19.09,8.18,6.36,33.33,5.15,7.58,12.95679,7.376543,17.975309,0.0,,4.549383,56.777771
US_MS_28085,2020-01-08,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,6.97,6.97,,5.81,10.17,9.29,,33.69,9.29,6.68,31.66,11.33,4.94,7.45679,-0.858025,18.765432,0.0,,-0.907407,55.587689
US_MS_28085,2020-01-09,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,12.25,10.79,14.3,5.54,9.34,7.0,9.34,27.13,7.0,4.08,34.72,7.59,7.59,11.574074,4.271605,21.388889,0.0,,5.765432,67.821985
US_MS_28085,2020-01-10,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,5.2,6.07,4.63,4.63,10.99,9.83,7.52,18.79,,6.07,34.12,6.07,4.63,19.117284,17.617284,21.259259,0.036286,,16.685185,85.991555
US_MS_28085,2020-01-11,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,9.27,12.48,8.2,,16.4,8.91,6.77,18.89,,8.2,33.51,,,20.364198,14.314815,23.302469,5.842,,18.166667,87.387584
US_MS_28085,2020-01-12,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,10.35,9.2,9.59,7.29,14.19,6.9,8.82,23.77,,6.9,38.35,9.59,,9.41358,6.024691,16.061728,25.964444,,6.555556,82.588154
