location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MS_28147,2020-01-01,ChIJ_Ws3ryGKJ4YRwSFYC4EWOAU,Q115419,geoId/28147,US,United States of America,MS,Mississippi,28147,Walthall County,US,USA,2,,,,,,,14505,6991,7514,1731,1965,1771,1681,1737,1842,1896,1158,724,1833661,31.14,-90.1,404,73.1,,,,,29.23,7.728395,1.95679,15.17284,0.0,2.154321,67.974945
US_MS_28147,2020-01-02,ChIJ_Ws3ryGKJ4YRwSFYC4EWOAU,Q115419,geoId/28147,US,United States of America,MS,Mississippi,28147,Walthall County,US,USA,2,,,,,,,14505,6991,7514,1731,1965,1771,1681,1737,1842,1896,1158,724,1833661,31.14,-90.1,404,73.1,,,,,42.69,17.302469,11.635802,23.814815,12.784667,14.944444,86.107036
US_MS_28147,2020-01-03,ChIJ_Ws3ryGKJ4YRwSFYC4EWOAU,Q115419,geoId/28147,US,United States of America,MS,Mississippi,28147,Walthall County,US,USA,2,,,,,,,14505,6991,7514,1731,1965,1771,1681,1737,1842,1896,1158,724,1833661,31.14,-90.1,404,73.1,,,,23.13,29.22,16.944444,14.777778,22.623457,16.002,15.87037,93.471807
US_MS_28147,2020-01-04,ChIJ_Ws3ryGKJ4YRwSFYC4EWOAU,Q115419,geoId/28147,US,United States of America,MS,Mississippi,28147,Walthall County,US,USA,2,,,,,,,14505,6991,7514,1731,1965,1771,1681,1737,1842,1896,1158,724,1833661,31.14,-90.1,404,73.1,,,,26.1,40.45,13.938272,10.537037,16.635802,12.22375,8.641975,70.592164
US_MS_28147,2020-01-05,ChIJ_Ws3ryGKJ4YRwSFYC4EWOAU,Q115419,geoId/28147,US,United States of America,MS,Mississippi,28147,Walthall County,US,USA,2,,,,,,,14505,6991,7514,1731,1965,1771,1681,1737,1842,1896,1158,724,1833661,31.14,-90.1,404,73.1,,,,,31.72,7.67284,0.240741,17.432099,0.028222,2.487654,69.917056
US_MS_28147,2020-01-06,ChIJ_Ws3ryGKJ4YRwSFYC4EWOAU,Q115419,geoId/28147,US,United States of America,MS,Mississippi,28147,Walthall County,US,USA,2,,,,,,,14505,6991,7514,1731,1965,1771,1681,1737,1842,1896,1158,724,1833661,31.14,-90.1,404,73.1,,,,30.17,38.79,11.611111,3.67284,21.148148,0.0,6.833333,72.565145
US_MS_28147,2020-01-07,ChIJ_Ws3ryGKJ4YRwSFYC4EWOAU,Q115419,geoId/28147,US,United States of America,MS,Mississippi,28147,Walthall County,US,USA,2,,,,,,,14505,6991,7514,1731,1965,1771,1681,1737,1842,1896,1158,724,1833661,31.14,-90.1,404,73.1,,,,,35.27,13.617284,9.512346,17.283951,0.0,5.481481,58.02132
US_MS_28147,2020-01-08,ChIJ_Ws3ryGKJ4YRwSFYC4EWOAU,Q115419,geoId/28147,US,United States of America,MS,Mississippi,28147,Walthall County,US,USA,2,,,,,,,14505,6991,7514,1731,1965,1771,1681,1737,1842,1896,1158,724,1833661,31.14,-90.1,404,73.1,,,,24.0,22.91,7.512346,-1.12963,18.111111,0.0,-0.382716,57.445978
US_MS_28147,2020-01-09,ChIJ_Ws3ryGKJ4YRwSFYC4EWOAU,Q115419,geoId/28147,US,United States of America,MS,Mississippi,28147,Walthall County,US,USA,2,,,,,,,14505,6991,7514,1731,1965,1771,1681,1737,1842,1896,1158,724,1833661,31.14,-90.1,404,73.1,,,,21.19,26.23,11.537037,4.17284,21.351852,0.0,7.506173,76.41918
US_MS_28147,2020-01-10,ChIJ_Ws3ryGKJ4YRwSFYC4EWOAU,Q115419,geoId/28147,US,United States of America,MS,Mississippi,28147,Walthall County,US,USA,2,,,,,,,14505,6991,7514,1731,1965,1771,1681,1737,1842,1896,1158,724,1833661,31.14,-90.1,404,73.1,,,,17.63,24.84,19.395062,17.833333,21.382716,0.0508,17.314815,87.875938
