location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28163,2020-01-01,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,16.45,11.75,18.22,,34.09,5.932099,1.216049,13.030864,0.0,,0.736111,68.356164
US_MS_28163,2020-01-02,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,11.27,17.71,26.29,9.12,34.88,12.876543,9.283951,18.67284,8.551333,,10.173611,83.539757
US_MS_28163,2020-01-03,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,,19.69,27.68,8.52,36.19,15.388889,13.376543,18.598765,74.887667,,14.333333,94.033253
US_MS_28163,2020-01-04,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,,16.91,20.29,,32.69,11.679012,6.506173,15.148148,2.878667,,6.111111,69.131074
US_MS_28163,2020-01-05,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,9.1,12.52,17.07,,33.57,7.240741,0.41358,18.148148,0.0,,2.048611,68.624832
US_MS_28163,2020-01-06,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,,18.98,22.23,13.01,37.41,11.802469,4.432099,20.54321,0.0,,7.645833,74.415093
US_MS_28163,2020-01-07,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,12.54,8.03,21.57,,30.1,11.580247,5.641975,16.969136,0.0,,3.618056,58.309174
US_MS_28163,2020-01-08,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,11.87,,24.68,,38.92,7.228395,-0.240741,17.975309,0.0,,-0.402778,57.537171
US_MS_28163,2020-01-09,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,13.05,7.25,21.75,,37.69,11.265432,4.037037,20.364198,0.0,,4.638889,62.081114
US_MS_28163,2020-01-10,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,,10.88,18.3,8.41,34.14,18.191358,16.530864,20.549383,0.0,,15.597222,83.945069
