location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NE_31039,2020-01-01,ChIJZcmBCVOikYcRmaPj1kfe4rw,Q484470,geoId/31039,US,United States of America,NE,Nebraska,31039,Cuming County,US,USA,2,,,,,,,8947,4488,4459,1126,1248,950,916,898,1239,1125,740,705,1425485,41.92,-96.79,1488,80.966667,,,20.46,27.68,-0.622222,-5.05,6.144444,0.0,30.48,-4.711111,73.916614
US_NE_31039,2020-01-02,ChIJZcmBCVOikYcRmaPj1kfe4rw,Q484470,geoId/31039,US,United States of America,NE,Nebraska,31039,Cuming County,US,USA,2,,,,,,,8947,4488,4459,1126,1248,950,916,898,1239,1125,740,705,1425485,41.92,-96.79,1488,80.966667,,,25.55,41.81,2.122222,-2.738889,5.066667,0.127,,-0.45,83.150597
US_NE_31039,2020-01-03,ChIJZcmBCVOikYcRmaPj1kfe4rw,Q484470,geoId/31039,US,United States of America,NE,Nebraska,31039,Cuming County,US,USA,2,,,,,,,8947,4488,4459,1126,1248,950,916,898,1239,1125,740,705,1425485,41.92,-96.79,1488,80.966667,,,20.34,33.49,-0.15,-4.233333,4.244444,0.0,,-2.8,82.42041
US_NE_31039,2020-01-04,ChIJZcmBCVOikYcRmaPj1kfe4rw,Q484470,geoId/31039,US,United States of America,NE,Nebraska,31039,Cuming County,US,USA,2,,,,,,,8947,4488,4459,1126,1248,950,916,898,1239,1125,740,705,1425485,41.92,-96.79,1488,80.966667,,,22.03,44.05,-1.305556,-7.683333,6.433333,0.042333,,-6.333333,68.852466
US_NE_31039,2020-01-05,ChIJZcmBCVOikYcRmaPj1kfe4rw,Q484470,geoId/31039,US,United States of America,NE,Nebraska,31039,Cuming County,US,USA,2,,,,,,,8947,4488,4459,1126,1248,950,916,898,1239,1125,740,705,1425485,41.92,-96.79,1488,80.966667,,,20.63,29.12,4.722222,-0.761111,7.666667,0.0,,-2.416667,60.041008
US_NE_31039,2020-01-06,ChIJZcmBCVOikYcRmaPj1kfe4rw,Q484470,geoId/31039,US,United States of America,NE,Nebraska,31039,Cuming County,US,USA,2,,,,,,,8947,4488,4459,1126,1248,950,916,898,1239,1125,740,705,1425485,41.92,-96.79,1488,80.966667,,,17.89,36.84,-0.05,-4.261111,6.25,0.0,,-3.866667,75.700165
US_NE_31039,2020-01-07,ChIJZcmBCVOikYcRmaPj1kfe4rw,Q484470,geoId/31039,US,United States of America,NE,Nebraska,31039,Cuming County,US,USA,2,,,,,,,8947,4488,4459,1126,1248,950,916,898,1239,1125,740,705,1425485,41.92,-96.79,1488,80.966667,,,25.55,32.17,0.75,-4.722222,7.622222,0.0762,,-3.972222,70.891954
US_NE_31039,2020-01-08,ChIJZcmBCVOikYcRmaPj1kfe4rw,Q484470,geoId/31039,US,United States of America,NE,Nebraska,31039,Cuming County,US,USA,2,,,,,,,8947,4488,4459,1126,1248,950,916,898,1239,1125,740,705,1425485,41.92,-96.79,1488,80.966667,,,26.54,39.81,-2.761111,-7.655556,4.205556,0.0,,-8.588889,64.396725
US_NE_31039,2020-01-09,ChIJZcmBCVOikYcRmaPj1kfe4rw,Q484470,geoId/31039,US,United States of America,NE,Nebraska,31039,Cuming County,US,USA,2,,,,,,,8947,4488,4459,1126,1248,950,916,898,1239,1125,740,705,1425485,41.92,-96.79,1488,80.966667,,,21.65,30.51,2.972222,-2.683333,5.9,0.0,,-3.35,63.478572
US_NE_31039,2020-01-10,ChIJZcmBCVOikYcRmaPj1kfe4rw,Q484470,geoId/31039,US,United States of America,NE,Nebraska,31039,Cuming County,US,USA,2,,,,,,,8947,4488,4459,1126,1248,950,916,898,1239,1125,740,705,1425485,41.92,-96.79,1488,80.966667,,,15.71,40.26,-3.538889,-8.772222,2.205556,0.211667,50.8,-6.533333,79.804903
