location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NH_33019,2020-01-01,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,4.79,7.18,4.99,9.77,9.57,6.18,3.39,3.19,7.58,3.59,3.59,,17.15,,9.77,3.59,3.99,9.37,4.99,,4.39,5.18,,4.79,2.79,,4.79,25.33,6.38,4.39,7.38,4.19,4.79,3.79,5.18,41.48,2.79,5.98,,6.98,,4.19,2.79,5.58,3.19,,0.383333,-2.95,2.405556,3.4798,139.7,-3.088889,77.57148
US_NH_33019,2020-01-02,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,5.28,6.6,5.28,9.61,7.92,5.84,,5.84,6.41,4.9,4.15,3.58,18.47,,10.74,,4.71,8.67,6.6,3.2,5.46,4.9,3.2,3.39,3.96,,7.73,22.24,4.71,3.39,6.6,4.15,3.77,,5.84,36.75,3.77,6.41,3.39,5.84,2.83,3.77,,3.58,3.77,3.2,-0.011111,-4.572222,4.644444,0.4064,124.46,-4.366667,72.614406
US_NH_33019,2020-01-03,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,4.3,6.54,4.3,10.65,7.29,4.86,2.99,2.62,4.49,3.55,5.98,,17.57,3.92,11.03,,5.23,8.6,4.3,,5.23,3.92,5.42,3.92,5.04,2.8,5.42,21.3,6.54,4.49,6.35,2.99,,,6.54,37.93,4.49,8.04,3.18,3.74,3.18,4.11,2.99,4.67,3.18,,1.822222,-4.644444,5.661111,0.0,114.3,-1.183333,80.978426
US_NH_33019,2020-01-04,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,4.37,3.77,4.77,6.56,9.74,6.36,4.97,2.98,,4.57,3.58,3.97,,16.09,6.56,9.94,2.78,8.15,6.56,5.37,,5.96,4.57,4.37,6.95,2.98,,7.95,19.07,6.76,,7.55,,,3.38,6.36,38.15,3.18,3.97,3.38,6.95,4.37,,,3.77,,,1.838889,-1.161111,5.483333,1.4478,100.33,0.972222,94.01428
US_NH_33019,2020-01-05,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,4.11,9.87,5.96,8.84,7.19,6.99,,3.29,5.55,,6.78,3.08,18.91,4.11,8.43,,5.55,9.04,6.37,2.88,6.17,,7.4,4.73,3.9,,4.93,20.97,6.58,5.75,5.75,,3.7,5.34,4.32,38.03,,4.73,,7.4,3.08,5.96,5.14,,,3.49,-0.105556,-3.094444,3.388889,3.9878,100.33,-3.494444,78.223952
US_NH_33019,2020-01-06,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,5.21,8.68,3.86,7.91,6.75,5.98,,5.4,6.75,,6.17,2.7,14.47,3.67,6.56,2.7,5.21,5.98,3.28,,6.56,4.24,2.7,3.47,3.09,3.09,8.68,22.38,6.94,5.01,3.28,4.24,3.86,3.86,5.98,36.65,4.82,4.44,2.7,7.91,3.67,3.86,2.7,,,,-4.8,-8.677778,1.344444,0.536222,100.33,-7.738889,80.050838
US_NH_33019,2020-01-07,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,3.66,5.97,3.85,7.89,11.55,5.2,,4.04,7.7,3.66,7.12,,10.78,,6.55,,7.89,6.74,5.58,,5.97,4.81,3.47,2.89,4.24,3.08,8.47,22.53,8.47,2.89,3.47,3.85,4.43,7.51,6.93,43.33,4.24,5.78,,5.39,4.04,5.39,,,3.27,,-1.7,-8.677778,2.094444,0.479778,100.33,-6.505556,70.003729
US_NH_33019,2020-01-08,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,4.85,6.4,3.69,11.06,9.9,5.04,4.66,6.01,6.01,5.43,5.04,3.49,14.75,,8.54,5.24,4.66,11.84,3.69,,6.4,3.88,4.27,4.27,,3.3,4.08,24.26,8.15,4.08,6.6,2.72,6.21,6.01,7.76,43.85,4.66,6.4,4.27,7.57,6.4,5.04,,3.49,3.69,4.08,-1.216667,-5.827778,2.944444,0.141111,100.33,-5.122222,75.012169
US_NH_33019,2020-01-09,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,3.87,9.1,5.03,7.94,8.91,5.81,2.9,6.39,6.0,4.07,2.71,3.87,14.33,,8.71,,7.55,7.16,3.48,2.9,3.68,3.68,3.68,,4.65,3.29,7.94,21.68,6.39,4.84,8.32,,4.26,3.68,6.2,36.01,4.65,8.91,,6.78,5.23,4.65,,,4.65,,-7.355556,-12.072222,2.944444,0.479778,100.33,-15.616667,52.071962
US_NH_33019,2020-01-10,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,4.2,6.31,4.97,8.22,5.54,4.59,3.06,5.54,,3.44,6.12,,12.42,3.44,7.07,3.25,5.35,7.64,4.59,5.16,4.59,4.01,4.59,2.67,2.87,3.25,5.35,23.89,7.45,3.25,5.73,,4.97,4.39,6.12,34.02,3.44,7.83,3.25,4.39,2.67,,,3.63,3.44,3.06,-3.044444,-12.105556,4.177778,0.028222,115.57,-8.205556,67.669387
