location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NM_35035,2020-01-01,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,2.25,6.16,8.42,7.82,10.22,,8.12,4.36,,5.26,5.41,5.86,3.61,2.86,,2.71,17.43,4.96,11.42,3.61,,4.96,,6.91,4.36,2.25,2.25,4.81,3.76,3.61,4.21,6.46,,6.31,,2.71,6.91,23.6,5.71,4.81,6.61,,3.16,4.36,,3.76,4.21,38.03,3.31,,,3.16,5.86,3.46,3.16,2.1,6.16,3.16,4.96,3.31,5.56,2.56,,3.194444,-4.411111,13.683333,0.0,,-7.907407,42.985641
US_NM_35035,2020-01-02,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,1.96,4.75,8.81,4.33,10.91,,9.79,4.62,,2.52,6.01,4.05,2.66,3.78,2.1,3.08,22.93,3.92,13.42,2.8,2.52,5.31,2.52,8.39,5.73,3.78,2.24,4.33,6.85,2.52,4.33,4.2,1.96,5.31,3.22,4.47,9.37,28.81,5.03,2.66,6.71,,3.92,4.33,2.8,3.22,5.03,39.57,2.66,1.96,3.92,4.62,6.29,,4.75,,5.31,4.62,4.62,4.62,5.45,4.75,,6.144444,1.666667,10.822222,0.141111,,-2.395062,54.521532
US_NM_35035,2020-01-03,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,,4.37,9.44,4.79,9.86,,6.76,4.93,,3.94,4.23,3.94,2.4,3.94,,2.68,21.84,2.82,12.82,3.24,,2.96,2.25,7.89,3.1,2.11,3.24,4.93,4.93,2.11,3.38,5.07,,5.63,,3.38,7.33,27.19,5.35,2.96,6.2,3.52,3.66,4.37,,2.4,4.51,38.18,,,1.97,3.38,5.63,,2.4,3.66,5.49,4.08,4.37,2.82,3.66,3.8,2.25,2.394444,-3.366667,9.422222,0.6604,,-2.851852,68.072974
US_NM_35035,2020-01-04,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,2.96,4.88,9.17,5.62,10.35,,10.05,7.54,,2.22,5.77,5.32,,3.85,,2.96,20.85,4.14,12.57,6.21,,4.29,3.4,6.95,2.96,,4.29,4.58,6.51,,6.06,4.14,,3.7,,3.1,6.21,25.14,6.51,3.55,4.58,3.85,3.85,3.85,,2.96,3.85,40.22,2.07,2.07,4.29,3.99,5.32,2.96,,,4.29,3.4,5.32,2.37,4.29,2.22,4.14,3.416667,-3.933333,13.55,0.0254,,-6.685185,46.678266
US_NM_35035,2020-01-05,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,2.38,5.5,10.85,4.91,13.67,2.23,7.88,5.65,,2.53,5.5,4.01,3.72,3.72,2.23,3.86,25.27,4.16,15.46,3.42,2.08,4.16,2.08,8.92,,2.53,,4.61,6.24,2.23,2.97,5.2,2.53,6.54,,,5.8,24.52,4.91,2.08,8.03,3.12,3.42,4.91,2.53,,4.46,39.09,3.42,,4.61,4.46,5.05,4.16,3.42,2.67,3.57,4.91,4.91,3.42,2.82,4.01,2.82,5.416667,-3.166667,15.327778,0.0,,-5.685185,44.140517
US_NM_35035,2020-01-06,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,2.1,2.49,7.74,2.62,10.62,3.02,8.0,6.3,2.36,3.54,5.77,5.38,2.1,4.2,2.1,4.2,17.58,2.36,11.28,3.67,,4.46,3.02,10.36,5.25,2.36,3.41,5.12,4.59,1.84,3.8,4.72,,3.67,,3.8,8.79,26.63,5.77,5.9,7.08,2.23,2.89,3.94,1.97,3.28,7.21,41.58,,,2.49,2.62,6.82,3.02,2.36,3.8,4.99,5.25,4.46,3.67,3.67,,2.75,6.75,-0.744444,14.655556,0.0,,-8.209877,34.537546
US_NM_35035,2020-01-07,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,,5.42,7.48,4.38,8.51,3.1,6.06,4.77,2.19,3.87,6.19,4.9,1.81,4.38,2.97,2.58,15.09,2.58,9.54,3.35,,4.9,,10.19,4.13,3.35,2.84,4.64,3.35,2.32,5.42,4.0,,3.87,2.45,3.74,9.16,24.38,5.42,3.22,7.74,3.87,4.13,5.16,1.94,,4.77,35.21,,2.32,2.45,2.97,6.32,3.35,2.32,3.61,3.74,4.51,6.19,2.97,2.58,3.22,2.58,4.0,-4.35,13.894444,0.0,,-13.709877,25.924008
US_NM_35035,2020-01-08,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,1.95,3.77,7.79,6.49,11.17,3.25,6.88,5.46,,3.64,7.53,,,3.77,,2.86,18.83,3.77,13.25,,2.6,6.49,2.73,11.3,5.07,2.73,3.12,4.8,6.75,,3.25,5.2,,3.12,,2.08,7.53,40.26,4.29,3.77,8.18,4.8,4.93,2.34,,3.51,4.03,35.45,,,,4.8,14.94,3.25,2.73,,2.73,4.67,3.77,3.12,4.03,4.16,2.47,3.922222,-4.127778,15.838889,0.0,,-11.691358,30.428211
US_NM_35035,2020-01-09,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,,3.95,6.25,6.37,12.75,3.82,6.5,5.23,2.93,3.31,6.25,3.44,,5.61,,2.29,16.95,3.19,10.96,,2.42,4.46,3.19,8.67,3.57,2.04,2.42,6.25,3.7,2.04,,2.8,1.91,,,2.8,7.65,33.78,6.63,3.44,7.52,5.1,3.44,3.31,2.17,3.06,4.59,38.24,,,,3.57,14.15,2.8,2.8,1.91,5.1,4.97,3.44,2.17,3.19,3.31,2.17,9.45,0.288889,16.888889,0.0,,-7.882716,28.328423
US_NM_35035,2020-01-10,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,,3.14,7.78,2.26,9.79,,6.28,5.77,2.13,2.51,5.77,3.26,2.89,2.76,,3.14,14.44,2.51,9.41,3.77,,5.4,,6.53,4.77,,2.76,4.27,6.28,2.76,3.89,2.89,,2.76,2.13,2.76,4.77,25.1,3.52,2.76,4.52,2.89,3.52,3.77,2.38,,3.39,34.39,,,,3.77,10.04,2.13,3.26,2.38,4.27,2.76,3.64,2.38,1.88,3.14,,7.938889,2.65,15.055556,0.141111,,-6.012346,36.818078
