location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_autoimmune_disease,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_chest_pain,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_psychosis,search_trends_scar,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NY_36051,2020-01-01,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,2.54,5.76,6.16,4.82,9.24,2.68,8.17,5.49,,2.81,,6.16,3.35,1.88,4.02,,,3.48,,15.0,3.62,11.92,2.68,2.41,2.41,1.88,6.43,4.96,,1.88,2.41,5.22,2.95,4.15,5.76,3.08,2.54,3.48,,3.88,4.42,,22.64,6.83,2.01,6.83,2.28,3.75,3.08,,,5.62,34.96,3.35,1.88,,3.08,4.15,3.48,7.5,,2.95,2.01,,5.89,3.35,4.15,2.41,3.35,3.21,2.95,-0.988889,-2.011111,2.444444,0.620889,,-6.256944,70.464965
US_NY_36051,2020-01-02,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,2.03,5.14,9.33,5.68,10.01,3.25,9.47,4.6,2.3,3.25,1.89,4.19,3.38,,2.57,,,2.3,,20.69,3.25,12.98,2.98,,5.0,2.44,7.84,6.36,2.16,,3.65,4.87,4.33,2.71,4.33,3.52,,5.41,,4.19,7.03,2.03,28.68,6.76,2.71,8.39,,5.82,3.52,2.3,4.87,5.68,35.03,,2.16,,,2.71,4.33,6.22,2.44,2.3,2.84,2.71,5.28,4.6,3.79,3.65,4.33,3.52,2.57,2.05,-3.644444,7.861111,0.0508,,-5.326389,60.35264
US_NY_36051,2020-01-03,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,2.8,5.06,6.92,5.46,9.06,2.4,8.39,5.59,1.86,3.46,,4.79,3.06,2.66,4.26,,,2.93,,17.85,3.33,9.46,2.8,2.93,3.46,,7.06,4.93,,,2.66,5.06,5.99,,3.73,3.33,,4.39,,2.66,6.92,1.86,26.24,6.66,2.53,4.13,3.86,4.13,4.93,3.33,,5.33,36.89,,2.66,,2.26,2.53,3.33,5.46,2.66,2.13,3.33,3.06,5.59,3.2,3.86,,3.46,4.0,,5.738889,0.227778,7.938889,0.0,,1.895833,78.946077
US_NY_36051,2020-01-04,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,3.75,3.48,7.49,3.88,6.82,,5.89,4.82,,2.27,2.01,5.35,3.48,2.41,4.28,2.14,,2.94,,15.52,3.48,11.1,3.34,,4.01,2.41,6.96,3.48,,2.14,2.27,7.62,4.28,2.27,3.61,3.48,,3.48,1.87,2.94,5.22,2.27,20.6,6.82,3.75,5.75,2.81,4.15,4.55,4.55,2.54,5.22,37.19,2.94,2.01,,2.81,3.75,2.41,4.68,,3.61,2.67,2.01,5.22,4.41,5.08,2.54,2.67,3.08,,2.705556,-0.2,7.155556,2.229556,30.48,0.75,87.614243
US_NY_36051,2020-01-05,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,2.79,5.17,8.09,4.24,10.48,2.79,7.29,5.57,2.79,1.99,,5.17,3.32,2.39,4.78,,,2.12,,18.44,4.38,11.94,3.05,,4.11,3.85,8.09,5.84,2.12,,2.39,5.44,4.64,2.25,4.91,3.71,2.25,5.44,1.99,3.18,3.45,1.86,22.95,4.64,1.99,7.29,2.25,2.92,4.78,2.25,2.25,7.03,34.62,2.52,,,2.92,3.32,3.71,8.22,,2.25,,1.99,4.64,3.32,2.92,3.58,3.71,3.05,1.86,-0.233333,-1.222222,2.766667,2.370667,30.48,-4.743056,73.879102
US_NY_36051,2020-01-06,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,2.14,7.06,9.08,4.67,8.82,1.76,6.3,4.41,2.14,1.89,,4.67,2.27,,3.4,,,,2.14,13.99,3.53,9.58,3.03,,5.04,2.27,7.69,5.29,3.03,2.02,,4.92,4.92,2.02,4.41,4.16,,4.92,,4.41,6.81,2.14,22.82,5.42,4.92,5.8,4.16,6.56,5.17,1.89,2.65,4.79,40.22,,2.65,,,2.77,4.41,5.8,,2.4,3.53,,4.29,4.16,3.4,2.9,2.52,3.53,2.9,0.666667,-1.916667,2.8,1.636889,40.64,-4.236111,71.240004
US_NY_36051,2020-01-07,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,3.12,5.0,8.0,4.12,7.75,2.38,5.25,6.38,2.25,4.12,1.88,6.62,4.75,2.75,3.12,2.25,,3.62,1.75,16.25,2.88,8.25,1.88,2.62,3.25,1.88,7.5,5.12,2.0,2.0,2.38,4.12,3.5,2.62,4.0,2.75,,5.75,1.75,2.12,9.37,1.75,24.5,5.88,4.38,5.5,3.62,3.62,3.38,2.25,2.5,5.88,37.75,1.88,2.5,2.0,1.88,2.5,4.25,7.12,2.12,1.75,2.75,1.88,5.62,4.75,3.0,2.38,3.0,3.0,3.5,0.166667,-3.45,2.877778,0.3048,64.77,-5.743056,65.814491
US_NY_36051,2020-01-08,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,1.86,6.07,7.56,2.85,9.41,2.48,8.42,5.45,1.86,5.45,1.73,7.68,3.1,2.11,3.72,,,3.59,,12.39,3.47,8.42,4.21,,4.21,2.35,8.92,4.96,2.11,,2.23,5.82,2.85,3.1,5.33,3.22,,5.08,1.73,3.1,8.55,1.73,25.02,5.82,4.71,4.71,2.35,3.47,4.96,2.11,1.86,6.07,38.9,,,,1.98,2.73,5.08,6.44,,3.22,,2.35,5.58,4.71,4.96,2.35,3.35,4.09,2.97,-2.005556,-6.527778,1.222222,0.225778,80.01,-7.243056,70.461744
US_NY_36051,2020-01-09,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,2.39,5.41,4.53,4.78,7.67,,7.54,5.28,2.64,3.9,2.01,5.16,3.14,1.89,3.14,,1.76,2.26,,14.96,4.15,7.54,3.4,,3.77,,10.06,4.78,2.52,2.14,2.39,4.78,4.15,,3.77,,,4.15,,3.77,6.41,2.14,27.79,6.41,3.27,5.03,2.77,4.53,4.78,2.26,2.01,4.65,37.34,,,2.01,1.89,3.65,1.76,5.78,,2.52,2.26,3.4,4.53,4.53,3.4,2.52,1.89,4.02,2.26,-6.4,-9.777778,-0.477778,0.508,64.77,-13.576389,59.108567
US_NY_36051,2020-01-10,ChIJ6yynZsJk0YkR63qYbR_jxtU,Q487578,geoId/36051,US,United States of America,NY,New York,36051,Livingston County,US,USA,2,,,,,,,63483,31916,31567,5852,8674,9978,6734,7195,9600,8144,4568,2738,1837992,42.73,-77.77,1659,81.161538,,,,,,,3.15,7.57,5.8,8.58,2.4,5.68,5.3,2.52,3.53,,4.67,3.53,,3.66,1.77,,3.28,,15.27,2.52,8.07,2.65,2.15,4.29,,8.2,4.67,,,2.27,5.8,4.16,3.41,3.79,2.27,,5.05,2.52,4.67,6.94,2.65,22.58,5.3,3.66,5.42,2.4,3.91,3.66,3.66,,4.29,34.7,,,1.89,1.77,3.28,5.3,8.2,1.77,3.15,2.15,2.02,4.92,3.03,3.15,2.78,2.78,3.28,2.65,3.3,-5.138889,8.127778,0.479778,,-3.229167,64.79615
