location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NY_36095,2020-01-01,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,6.56,7.87,8.2,6.89,5.9,,11.48,11.48,4.92,7.54,8.53,6.23,6.23,4.92,,25.58,5.9,4.59,9.51,4.92,32.79,,,,,1.013889,-0.305556,3.111111,0.53975,,-4.230159,68.534345
US_NY_36095,2020-01-02,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,4.64,8.04,8.96,10.51,,6.49,8.96,7.42,,10.82,4.64,,4.64,6.8,,23.49,6.8,6.49,,5.25,36.16,4.33,7.11,4.64,7.73,1.394444,-3.788889,7.055556,0.0,,-4.87037,63.183117
US_NY_36095,2020-01-03,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,,9.42,6.28,5.65,,7.54,12.56,9.73,5.65,8.48,5.02,,,5.65,7.22,19.78,4.39,8.79,5.65,,36.1,,7.22,,,4.527778,-1.561111,7.25,0.0,,-0.592593,70.440713
US_NY_36095,2020-01-04,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,6.54,,10.27,8.4,4.67,,19.3,10.27,,8.09,7.16,5.29,8.4,5.29,7.16,17.12,5.91,4.98,,5.91,30.81,,,,,4.005556,1.95,6.727778,0.98425,,2.697531,92.501916
US_NY_36095,2020-01-05,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,6.92,6.92,9.12,5.98,5.03,5.03,18.24,11.01,4.72,9.12,,7.86,,,,23.28,5.03,7.55,,6.29,39.63,,,5.98,5.03,0.283333,-1.85,4.261111,5.11175,,-4.555556,71.311161
US_NY_36095,2020-01-06,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,6.47,,9.29,6.47,4.79,5.35,9.01,7.6,4.79,7.6,4.5,5.07,5.63,,8.73,19.99,5.35,7.32,6.19,,34.07,,3.94,5.35,,-1.238889,-4.844444,3.327778,0.254,30.48,-4.901235,77.103374
US_NY_36095,2020-01-07,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,6.21,6.77,6.49,7.62,,4.23,13.26,8.18,4.79,6.21,4.23,,3.95,4.51,10.15,24.26,5.08,5.64,,4.79,35.26,,,6.49,,0.116667,-4.944444,2.705556,0.2794,,-6.222222,62.413791
US_NY_36095,2020-01-08,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,,5.83,9.15,,4.99,,11.1,7.49,4.16,10.82,,3.88,,,6.38,30.79,,6.38,4.72,4.44,34.12,,6.38,6.93,4.72,-0.9,-4.388889,2.255556,0.0635,,-5.567901,71.439103
US_NY_36095,2020-01-09,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,5.2,6.06,7.8,6.06,4.91,,10.4,8.09,4.04,9.53,7.22,5.2,4.33,,6.35,30.9,6.35,5.2,,,29.74,,8.38,4.91,4.62,-7.283333,-11.9,0.222222,0.310444,,-15.549383,53.176938
US_NY_36095,2020-01-10,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,5.46,4.88,7.47,5.75,,,11.49,8.9,,8.62,5.17,4.31,4.02,,5.17,18.67,4.6,4.02,,,27.29,,7.47,4.31,,-0.366667,-8.822222,5.083333,0.0,,-6.617284,63.478349
