location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39051,2020-01-01,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,5.98,6.15,4.79,6.49,6.83,4.61,,4.27,3.25,,18.11,2.9,11.11,2.39,2.9,5.81,2.73,2.9,6.49,4.61,2.39,3.93,2.9,3.93,21.87,4.61,,7.01,,3.42,3.76,4.27,32.64,,6.15,,2.9,3.25,3.42,3.08,-0.916667,-3.333333,3.205556,0.381,,-5.311111,72.211708
US_OH_39051,2020-01-02,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,3.67,6.84,4.0,8.67,5.34,5.67,4.0,4.67,4.5,3.34,20.85,,7.67,2.5,3.67,8.01,3.84,3.0,6.84,4.17,3.5,4.34,3.84,,22.68,4.5,,4.84,,2.67,3.0,4.5,34.69,2.67,4.84,2.83,3.34,,4.67,,4.605556,-1.822222,9.622222,0.0,,-1.6,64.257581
US_OH_39051,2020-01-03,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,2.8,6.75,4.12,7.41,4.77,4.12,,4.77,3.29,,18.6,,13.99,3.29,3.29,6.09,5.1,4.61,6.25,3.13,2.47,3.13,4.77,6.25,23.05,6.75,2.31,5.27,,2.96,,3.62,30.78,3.29,4.94,5.1,2.96,3.62,2.96,,6.572222,2.433333,9.111111,0.2286,,4.066667,84.115578
US_OH_39051,2020-01-04,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,3.66,8.55,4.54,6.28,3.14,4.36,4.01,2.79,3.66,2.44,23.56,4.19,13.26,,,7.15,4.36,3.31,4.19,4.71,,4.19,2.44,5.58,23.21,4.01,3.49,7.85,,2.97,,3.49,29.14,3.84,8.38,3.66,,2.79,2.44,,2.316667,0.516667,6.677778,0.3175,,-0.433333,82.161065
US_OH_39051,2020-01-05,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,4.13,8.6,,6.36,4.47,5.67,,3.44,3.44,,18.05,3.44,8.77,3.27,4.99,6.53,5.85,3.96,5.16,3.44,2.58,4.3,,6.88,23.9,4.47,,5.33,,3.27,3.1,7.05,30.78,2.58,5.67,3.27,3.1,3.78,3.1,,0.094444,-1.061111,3.844444,0.03175,,-4.988889,68.762276
US_OH_39051,2020-01-06,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,4.22,3.62,2.41,8.29,7.84,3.47,3.92,4.98,3.47,3.47,15.98,2.11,9.2,3.47,2.71,9.8,4.67,4.07,3.17,3.17,3.62,4.07,2.11,3.77,23.22,3.92,2.56,4.22,3.62,,3.17,4.83,35.88,3.92,7.24,3.02,4.83,3.62,,2.56,2.877778,-0.794444,5.538889,0.0,,-3.466667,63.242961
US_OH_39051,2020-01-07,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,4.67,3.8,2.48,5.99,6.13,4.24,3.5,4.09,3.5,2.63,15.92,,8.32,2.63,4.38,5.99,4.67,3.94,4.24,,2.63,5.11,,5.11,19.57,3.94,2.48,5.26,2.19,3.36,4.24,4.82,30.82,2.48,4.67,2.77,2.48,2.77,,2.77,1.033333,-3.433333,5.988889,0.0,,-5.683333,61.071293
US_OH_39051,2020-01-08,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,5.41,6.29,4.09,9.36,5.85,4.83,,3.95,,3.51,14.92,2.19,7.31,2.63,3.8,7.02,4.83,2.92,4.97,3.07,2.78,2.34,3.36,6.0,23.98,4.53,,4.53,,2.49,3.22,3.36,28.52,3.95,8.63,3.07,,2.19,,3.07,-1.916667,-6.688889,4.788889,0.0,,-8.65,60.155321
US_OH_39051,2020-01-09,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,4.23,2.33,2.33,8.16,6.12,5.69,3.21,3.5,2.04,2.33,13.56,,5.83,2.33,3.35,6.42,4.08,2.77,3.5,2.33,,2.33,,4.08,28.29,5.1,2.77,4.96,,5.25,3.21,5.69,29.45,,9.77,4.96,3.65,2.19,3.35,,-2.338889,-8.311111,7.65,0.0,,-9.044444,60.183542
US_OH_39051,2020-01-10,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,3.24,3.98,4.57,8.11,4.57,3.39,,4.86,,2.06,14.44,3.39,6.34,,2.51,8.7,,5.31,,2.36,2.95,2.95,,5.45,19.6,3.98,2.21,4.72,,3.83,3.69,2.8,25.79,2.51,5.9,4.13,4.57,3.39,2.51,2.65,8.044444,5.744444,10.488889,4.543778,,4.894444,80.612096
US_OH_39051,2020-01-11,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,2.8,6.13,,8.76,8.93,3.85,2.63,3.5,2.63,,13.84,,7.88,,3.33,5.96,5.08,,3.85,,4.03,4.38,,4.38,22.59,4.03,,6.3,,,4.55,2.98,29.25,4.2,7.53,4.73,2.98,3.33,2.45,,10.016667,2.455556,14.916667,9.595556,,8.177778,88.467139
US_OH_39051,2020-01-12,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,3.83,8.71,,6.45,5.92,4.18,,5.92,5.57,3.31,14.63,,7.66,,4.01,8.19,2.44,2.79,4.01,3.31,,3.83,2.44,2.61,21.07,8.88,,4.88,,3.83,4.01,2.79,33.62,4.01,7.14,6.79,4.18,5.22,,,-0.5,-3.444444,2.5,22.606,,-3.044444,82.989531
