location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39091,2020-01-01,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,4.2,5.6,6.65,3.68,5.6,6.13,5.25,,,4.03,,3.15,,14.35,,7.53,3.33,3.68,,8.05,5.08,2.98,3.85,5.95,3.5,4.55,4.03,4.38,2.45,6.48,19.43,5.08,,5.78,4.03,2.98,4.9,,5.08,40.61,3.15,2.63,2.45,,4.55,2.8,2.98,2.63,3.68,2.63,2.63,1.355556,-0.794444,6.261111,0.127,,-2.861111,73.962908
US_OH_39091,2020-01-02,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,4.0,3.5,4.34,5.84,10.35,5.84,4.17,2.67,2.84,6.68,4.17,,2.34,16.36,,8.85,2.84,4.34,,8.01,5.84,2.67,3.84,3.17,,3.84,3.67,3.17,3.0,5.84,22.7,4.34,3.34,5.67,4.67,,3.0,3.17,6.01,34.71,3.84,6.01,,,4.67,3.84,4.34,2.5,3.17,3.34,,4.566667,0.194444,9.627778,0.0,,-1.616667,64.552431
US_OH_39091,2020-01-03,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,4.18,6.11,3.86,11.26,5.79,5.31,5.31,2.57,3.86,3.54,,5.31,16.24,4.34,7.88,2.41,3.38,2.9,7.24,5.79,2.41,4.5,3.7,,3.22,3.38,3.7,3.22,3.38,24.93,4.5,2.9,6.92,2.9,2.25,3.06,,4.99,38.6,3.38,7.56,,,3.22,4.83,4.99,3.06,2.9,2.9,,8.222222,4.933333,9.611111,9.906,,7.685185,95.586274
US_OH_39091,2020-01-04,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,3.26,7.56,,7.73,2.58,4.98,,3.78,5.15,3.95,2.4,2.58,17.69,3.44,9.45,3.61,2.75,,6.53,4.64,3.09,2.58,4.46,,2.75,2.75,3.61,4.29,4.29,22.67,8.07,,5.67,3.09,,4.12,,3.44,32.8,3.26,6.7,,,6.87,3.44,5.32,2.75,3.26,3.61,,3.783333,0.161111,8.516667,5.61975,,2.728395,91.715095
US_OH_39091,2020-01-05,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,5.87,10.02,3.45,7.94,5.7,4.49,,2.42,6.04,3.45,3.8,3.97,13.99,2.94,7.94,,3.97,,6.04,3.8,,7.43,3.63,2.76,4.14,3.28,5.01,2.59,4.83,23.49,3.8,3.97,6.04,2.76,3.63,4.14,,3.63,38.85,2.76,6.39,3.8,2.76,3.8,,4.14,2.76,3.11,2.59,2.76,0.705556,-1.427778,5.466667,0.254,,-3.074074,75.250501
US_OH_39091,2020-01-06,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,3.79,3.34,5.0,3.19,5.0,6.37,4.85,,,4.09,4.4,2.43,3.19,13.04,4.4,7.89,2.58,4.4,,6.52,4.09,3.19,6.98,5.76,,5.16,3.64,5.61,2.73,5.61,19.87,4.85,,7.58,,3.03,4.25,3.94,7.13,33.67,2.73,4.85,3.49,2.12,2.88,3.94,5.76,4.09,3.49,,,2.711111,-1.733333,5.738889,0.0,,-2.311111,69.965254
US_OH_39091,2020-01-07,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,2.41,3.17,4.97,2.71,8.44,6.93,4.37,2.71,2.26,4.37,4.97,2.11,,17.03,,8.59,2.26,4.82,2.71,6.93,4.37,3.47,3.17,4.52,2.71,3.92,2.86,5.58,2.71,5.12,19.89,4.97,3.77,8.44,,3.01,5.12,,6.03,34.66,3.01,5.12,,3.17,4.52,4.67,3.32,4.07,2.56,3.01,,1.111111,-3.522222,6.894444,0.0,,-4.7,65.535501
US_OH_39091,2020-01-08,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,3.94,5.91,4.85,7.87,6.06,5.91,2.12,2.57,4.69,4.24,2.88,3.33,13.02,2.73,5.0,2.42,3.94,3.18,8.33,,,6.06,4.54,,3.03,3.63,5.3,3.48,6.36,28.32,8.63,2.42,7.72,3.63,5.91,4.09,2.27,5.15,33.31,5.3,11.36,,4.24,4.85,4.24,3.33,2.42,2.27,2.27,,-0.372222,-4.472222,5.205556,0.0,,-6.566667,63.217031
US_OH_39091,2020-01-09,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,3.31,3.61,3.16,7.22,5.27,6.47,,4.36,4.66,3.61,,,13.54,2.86,8.73,2.71,4.06,,8.12,4.06,2.56,4.96,3.01,,3.16,3.16,3.91,2.71,7.07,26.63,5.42,,6.62,,3.61,4.51,2.86,5.57,36.41,5.57,10.38,,4.21,3.76,2.86,2.56,2.41,2.41,5.42,,-0.65,-6.466667,10.088889,0.2032,,-7.538889,59.9727
US_OH_39091,2020-01-10,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,6.15,4.39,4.25,8.93,5.12,3.22,,2.34,3.08,4.83,3.08,2.78,10.4,,6.74,,2.78,,5.86,3.81,3.08,,3.81,2.64,3.22,2.34,6.0,3.37,5.12,21.82,5.12,2.34,5.71,,3.08,4.54,,4.54,29.73,3.08,7.76,3.08,,5.71,2.34,2.93,2.78,2.93,2.05,,9.588889,6.822222,12.05,5.9055,,4.311111,69.982252
