location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39101,2020-01-01,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,,3.59,6.19,4.21,7.68,,4.95,2.85,,,4.09,1.86,,3.34,,,12.63,3.96,9.53,2.35,1.73,5.45,,9.53,2.85,,3.22,4.95,3.96,2.6,2.97,4.33,,6.19,1.73,2.6,2.85,18.32,7.06,,4.95,2.23,3.22,5.2,2.1,3.34,7.8,29.59,2.1,,2.97,2.85,4.58,1.73,,2.35,5.2,4.95,3.1,,3.96,2.23,2.48,0.814815,-1.425926,5.617284,0.592667,,-3.074074,75.645328
US_OH_39101,2020-01-02,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,,4.37,8.73,3.54,7.31,,9.2,5.54,3.19,1.89,5.78,4.48,,3.19,,2.83,16.75,3.66,8.26,3.54,2.36,4.6,2.83,8.38,3.89,2.01,2.6,3.19,4.13,2.83,2.95,2.01,,3.77,,2.36,8.61,24.77,5.78,2.83,6.37,2.48,4.96,4.6,2.95,2.83,5.66,37.4,2.01,1.77,2.01,2.24,5.66,,2.71,2.36,2.83,4.48,5.07,3.19,2.6,2.48,2.83,4.450617,-0.58642,9.54321,0.0,,-1.41358,65.959105
US_OH_39101,2020-01-03,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,3.15,4.43,7.7,5.25,8.64,,6.18,4.55,3.5,2.22,5.25,,,2.92,,2.1,16.57,3.85,9.92,2.57,2.22,3.73,,7.24,3.97,4.08,2.1,4.67,3.85,1.87,4.08,3.97,,4.43,,2.92,8.17,23.81,6.18,2.45,5.13,2.68,3.85,3.62,2.57,2.1,5.95,31.63,2.8,2.57,2.68,2.45,5.83,2.1,2.33,2.33,3.85,3.15,4.67,2.57,2.68,2.1,,8.135802,3.506173,9.679012,6.4135,,7.291667,93.556038
US_OH_39101,2020-01-04,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,1.84,3.31,4.04,4.17,7.47,2.33,6.98,4.53,,,4.9,3.31,,2.94,,,14.46,3.8,9.07,2.7,1.72,6.49,1.72,6.74,5.64,3.06,2.94,4.29,4.41,1.96,3.06,2.57,,3.68,,2.57,6.37,19.36,5.15,1.96,4.29,1.72,3.8,4.41,1.96,1.72,3.43,32.72,2.57,,,2.82,5.15,2.57,1.96,,2.94,4.04,3.55,,2.33,,,3.911111,0.072222,8.627778,4.7625,,2.740741,90.878584
US_OH_39101,2020-01-05,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,1.96,3.31,7.1,2.45,7.96,,6.37,2.45,,3.18,5.39,5.14,,2.45,1.96,2.57,14.7,1.96,8.57,2.33,2.21,4.04,,6.98,5.63,,,4.53,3.06,,4.16,2.57,,2.69,,4.41,5.51,22.29,3.8,2.94,6.12,2.21,2.21,2.45,2.21,,5.39,31.48,,1.72,1.72,3.31,5.88,2.82,2.69,3.06,5.39,4.16,3.43,3.55,,3.06,,0.394444,-1.338889,5.133333,0.3175,,-3.339506,75.624844
US_OH_39101,2020-01-06,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,2.38,4.99,6.69,3.86,9.07,,6.92,4.54,,2.72,4.76,3.52,1.93,3.97,1.59,2.95,14.29,2.15,7.14,2.83,2.27,5.1,1.93,7.49,3.63,,,6.24,4.31,2.38,3.86,3.18,,3.97,,4.42,8.39,22.23,4.42,3.18,5.9,3.06,3.74,3.4,3.63,2.61,5.9,35.61,2.04,,1.81,3.86,5.9,3.06,,3.18,5.44,4.08,3.63,1.93,3.06,2.5,,2.822222,-1.2,5.588889,0.0,,-2.205556,69.955701
US_OH_39101,2020-01-07,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,4.23,5.49,5.03,2.97,8.0,1.6,7.77,4.34,3.31,3.43,3.88,3.08,2.29,3.54,,2.97,14.4,2.97,7.77,2.86,2.74,4.68,2.63,8.69,3.66,2.86,1.6,5.6,3.77,,4.68,2.74,,4.57,,4.23,7.66,22.63,4.68,2.29,6.29,3.43,4.8,5.14,,2.63,9.83,35.2,1.83,1.71,,3.77,5.37,3.31,,2.97,5.49,3.66,4.23,2.74,2.51,3.2,2.17,1.244444,-3.35,6.872222,0.0,,-5.011111,63.426996
US_OH_39101,2020-01-08,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,2.27,4.98,7.14,3.96,7.02,1.7,7.02,4.76,1.59,2.38,4.87,3.62,1.93,1.81,1.93,3.06,14.72,3.4,7.48,2.72,3.17,4.64,,7.36,3.62,2.94,1.93,5.32,2.15,3.17,3.74,1.81,,3.74,2.72,3.17,7.14,29.0,3.96,3.62,6.0,3.17,3.85,4.3,1.7,2.38,7.7,34.66,3.62,,,2.83,9.52,3.06,1.81,2.83,5.66,4.3,4.76,2.04,2.04,3.51,2.27,-0.516667,-4.922222,5.183333,0.0,,-6.866667,62.460756
US_OH_39101,2020-01-09,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,2.63,4.58,6.53,2.29,8.82,1.72,9.05,5.73,2.86,4.47,4.12,4.01,1.83,3.78,1.83,3.09,13.05,3.32,7.79,2.18,,5.04,3.44,6.99,5.04,2.98,1.72,5.27,4.24,3.09,3.78,3.67,,6.3,,2.98,6.53,26.45,6.53,2.18,5.84,2.18,3.44,6.53,2.29,2.29,6.18,34.59,2.86,,,4.12,10.54,2.06,,2.63,4.92,3.55,3.78,2.98,2.86,2.52,2.98,-1.227778,-7.016667,9.15,0.0254,,-8.072222,59.989067
US_OH_39101,2020-01-10,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,2.25,3.83,5.07,1.8,8.45,,6.76,4.96,2.59,4.39,6.87,3.38,1.58,3.38,,1.69,10.59,3.15,7.66,2.59,3.04,4.39,2.7,7.55,2.03,2.14,1.92,5.41,2.48,1.58,2.82,4.17,2.14,4.17,1.69,2.03,7.55,21.29,4.39,2.37,7.1,,4.96,5.29,1.92,2.14,5.41,33.23,2.25,,1.58,3.6,7.55,1.92,2.14,1.92,4.73,3.72,5.86,4.17,2.48,2.14,,9.155556,6.588889,11.583333,6.985,,3.772222,69.472314
