location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39129,2020-01-01,ChIJD-qOANyBOIgRgTUvoniknd8,Q386271,geoId/39129,US,United States of America,OH,Ohio,39129,Pickaway County,US,USA,2,,,,,,,57740,30300,27440,6537,7421,7677,7676,8018,7950,6493,3826,2142,178392,39.64,-83.03,1313,75.6,,,,,,,4.45,7.67,2.1,7.54,2.47,5.44,4.33,,1.85,6.06,4.33,2.1,2.47,,2.6,12.61,2.72,7.3,2.72,2.72,3.46,1.73,6.92,4.2,2.1,2.72,3.71,2.47,2.47,4.33,3.83,5.32,2.97,4.2,18.05,3.46,2.84,4.08,2.23,2.47,4.08,2.1,2.23,3.96,32.77,1.73,2.1,4.95,1.73,2.84,4.45,3.83,3.96,2.1,2.97,2.6,,1.85,-0.066667,6.594444,0.0254,,-2.972222,70.477709
US_OH_39129,2020-01-02,ChIJD-qOANyBOIgRgTUvoniknd8,Q386271,geoId/39129,US,United States of America,OH,Ohio,39129,Pickaway County,US,USA,2,,,,,,,57740,30300,27440,6537,7421,7677,7676,8018,7950,6493,3826,2142,178392,39.64,-83.03,1313,75.6,,,,,,1.74,6.71,6.47,2.24,7.58,1.99,8.33,3.23,2.24,2.73,5.72,4.35,,2.36,,,17.41,2.98,10.07,2.61,3.23,3.23,2.49,5.97,4.72,1.99,3.36,4.23,3.23,2.36,5.22,5.47,4.1,2.49,7.21,22.88,1.86,2.49,5.59,3.11,3.48,4.48,,,4.35,33.2,2.11,5.1,4.97,2.61,1.99,3.48,2.98,4.35,2.86,2.73,3.48,2.61,3.938889,-0.261111,9.838889,0.0,,-1.777778,66.491842
US_OH_39129,2020-01-03,ChIJD-qOANyBOIgRgTUvoniknd8,Q386271,geoId/39129,US,United States of America,OH,Ohio,39129,Pickaway County,US,USA,2,,,,,,,57740,30300,27440,6537,7421,7677,7676,8018,7950,6493,3826,2142,178392,39.64,-83.03,1313,75.6,,,,,,,3.43,6.37,3.18,9.18,2.45,6.0,3.92,,,3.06,3.55,,3.55,1.96,,18.49,4.16,11.02,2.33,2.33,3.31,2.57,6.24,4.41,1.84,3.55,4.53,2.82,2.82,2.82,2.57,4.9,2.45,4.9,19.22,5.26,2.57,5.26,1.84,3.18,4.65,1.71,2.08,4.29,29.75,1.71,4.41,4.53,2.33,2.2,5.02,4.29,5.63,2.33,3.55,2.82,1.84,9.066667,3.916667,11.188889,13.208,,8.427778,95.855887
US_OH_39129,2020-01-04,ChIJD-qOANyBOIgRgTUvoniknd8,Q386271,geoId/39129,US,United States of America,OH,Ohio,39129,Pickaway County,US,USA,2,,,,,,,57740,30300,27440,6537,7421,7677,7676,8018,7950,6493,3826,2142,178392,39.64,-83.03,1313,75.6,,,,,,,3.82,6.04,2.34,7.64,,4.93,3.94,2.22,1.72,3.57,2.46,2.22,2.22,,2.09,14.9,2.83,8.25,,2.96,1.97,,5.42,3.45,1.97,3.69,4.8,4.93,3.08,2.96,2.83,4.8,1.97,4.07,20.32,5.54,2.34,4.8,2.46,2.71,4.43,,1.72,4.8,30.92,,2.46,4.43,,3.08,2.96,4.43,4.07,,2.22,2.71,2.46,4.955556,0.344444,10.305556,7.747,,3.755556,92.055677
US_OH_39129,2020-01-05,ChIJD-qOANyBOIgRgTUvoniknd8,Q386271,geoId/39129,US,United States of America,OH,Ohio,39129,Pickaway County,US,USA,2,,,,,,,57740,30300,27440,6537,7421,7677,7676,8018,7950,6493,3826,2142,178392,39.64,-83.03,1313,75.6,,,,,,,4.52,7.53,3.26,6.15,,6.27,3.77,2.01,2.26,4.77,2.51,,3.14,,2.01,11.8,3.51,5.4,2.13,2.26,4.52,1.76,5.9,3.14,,,5.14,3.14,2.13,2.51,3.14,3.77,2.01,3.89,17.69,5.14,3.64,5.27,2.89,2.89,3.89,1.76,2.26,5.02,28.36,,2.51,6.78,2.01,2.76,4.02,2.13,2.63,2.63,4.02,2.01,2.89,1.05,-0.816667,6.427778,0.620889,,-2.805556,75.577967
US_OH_39129,2020-01-06,ChIJD-qOANyBOIgRgTUvoniknd8,Q386271,geoId/39129,US,United States of America,OH,Ohio,39129,Pickaway County,US,USA,2,,,,,,,57740,30300,27440,6537,7421,7677,7676,8018,7950,6493,3826,2142,178392,39.64,-83.03,1313,75.6,,,,,,1.79,3.03,5.95,3.25,8.53,1.79,5.83,4.71,,3.59,5.83,2.47,1.79,3.14,,2.13,13.46,2.81,6.51,,,4.04,2.47,12.34,3.59,,,4.82,3.93,2.47,3.37,2.81,4.26,2.36,3.93,22.66,4.71,3.81,6.73,3.25,3.59,4.26,2.13,3.25,5.05,33.43,,6.06,6.17,3.03,3.7,4.15,5.5,4.49,3.03,4.26,2.69,,3.233333,-0.894444,6.161111,0.0,,-2.477778,66.311093
US_OH_39129,2020-01-07,ChIJD-qOANyBOIgRgTUvoniknd8,Q386271,geoId/39129,US,United States of America,OH,Ohio,39129,Pickaway County,US,USA,2,,,,,,,57740,30300,27440,6537,7421,7677,7676,8018,7950,6493,3826,2142,178392,39.64,-83.03,1313,75.6,,,,,,,4.76,5.86,2.65,6.86,2.54,6.2,4.76,2.1,3.98,4.32,3.76,2.54,2.21,,2.21,14.16,2.99,8.96,1.88,2.32,2.99,1.77,8.19,4.2,3.98,1.99,4.43,3.76,,3.1,2.77,4.2,1.55,5.31,20.36,4.2,3.54,5.97,1.99,3.76,4.32,2.32,,4.65,31.09,2.99,2.88,6.31,2.32,2.54,3.21,5.53,3.76,2.65,3.43,2.77,1.99,1.322222,-3.644444,8.466667,0.0,,-4.905556,63.379675
US_OH_39129,2020-01-08,ChIJD-qOANyBOIgRgTUvoniknd8,Q386271,geoId/39129,US,United States of America,OH,Ohio,39129,Pickaway County,US,USA,2,,,,,,,57740,30300,27440,6537,7421,7677,7676,8018,7950,6493,3826,2142,178392,39.64,-83.03,1313,75.6,,,,,,,4.07,5.6,2.75,6.81,1.98,5.16,2.64,1.98,2.75,4.29,1.65,1.54,2.2,,,12.53,2.64,8.02,2.97,2.09,2.86,2.09,7.8,4.29,1.87,2.53,3.41,3.96,2.53,1.65,2.31,3.74,1.65,7.03,22.85,5.27,3.08,5.16,,3.63,3.63,1.54,2.53,4.94,25.93,1.87,4.17,10.88,1.98,2.09,3.74,3.08,3.74,1.54,2.86,2.75,2.64,0.555556,-4.061111,5.638889,0.0,,-6.483333,59.433417
US_OH_39129,2020-01-09,ChIJD-qOANyBOIgRgTUvoniknd8,Q386271,geoId/39129,US,United States of America,OH,Ohio,39129,Pickaway County,US,USA,2,,,,,,,57740,30300,27440,6537,7421,7677,7676,8018,7950,6493,3826,2142,178392,39.64,-83.03,1313,75.6,,,,,,2.04,3.54,6.44,3.75,7.3,4.93,5.47,4.4,,2.04,3.54,3.65,,2.15,1.61,2.25,13.52,4.08,7.19,2.68,2.25,3.97,2.04,6.54,3.54,1.93,,5.36,4.83,2.47,3.54,3.0,3.65,3.97,6.12,23.39,4.72,3.11,3.33,1.72,3.22,2.68,,,3.11,27.79,1.82,3.97,8.05,1.82,1.5,3.86,2.68,3.33,2.04,2.68,,2.15,-0.327778,-6.405556,11.244444,0.2032,,-7.566667,58.340124
US_OH_39129,2020-01-10,ChIJD-qOANyBOIgRgTUvoniknd8,Q386271,geoId/39129,US,United States of America,OH,Ohio,39129,Pickaway County,US,USA,2,,,,,,,57740,30300,27440,6537,7421,7677,7676,8018,7950,6493,3826,2142,178392,39.64,-83.03,1313,75.6,,,,,,1.71,3.94,6.71,3.62,6.93,6.82,4.9,4.16,1.81,1.92,3.41,2.13,,,,2.24,9.8,2.13,5.86,2.02,2.45,2.56,1.49,7.46,2.77,2.13,1.81,3.73,4.05,2.35,2.35,2.88,3.41,3.09,5.12,20.04,3.73,,4.58,1.92,3.52,3.62,3.3,,3.84,28.46,,2.88,4.8,,3.73,5.54,3.52,3.3,1.71,,3.2,,9.894444,7.2,12.516667,3.01625,,4.0,66.948656
