location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39147,2020-01-01,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,,7.56,5.83,2.36,10.24,,6.46,2.68,,,4.1,4.1,3.94,3.31,,5.2,20.48,4.73,11.81,3.62,2.36,,6.93,5.36,,4.41,2.68,4.88,2.68,4.41,3.31,2.99,,5.2,23.79,5.36,2.52,8.03,2.52,2.99,4.1,2.21,3.15,5.83,33.87,2.21,,5.04,2.68,,4.41,4.41,2.68,2.83,3.94,,2.68,-0.333333,-2.455556,3.866667,0.508,,-4.583333,72.866521
US_OH_39147,2020-01-02,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,,5.09,8.8,3.4,11.27,,7.87,3.71,2.32,3.09,6.18,5.4,,3.09,,,20.38,3.09,11.43,3.4,4.17,2.62,8.8,4.32,,,4.01,5.09,2.62,2.78,2.16,5.25,,5.56,27.33,7.41,2.32,6.33,4.32,4.79,4.48,3.24,2.16,5.87,33.35,,4.17,5.56,,,5.71,3.86,4.48,2.16,3.4,3.09,,5.122222,0.283333,9.522222,0.0,,-1.423611,62.637984
US_OH_39147,2020-01-03,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,3.08,5.71,7.71,4.62,10.95,,8.17,3.39,,3.08,5.4,4.16,,2.47,,3.08,18.19,,10.95,,5.4,2.31,9.71,3.39,,2.93,4.32,3.85,,5.09,3.24,4.78,3.55,5.4,24.36,6.32,4.32,5.09,3.08,2.93,3.08,2.31,3.24,4.93,35.31,,2.77,4.47,3.24,,7.71,4.16,3.7,2.77,5.09,4.16,2.77,7.15,3.638889,8.827778,1.2192,,5.659722,88.752415
US_OH_39147,2020-01-04,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,3.23,4.84,6.62,3.39,9.85,2.42,6.62,3.39,2.42,3.71,4.2,3.71,,3.07,,2.74,19.53,5.65,9.52,3.07,4.2,,5.97,5.17,,3.07,6.78,3.55,5.17,5.65,5.81,3.87,2.58,5.49,20.34,6.62,2.58,7.91,2.26,5.0,2.74,,3.23,4.36,37.45,,4.52,7.26,,,4.84,2.74,5.17,2.26,2.74,3.07,2.42,2.866667,0.572222,6.483333,1.439333,,1.520833,89.941251
US_OH_39147,2020-01-05,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,4.26,4.73,6.47,4.73,10.89,2.37,6.94,4.73,,2.21,7.73,5.68,2.37,2.37,,,20.67,3.31,10.89,4.1,3.94,,7.89,5.37,,3.0,7.26,5.37,2.68,4.26,6.31,6.47,2.52,5.37,26.03,4.58,4.42,4.58,4.26,3.16,4.58,,2.84,6.63,38.18,,3.63,4.73,2.68,,3.79,4.26,3.94,3.63,3.63,3.16,3.0,0.366667,-0.866667,3.833333,0.4572,,-4.236111,71.20339
US_OH_39147,2020-01-06,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,2.75,6.8,5.94,2.17,7.38,,5.79,4.78,,,6.95,3.91,3.33,2.61,2.17,2.32,15.93,4.49,10.28,2.61,3.48,2.03,9.7,4.49,2.17,,5.07,2.61,2.61,3.48,3.19,5.36,2.61,6.66,25.34,5.07,2.46,7.67,3.33,3.04,4.05,2.03,2.75,5.79,38.08,2.17,2.61,6.52,2.9,2.32,4.49,4.92,5.21,3.48,3.19,3.33,2.32,3.322222,0.005556,5.444444,0.0,,-2.625,65.033352
US_OH_39147,2020-01-07,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,,5.68,5.82,3.46,8.86,,5.54,3.74,,2.49,4.99,2.63,2.22,4.16,2.49,2.49,16.06,3.19,9.28,3.74,4.85,,7.62,4.57,2.77,,5.96,3.32,2.91,5.12,2.91,3.05,3.6,4.57,20.91,5.68,,7.75,5.54,5.96,3.46,,2.35,5.82,34.21,,4.99,4.85,2.35,2.63,4.57,3.46,3.6,3.32,2.77,,,1.766667,-1.766667,6.066667,0.0,,-5.173611,60.360539
US_OH_39147,2020-01-08,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,,5.82,5.96,4.71,7.07,2.08,5.82,4.43,,2.49,5.4,3.74,,2.35,,,11.91,,9.14,3.46,4.02,,9.97,3.19,2.22,2.35,4.29,5.68,3.46,4.02,4.71,3.33,,4.16,24.52,5.68,2.63,8.17,3.88,4.71,4.85,,2.35,5.26,34.63,3.6,3.74,10.81,2.91,2.08,3.33,4.43,2.63,2.49,3.19,3.33,,-0.833333,-4.711111,4.816667,0.0,,-7.513889,60.984128
US_OH_39147,2020-01-09,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,2.37,4.59,7.24,5.29,10.02,2.64,7.1,5.01,,4.17,5.15,5.29,2.64,,3.34,2.78,14.89,2.09,7.24,2.37,4.87,2.09,8.91,3.34,,2.09,4.87,4.73,2.92,3.2,3.48,3.06,2.23,6.82,26.44,5.57,2.5,5.01,2.78,4.17,3.9,1.95,2.78,6.68,34.1,,5.57,11.69,2.23,2.09,4.17,4.87,3.76,2.78,3.06,2.5,,-1.422222,-6.638889,8.016667,0.0254,,-8.729167,57.399493
US_OH_39147,2020-01-10,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,,3.22,2.95,3.49,7.11,2.01,6.44,3.62,,3.89,2.68,4.02,2.82,,,3.22,10.99,3.22,6.57,,3.75,1.88,7.78,5.23,2.41,3.08,3.08,3.22,3.49,3.22,4.29,2.41,2.95,4.69,21.32,4.42,3.35,6.84,2.28,2.68,2.82,,2.01,3.62,28.83,2.01,3.62,7.51,,,4.42,5.09,3.35,2.68,2.55,2.55,,8.616667,6.461111,10.961111,3.894667,,5.041667,77.670227
