location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_transit_stations,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OR_41055,2020-01-01,ChIJtSLC5oeVvVQRVp1ajF7fzNw,Q303491,geoId/41055,US,United States of America,OR,Oregon,41055,Sherman County,US,USA,2,,,,,,,1735,887,848,175,188,152,190,189,268,252,189,132,1150095,45.41,-120.69,2153,81.7,,9.827778,2.961111,13.383333,3.753556,,4.537037,69.873147
US_OR_41055,2020-01-02,ChIJtSLC5oeVvVQRVp1ajF7fzNw,Q303491,geoId/41055,US,United States of America,OR,Oregon,41055,Sherman County,US,USA,2,,,,,,,1735,887,848,175,188,152,190,189,268,252,189,132,1150095,45.41,-120.69,2153,81.7,,7.011111,3.388889,12.166667,1.016,,1.024691,65.099472
US_OR_41055,2020-01-03,ChIJtSLC5oeVvVQRVp1ajF7fzNw,Q303491,geoId/41055,US,United States of America,OR,Oregon,41055,Sherman County,US,USA,2,,,,,,,1735,887,848,175,188,152,190,189,268,252,189,132,1150095,45.41,-120.69,2153,81.7,,7.027778,2.344444,13.122222,0.762,,0.851852,65.612015
US_OR_41055,2020-01-04,ChIJtSLC5oeVvVQRVp1ajF7fzNw,Q303491,geoId/41055,US,United States of America,OR,Oregon,41055,Sherman County,US,USA,2,,,,,,,1735,887,848,175,188,152,190,189,268,252,189,132,1150095,45.41,-120.69,2153,81.7,,7.827778,2.005556,13.777778,1.4478,,-0.487654,57.173361
US_OR_41055,2020-01-05,ChIJtSLC5oeVvVQRVp1ajF7fzNw,Q303491,geoId/41055,US,United States of America,OR,Oregon,41055,Sherman County,US,USA,2,,,,,,,1735,887,848,175,188,152,190,189,268,252,189,132,1150095,45.41,-120.69,2153,81.7,,4.511111,0.811111,10.883333,0.6985,,-0.950617,67.299933
US_OR_41055,2020-01-06,ChIJtSLC5oeVvVQRVp1ajF7fzNw,Q303491,geoId/41055,US,United States of America,OR,Oregon,41055,Sherman County,US,USA,2,,,,,,,1735,887,848,175,188,152,190,189,268,252,189,132,1150095,45.41,-120.69,2153,81.7,,6.111111,0.866667,12.633333,1.8288,,0.253086,66.219282
US_OR_41055,2020-01-07,ChIJtSLC5oeVvVQRVp1ajF7fzNw,Q303491,geoId/41055,US,United States of America,OR,Oregon,41055,Sherman County,US,USA,2,,,,,,,1735,887,848,175,188,152,190,189,268,252,189,132,1150095,45.41,-120.69,2153,81.7,,10.044444,3.933333,13.872222,0.889,,2.228395,58.535025
US_OR_41055,2020-01-08,ChIJtSLC5oeVvVQRVp1ajF7fzNw,Q303491,geoId/41055,US,United States of America,OR,Oregon,41055,Sherman County,US,USA,2,,,,,,,1735,887,848,175,188,152,190,189,268,252,189,132,1150095,45.41,-120.69,2153,81.7,,7.005556,2.833333,12.966667,1.975556,,1.104938,66.582653
US_OR_41055,2020-01-09,ChIJtSLC5oeVvVQRVp1ajF7fzNw,Q303491,geoId/41055,US,United States of America,OR,Oregon,41055,Sherman County,US,USA,2,,,,,,,1735,887,848,175,188,152,190,189,268,252,189,132,1150095,45.41,-120.69,2153,81.7,,2.416667,-2.494444,8.233333,1.862667,,-1.796296,73.347396
US_OR_41055,2020-01-10,ChIJtSLC5oeVvVQRVp1ajF7fzNw,Q303491,geoId/41055,US,United States of America,OR,Oregon,41055,Sherman County,US,USA,2,,,,,,,1735,887,848,175,188,152,190,189,268,252,189,132,1150095,45.41,-120.69,2153,81.7,,2.077778,-2.883333,7.927778,0.508,,-1.746914,75.442126
