location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_autoimmune_disease,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_chest_pain,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_panic_attack,search_trends_paresthesia,search_trends_perspiration,search_trends_psychosis,search_trends_scar,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_PA_42033,2020-01-01,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,3.6,5.91,12.46,4.11,12.08,,7.71,5.78,2.06,1.8,,4.88,4.62,2.18,2.57,2.7,2.06,3.08,2.31,16.83,3.85,10.15,4.24,2.18,6.04,2.7,8.61,6.42,2.57,2.96,2.06,5.27,5.4,3.21,4.24,4.11,,5.4,,3.73,6.17,3.21,24.92,9.12,,6.68,4.37,3.73,4.5,2.57,2.18,6.55,44.84,2.06,1.8,2.44,,,3.6,2.57,9.89,2.31,2.44,3.6,2.96,6.81,5.4,4.5,2.31,4.5,3.08,2.57,-0.955556,-2.466667,2.861111,0.762,-5.722222,70.265801
US_PA_42033,2020-01-02,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,3.26,5.73,6.74,4.38,9.89,2.7,8.09,6.85,3.93,2.02,,5.51,4.04,1.69,3.03,,1.91,3.26,2.47,15.73,4.94,12.59,3.6,3.71,5.73,2.25,9.33,4.94,1.57,2.58,2.92,5.17,3.82,3.03,4.27,4.04,2.02,5.62,2.36,3.26,8.99,2.58,27.98,8.31,2.81,7.64,2.58,5.06,5.62,3.26,2.7,5.73,39.66,,,1.57,2.02,2.81,3.03,5.51,7.75,2.47,1.91,2.47,2.81,6.07,5.62,5.51,2.7,3.15,2.7,2.02,1.988889,-3.5,7.916667,0.0762,-4.644444,61.929229
US_PA_42033,2020-01-03,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,3.35,6.82,9.72,5.59,15.2,1.9,8.83,6.04,3.02,3.91,2.12,7.26,7.04,3.46,3.35,2.68,,3.35,,17.55,2.91,10.62,4.13,2.35,3.8,2.91,10.06,5.25,,4.58,1.68,4.81,5.37,2.01,5.7,4.81,1.9,5.48,2.12,3.91,7.04,,30.4,8.16,3.13,6.37,4.81,3.91,7.38,2.35,2.79,7.82,43.81,2.46,2.91,2.46,2.68,1.9,2.46,5.37,9.39,1.9,3.24,3.58,2.79,6.15,5.7,5.48,3.8,3.58,4.58,2.23,7.65,3.222222,9.388889,1.651,5.461111,86.17256
US_PA_42033,2020-01-04,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,,6.98,6.2,4.14,20.94,2.84,7.24,7.37,,2.46,,6.46,5.04,2.84,3.49,,,2.58,2.58,18.09,3.88,11.63,3.49,3.23,4.78,2.2,10.08,5.3,1.81,,3.36,5.17,6.2,4.01,5.04,5.04,,3.75,,3.75,5.43,2.84,24.56,8.01,4.01,6.59,3.23,3.88,4.39,2.97,1.94,8.53,41.88,,,2.07,,1.81,3.36,2.71,19.9,1.81,3.36,2.07,2.58,6.46,5.3,4.26,2.58,3.49,2.97,,6.988889,2.694444,10.15,5.74675,5.594444,90.916042
US_PA_42033,2020-01-05,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,2.19,6.7,6.83,2.58,15.85,2.06,7.73,6.05,1.8,4.38,,7.47,3.99,3.22,6.18,,2.45,,1.8,17.0,4.51,10.95,4.12,2.19,3.99,3.22,8.37,6.05,,2.71,2.19,4.89,4.89,2.19,4.12,4.25,,5.41,2.96,2.32,7.21,2.32,26.67,6.57,3.87,8.37,4.12,4.12,4.77,3.74,3.22,6.31,42.12,,,,2.06,2.71,3.35,2.83,13.65,,3.22,3.22,2.96,7.99,3.61,5.93,3.09,4.25,4.12,2.32,-0.711111,-2.088889,3.555556,1.306286,-4.816667,74.104047
US_PA_42033,2020-01-06,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,2.25,4.28,7.6,4.18,15.63,1.61,7.5,6.32,3.21,4.71,,6.53,3.21,1.93,4.92,3.0,,3.75,,14.78,2.89,10.39,4.92,2.89,4.28,2.03,11.67,5.35,1.5,3.75,3.32,5.89,3.21,3.96,5.35,3.64,,3.32,1.82,5.89,10.28,2.03,26.02,7.5,3.85,5.89,2.78,5.03,5.03,3.1,2.25,6.21,39.19,1.61,2.03,2.14,1.5,3.0,3.1,4.39,10.28,2.03,2.25,3.32,3.43,6.53,4.71,4.18,2.36,3.85,3.0,2.25,1.638889,-2.066667,4.472222,0.508,-4.288889,64.921325
US_PA_42033,2020-01-07,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,2.95,4.96,8.54,3.9,12.23,2.53,9.49,6.01,2.63,3.69,,5.69,4.22,2.42,5.48,2.0,,2.63,,15.6,4.43,7.91,2.42,2.42,4.43,1.69,10.65,5.17,1.48,2.85,3.37,4.43,3.69,3.9,5.27,3.27,,5.38,2.11,3.69,9.59,2.42,28.78,7.8,3.69,7.8,3.06,5.06,4.53,2.53,2.32,6.01,41.01,2.63,1.58,1.79,2.85,2.53,2.53,4.11,8.54,,2.85,3.48,4.53,6.75,5.9,4.01,2.32,2.95,4.53,,-0.588889,-3.944444,2.716667,0.145143,-5.327778,70.518249
US_PA_42033,2020-01-08,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,2.55,5.74,8.18,4.67,12.11,3.19,7.65,6.06,2.76,4.99,,4.57,4.36,2.02,5.31,2.12,1.7,3.08,1.91,14.66,3.4,8.92,3.51,2.34,4.46,1.91,13.17,4.99,2.66,3.19,3.29,4.99,4.14,2.23,5.31,2.76,1.59,4.25,,3.51,8.18,2.23,27.52,6.59,3.08,4.57,2.44,5.52,4.04,3.08,2.44,6.8,41.22,,1.91,1.7,1.91,1.81,2.23,4.78,8.39,1.81,3.08,2.12,4.36,7.44,5.95,2.87,2.44,3.08,2.66,1.91,-2.25,-5.644444,0.844444,1.197429,-6.433333,73.107692
US_PA_42033,2020-01-09,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,3.22,3.43,6.33,3.65,11.7,2.47,7.94,5.58,3.0,4.61,1.5,6.01,5.47,1.61,3.75,1.93,2.58,2.58,,14.59,3.0,6.87,2.9,2.58,5.47,2.25,11.91,5.26,2.25,3.0,5.9,4.51,3.54,2.47,3.75,3.86,,5.47,2.25,3.54,8.26,1.72,24.25,6.44,2.9,6.33,3.11,5.9,5.9,2.9,2.79,8.26,41.52,2.36,1.93,,3.22,2.25,2.25,3.54,8.37,,1.61,2.15,2.68,4.72,6.01,4.18,1.82,3.11,3.97,2.79,-5.872222,-12.211111,-0.116667,0.084667,-12.111111,61.429237
US_PA_42033,2020-01-10,ChIJjxFfEZA7zIkRJad31RHS2gI,Q494233,geoId/42033,US,United States of America,PA,Pennsylvania,42033,Clearfield County,US,USA,2,,,,,,,79799,41856,37943,7672,8484,9795,9298,10638,12163,10676,6777,4296,416663,41.0,-78.47,2988,78.12,,,,,,,2.13,3.72,6.91,5.42,9.68,2.55,6.91,4.68,,4.25,1.59,4.47,2.66,1.59,3.51,2.02,2.98,2.45,,13.4,4.36,7.12,2.77,2.77,6.59,2.02,10.21,3.72,2.02,3.62,4.04,4.79,5.21,2.55,6.7,3.08,1.49,4.47,2.34,5.32,6.49,1.91,23.71,5.21,2.77,5.64,2.13,4.68,4.15,,2.66,7.12,34.99,1.49,1.7,1.59,1.81,1.91,2.34,3.83,8.19,1.7,2.34,2.02,2.98,6.38,5.32,5.53,3.72,3.19,2.45,2.45,2.633333,-4.005556,7.677778,0.145143,-3.116667,66.300385
